class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
berserk,sword,melee,37.89,36.11,231.32,382.31,364.62,2172.78,231.69,308.41,2264.21
berserk,axe,melee,27.53,108.67,583.68,815.25,2476.10,13235.74,167.35,590.62,3115.28
berserk,hammer,melee,42.95,205.31,317.96,993.98,4317.74,7919.61,83.16,388.34,755.21
soldier,soldier_rifle,projectile,33.45,80.86,187.78,711.31,1994.66,6149.49,59.78,145.65,461.08
soldier,soldier_grenade,projectile,44.42,181.43,942.70,655.85,3137.30,12105.69,53.66,278.88,936.27
soldier,soldier_bayonet,melee,52.07,46.00,201.74,2017.99,1866.82,9886.07,137.81,113.75,822.63
thief,thief_coin_pouch,projectile,53.24,206.01,269.75,882.03,4165.49,4232.81,167.84,694.42,890.31
thief,thief_shadow_cloak,projectile,82.63,86.81,198.53,1754.55,1977.78,4953.70,324.52,336.02,708.40
thief,thief_smoke_bomb,aoe,56.58,251.39,1021.99,563.88,2747.39,13701.37,110.61,658.75,3780.07
elementalist,elementalist_orb_ring,aoe,37.73,170.26,262.48,557.91,2599.82,3999.84,67.47,391.27,674.38
elementalist,elementalist_prism_focus,beam,50.92,174.26,987.63,1007.09,3762.61,21529.13,92.26,616.18,3640.47
elementalist,elementalist_meteor_core,projectile,29.33,140.41,664.91,454.33,2416.35,11489.52,91.12,456.27,2641.11
sniper,sniper_deadeye_rifle,projectile,79.31,202.66,485.37,1017.44,2647.64,5778.98,96.24,264.18,732.21
sniper,sniper_spotter_scope,projectile,31.32,104.33,441.36,406.62,1783.99,7478.45,51.38,287.22,993.98
sniper,sniper_shatter_rounds,projectile,70.29,192.62,203.44,714.26,2360.86,2791.27,89.55,248.82,237.06
priest,priest_reliquary,aoe,55.70,217.94,884.12,684.16,3634.98,15958.07,69.45,423.15,2115.03
priest,priest_censer,aoe,34.64,217.56,1108.02,344.25,2145.69,11229.86,52.99,356.49,2193.60
priest,priest_chime,aoe,35.69,188.16,933.04,634.20,3471.99,16544.47,57.27,298.29,1484.05
biologist,biologist_spore_lens,aoe,78.37,341.44,1075.12,698.94,3654.36,10149.30,311.83,1449.68,3765.78
biologist,biologist_sample_injector,projectile,83.02,124.77,262.56,1018.03,2185.98,6298.99,210.27,406.80,1294.01
biologist,biologist_symbiote_seed,aoe,33.66,145.95,478.07,383.50,1918.05,6345.21,57.27,214.44,630.16
robot,robot_magnetic_anchor,aoe,30.37,152.21,773.63,460.87,2236.30,11464.84,64.49,293.50,1690.47
robot,robot_hydraulic_press,beam,45.84,131.45,495.63,518.05,1670.67,7424.19,87.88,276.74,1113.21
robot,robot_reactor_core,projectile,19.11,94.29,280.12,792.52,3104.68,9035.41,75.00,286.11,842.58
engineer,engineer_sentry_wrench,summon,56.57,84.41,102.71,2560.45,3032.91,3493.66,256.04,418.35,573.11
engineer,engineer_repair_drone,summon,44.95,253.91,395.43,551.88,2930.30,4419.16,82.78,557.13,728.20
engineer,engineer_pressure_mines,aoe,5.73,53.80,488.03,0.00,1244.97,19234.83,18.23,384.31,3832.30
dark_mage,dark_book,projectile,87.73,461.02,1250.40,1232.83,6293.74,19548.35,262.12,1654.23,5843.77
dark_mage,cursed_skull,aoe,41.82,187.72,313.09,453.46,2047.17,3103.32,59.89,268.61,448.38
dark_mage,dark_wand,projectile,33.61,127.56,248.91,834.96,4677.23,9126.87,103.38,538.17,968.55
guitarist,electric_guitar,aura,113.35,114.68,529.34,558.06,1932.66,5942.89,224.28,433.43,1287.27
guitarist,bass_guitar,aura,31.78,182.50,1003.05,371.77,2316.74,11560.90,53.14,312.12,1477.29
guitarist,sound_amp,summon,66.28,347.94,1655.53,375.29,2326.64,12464.22,125.58,748.74,3462.55
assassin,chakrams,beam,51.81,100.17,197.31,1797.52,2088.12,5100.97,150.08,146.56,494.98
assassin,shadow_daggers,melee,63.20,188.45,195.19,675.96,2146.71,2399.55,96.80,273.47,287.38
assassin,venom_wire,beam,56.84,65.50,102.89,1182.69,1751.05,2136.22,209.10,243.77,346.68
ranger,moon_crossbow,projectile,57.97,320.80,345.29,931.09,4875.26,4897.52,157.81,751.23,809.35
ranger,storm_longbow,projectile,65.53,62.22,208.24,1039.51,1167.21,4326.23,121.93,131.04,390.29
ranger,hunter_trap,aoe,31.77,59.83,239.22,452.41,1927.94,5934.33,62.00,125.06,496.05
doctor,restore_potion,projectile,68.68,137.80,494.97,782.37,2064.83,7970.37,144.84,418.59,1708.07
doctor,plague_syringe,projectile,44.58,47.77,44.63,825.71,856.89,727.29,89.59,89.68,85.53
doctor,bone_saw,melee,70.78,178.56,874.67,1287.61,2965.49,12171.10,113.69,308.50,1595.93
chemist,blast_powder,projectile,64.64,365.64,630.10,1352.98,9395.78,13663.31,145.00,930.09,1581.18
chemist,acid_flask,projectile,22.87,208.11,641.95,520.47,2478.03,8803.62,62.32,501.81,1708.89
chemist,homunculus_vial,summon,18.26,54.50,136.34,454.37,2349.03,7851.47,52.11,254.59,1149.10
knight,long_spear,melee,39.95,42.63,175.18,509.86,1221.87,4668.43,62.83,121.39,389.34
knight,tower_shield,melee,39.58,51.45,241.99,741.52,877.73,5025.40,171.44,237.25,1658.84
knight,holy_flail,melee,31.79,293.56,1508.78,318.96,2548.93,15245.46,41.98,378.74,1922.53
druid,summon_amulet,summon,70.98,97.62,206.02,1809.60,8726.52,20968.57,93.58,339.34,1053.82
druid,briar_staff,projectile,23.09,93.84,393.17,499.18,1820.65,7852.23,74.88,306.65,1220.77
druid,raven_totem,summon,50.58,199.55,396.66,343.29,1258.82,2586.48,207.41,793.19,1554.46
