class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
berserk,sword,melee,39.69,39.28,217.84,373.26,313.27,2456.08,211.76,264.12,2310.05
berserk,axe,melee,27.46,135.53,517.01,1042.75,3435.84,16415.56,204.05,597.28,3168.94
berserk,hammer,melee,40.75,196.80,323.46,942.90,3916.99,7411.90,114.43,394.56,708.93
soldier,soldier_rifle,projectile,42.00,90.32,240.01,794.33,2917.84,6379.62,46.72,161.79,652.18
soldier,soldier_grenade,projectile,31.89,209.41,726.91,795.72,3092.55,13425.41,69.29,300.22,745.34
soldier,soldier_bayonet,melee,47.28,39.12,285.82,1733.87,1693.90,9709.54,129.59,195.83,714.93
thief,thief_coin_pouch,projectile,61.09,203.99,256.41,494.78,2153.53,2638.94,163.61,632.79,846.94
thief,thief_shadow_cloak,projectile,82.57,82.01,198.13,1937.69,2129.63,4786.18,281.83,302.19,643.56
thief,thief_smoke_bomb,aoe,53.74,249.64,1123.53,815.49,3877.36,15622.23,114.06,665.46,4156.19
elementalist,elementalist_orb_ring,aoe,39.81,186.93,285.00,584.13,2900.34,4294.26,70.07,438.72,719.59
elementalist,elementalist_prism_focus,beam,56.22,192.94,1090.90,1262.01,4476.99,25304.39,101.12,612.91,4099.16
elementalist,elementalist_meteor_core,projectile,32.26,155.37,851.47,409.70,1967.25,12171.25,100.37,437.80,3133.55
sniper,sniper_deadeye_rifle,projectile,58.38,165.98,387.81,1184.44,2407.26,4031.86,90.97,226.44,726.32
sniper,sniper_spotter_scope,projectile,19.69,89.09,378.88,260.25,1539.51,6452.90,53.41,162.15,696.14
sniper,sniper_shatter_rounds,projectile,55.80,173.70,180.46,579.23,1706.02,2499.31,72.20,224.94,250.41
priest,priest_reliquary,aoe,76.87,289.14,1148.95,913.59,4300.25,20440.75,89.78,540.02,2841.83
priest,priest_censer,aoe,35.09,207.49,1066.82,361.04,2494.81,12347.25,62.32,437.20,2489.12
