class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
berserk,sword,melee,36.11,37.89,222.85,353.81,256.33,1843.43,205.52,275.46,2113.97
berserk,axe,melee,27.45,105.51,530.73,687.78,2590.91,12365.09,170.33,607.49,2920.97
berserk,hammer,melee,40.71,198.63,323.56,980.13,4682.60,7776.90,101.97,368.29,743.10
soldier,soldier_rifle,projectile,25.13,62.42,181.65,670.95,2290.73,5824.47,52.18,132.77,523.15
soldier,soldier_grenade,projectile,46.72,161.23,631.12,819.08,2498.30,13102.18,79.07,219.17,924.07
soldier,soldier_bayonet,melee,46.05,42.52,246.83,1670.72,1870.89,8713.02,135.26,155.81,661.94
thief,thief_coin_pouch,projectile,50.10,214.94,254.75,462.66,1919.02,2972.85,163.60,701.20,879.60
thief,thief_shadow_cloak,projectile,76.55,87.80,189.34,2702.42,3134.82,5443.54,301.78,314.27,677.06
thief,thief_smoke_bomb,aoe,59.12,252.88,1259.11,815.10,3717.09,15388.81,113.84,621.71,3662.02
elementalist,elementalist_orb_ring,aoe,36.60,172.48,263.80,449.24,2133.69,3119.35,70.62,388.82,668.54
elementalist,elementalist_prism_focus,beam,64.39,195.50,748.51,1050.00,3967.39,22262.72,91.48,620.47,3653.03
elementalist,elementalist_meteor_core,projectile,35.39,140.35,666.68,380.90,2088.96,9560.01,118.24,408.57,3183.00
sniper,sniper_deadeye_rifle,projectile,69.24,245.98,485.95,1395.55,2677.64,6212.67,98.87,244.43,693.31
sniper,sniper_spotter_scope,projectile,23.13,104.57,442.59,706.64,3892.22,11429.86,40.75,287.47,805.70
sniper,sniper_shatter_rounds,projectile,69.20,199.95,199.97,692.95,2360.43,2801.22,88.18,276.05,251.50
priest,priest_reliquary,aoe,67.90,251.16,1007.74,986.99,3834.17,17742.36,74.96,461.56,2416.88
priest,priest_censer,aoe,34.57,190.31,728.41,364.74,1860.06,7217.34,47.71,228.17,1132.20
priest,priest_chime,aoe,33.80,190.04,972.98,662.62,3275.26,16525.89,64.10,321.07,1745.94
biologist,biologist_spore_lens,aoe,78.47,338.76,1070.56,700.79,3608.64,10099.14,311.59,1437.67,3786.94
biologist,biologist_sample_injector,projectile,80.94,127.68,286.75,982.93,2242.36,6838.77,202.01,432.08,1274.63
biologist,biologist_symbiote_seed,aoe,32.69,147.35,467.44,355.83,1630.14,5139.62,57.31,215.21,615.20
robot,robot_magnetic_anchor,aoe,34.74,142.33,722.54,377.35,2249.22,9797.90,42.39,251.76,1144.01
robot,robot_hydraulic_press,beam,43.00,123.96,467.46,545.12,2293.84,7636.05,74.02,235.09,877.65
robot,robot_reactor_core,projectile,18.39,89.95,281.23,775.47,2821.91,8538.68,75.21,312.36,911.59
engineer,engineer_sentry_wrench,summon,56.02,86.37,107.85,2472.04,2964.63,3647.26,254.18,409.36,572.22
engineer,engineer_repair_drone,summon,48.53,270.80,415.78,658.87,3089.24,4617.87,121.82,555.77,688.64
engineer,engineer_pressure_mines,aoe,0.00,72.92,533.45,0.00,1712.65,12035.48,0.00,148.73,4634.98
dark_mage,dark_book,projectile,81.28,430.38,1198.67,1135.72,5706.47,18518.65,243.24,1521.53,5177.17
dark_mage,cursed_skull,aoe,41.73,188.59,312.88,405.69,1786.27,2686.93,59.86,269.19,448.05
dark_mage,dark_wand,projectile,32.44,118.45,219.80,762.23,4196.46,9932.59,90.21,482.68,894.42
guitarist,electric_guitar,aura,124.71,112.69,490.97,673.31,1797.55,4939.53,242.07,505.44,1532.65
guitarist,bass_guitar,aura,31.41,185.91,1024.61,404.23,2316.23,12257.66,46.99,331.75,1573.44
guitarist,sound_amp,summon,63.83,392.02,1660.26,387.52,2315.73,11479.63,121.61,690.37,3105.07
assassin,chakrams,beam,53.61,98.25,182.93,1297.43,1576.49,4083.43,146.67,152.12,523.80
assassin,shadow_daggers,melee,70.71,185.67,204.34,694.97,1568.17,2256.10,104.29,251.44,264.72
assassin,venom_wire,beam,55.83,75.13,95.19,1189.10,1559.27,1595.11,199.99,321.18,330.99
ranger,moon_crossbow,projectile,73.00,354.11,428.34,1044.33,5672.23,5006.44,196.52,852.25,792.65
ranger,storm_longbow,projectile,82.48,67.93,260.54,978.87,1111.07,4822.49,146.75,127.72,393.32
ranger,hunter_trap,aoe,30.83,63.08,312.28,346.01,1697.34,7173.11,65.10,131.64,524.76
doctor,restore_potion,projectile,64.86,137.39,522.43,803.27,1981.18,8661.62,155.45,428.75,1685.71
doctor,plague_syringe,projectile,51.02,50.89,44.66,823.61,695.19,695.32,99.15,99.51,99.37
doctor,bone_saw,melee,73.30,175.92,879.22,2338.71,5018.14,17399.53,117.25,300.10,1694.69
chemist,blast_powder,projectile,59.59,357.11,594.99,1279.78,8377.71,13038.71,131.56,855.01,1458.59
chemist,acid_flask,projectile,22.76,205.73,637.57,445.18,2237.25,7738.24,66.34,516.65,1718.67
chemist,homunculus_vial,summon,35.17,68.32,144.88,476.70,2344.79,9559.28,52.33,259.24,937.82
knight,long_spear,melee,45.36,39.88,175.24,718.59,1022.11,3414.77,56.98,132.62,393.37
knight,tower_shield,melee,45.24,49.60,241.36,912.01,919.89,5525.28,190.57,286.41,2095.21
knight,holy_flail,melee,31.82,282.19,1508.61,354.28,2870.53,15970.46,42.04,356.95,1957.47
druid,summon_amulet,summon,81.94,74.58,189.03,1138.02,5153.70,17167.21,92.18,240.57,988.73
druid,briar_staff,projectile,23.04,94.13,391.80,445.34,1851.64,8115.91,47.28,194.79,884.74
druid,raven_totem,summon,50.60,206.15,376.37,349.92,1343.28,2757.24,212.58,770.07,1525.00
