class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
berserk,sword,melee,37.80,36.10,223.28,541.91,319.98,1935.75,197.31,283.70,2077.01
berserk,axe,melee,30.60,112.26,508.23,689.03,2641.00,12266.75,140.10,603.91,3150.12
berserk,hammer,melee,40.75,214.62,310.91,909.15,5157.66,14591.47,77.75,426.84,795.92
soldier,soldier_rifle,projectile,25.46,87.34,150.65,661.76,2524.60,5872.70,59.91,148.71,535.14
soldier,soldier_grenade,projectile,27.75,162.21,778.89,1009.66,3202.09,10292.09,61.35,348.60,971.14
soldier,soldier_bayonet,melee,38.04,42.14,233.57,1932.14,1543.96,10153.29,82.07,85.91,372.34
thief,thief_coin_pouch,projectile,53.21,223.67,251.77,559.29,2015.18,2776.93,172.56,695.29,867.35
thief,thief_shadow_cloak,projectile,82.67,103.61,198.35,2043.57,2123.62,4389.66,376.06,391.94,883.42
thief,thief_smoke_bomb,aoe,69.60,277.47,1022.17,716.34,3992.84,16507.46,113.89,609.80,4028.00
elementalist,elementalist_orb_ring,aoe,37.59,172.84,270.13,550.39,2598.39,3886.24,67.47,391.55,672.30
elementalist,elementalist_prism_focus,beam,50.83,174.07,997.69,1526.35,5137.77,28946.33,91.57,556.65,3666.55
elementalist,elementalist_meteor_core,projectile,29.28,165.58,666.81,608.56,2373.96,12505.58,95.33,407.89,2519.53
sniper,sniper_deadeye_rifle,projectile,69.08,194.27,452.34,1221.13,2433.39,6583.55,107.22,244.46,693.71
sniper,sniper_spotter_scope,projectile,23.09,104.78,443.19,508.51,1337.85,5857.90,40.75,288.27,808.62
sniper,sniper_shatter_rounds,projectile,74.39,207.74,199.70,785.76,2354.66,2815.13,91.79,263.09,240.34
priest,priest_reliquary,aoe,64.65,246.61,973.18,892.29,4144.64,17453.16,79.86,442.02,2421.11
priest,priest_censer,aoe,34.62,202.21,689.95,294.60,1869.58,7314.31,43.20,291.33,1310.76
priest,priest_chime,aoe,37.58,206.86,895.73,529.08,3494.86,17448.38,55.04,298.23,1533.44
biologist,biologist_spore_lens,aoe,78.42,334.18,1072.34,719.41,3529.34,10123.05,304.81,1457.18,3734.45
biologist,biologist_sample_injector,projectile,81.36,121.39,275.06,1069.48,2063.88,5683.69,198.41,447.85,1428.60
biologist,biologist_symbiote_seed,aoe,34.25,145.54,475.61,391.10,1812.52,6414.60,73.82,266.66,746.29
robot,robot_magnetic_anchor,aoe,28.50,142.84,743.27,433.30,1756.80,12028.70,56.79,299.94,1493.05
robot,robot_hydraulic_press,beam,38.84,123.83,466.85,489.48,1409.05,8586.81,74.30,234.92,882.15
robot,robot_reactor_core,projectile,18.41,89.67,292.98,797.20,3010.96,8539.80,75.17,283.76,1005.40
engineer,engineer_sentry_wrench,summon,58.20,88.57,105.74,2427.99,3408.58,3697.71,265.17,426.17,571.77
engineer,engineer_repair_drone,summon,41.54,256.65,392.58,772.27,2875.59,4759.26,121.85,536.75,746.72
engineer,engineer_pressure_mines,aoe,0.00,57.11,863.36,0.00,600.45,19495.58,0.00,426.49,3053.82
dark_mage,dark_book,projectile,81.46,428.53,1170.02,1100.96,5736.39,18889.26,244.36,1547.58,5499.26
dark_mage,cursed_skull,aoe,41.83,187.90,313.03,392.67,1785.49,2684.62,59.73,268.71,448.51
dark_mage,dark_wand,projectile,29.77,118.37,219.47,719.39,4267.20,8808.50,101.88,550.12,895.89
guitarist,electric_guitar,aura,116.76,112.92,490.16,631.90,1801.68,6453.69,206.58,411.67,1246.32
guitarist,bass_guitar,aura,31.48,192.51,999.40,341.04,2157.05,11868.71,51.04,321.75,1534.41
guitarist,sound_amp,summon,63.98,391.27,1736.47,339.67,2201.03,12288.82,113.78,811.01,3837.33
assassin,chakrams,beam,48.19,103.96,197.92,3100.35,2572.89,6584.85,154.50,147.13,494.22
assassin,shadow_daggers,melee,64.22,186.23,185.13,767.36,2204.29,2194.56,99.44,281.71,296.80
assassin,venom_wire,beam,54.19,67.37,101.39,1750.11,2131.15,2592.76,244.39,284.10,348.23
ranger,moon_crossbow,projectile,68.18,329.84,377.61,913.17,5010.24,5854.37,159.90,853.46,914.37
ranger,storm_longbow,projectile,67.98,75.26,216.87,1023.23,1015.53,4634.04,148.20,128.35,424.11
ranger,hunter_trap,aoe,30.84,63.08,252.81,450.33,2169.74,7479.04,67.07,124.16,526.02
doctor,restore_potion,projectile,79.55,137.45,455.90,814.59,1836.25,5167.77,157.21,455.45,1723.28
doctor,plague_syringe,projectile,44.69,44.64,44.65,760.38,826.91,955.53,93.96,93.74,85.54
doctor,bone_saw,melee,73.44,181.47,865.07,1371.04,2724.86,12059.91,116.93,298.95,1708.51
chemist,blast_powder,projectile,61.33,348.56,604.23,1263.23,8293.61,13277.29,127.43,850.84,1420.49
chemist,acid_flask,projectile,22.96,205.22,635.70,503.64,2469.92,8739.30,61.86,496.79,1682.73
chemist,homunculus_vial,summon,35.23,66.96,177.91,433.04,2325.08,9471.51,52.26,258.32,945.03
knight,long_spear,melee,39.99,39.96,185.88,505.91,943.80,3427.43,57.06,132.72,393.14
knight,tower_shield,melee,41.56,56.97,249.05,752.09,922.82,4937.50,268.57,286.76,2191.62
knight,holy_flail,melee,35.84,282.68,1517.37,313.74,2135.56,12817.83,41.97,371.07,1995.56
druid,summon_amulet,summon,45.39,66.85,109.22,1502.43,8378.58,11296.42,93.93,204.27,511.47
druid,briar_staff,projectile,23.12,93.96,391.77,474.73,1819.76,8039.16,45.59,191.39,814.70
druid,raven_totem,summon,54.63,207.30,392.96,335.40,1230.41,2760.43,201.96,773.13,1521.91
