class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
berserk,sword,melee,37.89,39.69,226.87,324.91,349.56,2025.38,213.97,267.04,2094.98
berserk,axe,melee,27.61,112.72,521.36,731.25,3004.22,16795.69,173.94,567.77,2921.07
berserk,hammer,melee,40.78,200.82,310.43,906.31,4957.87,14163.67,89.02,361.91,716.64
soldier,soldier_rifle,projectile,35.06,51.97,118.89,638.29,1447.85,7415.03,42.54,159.20,445.30
soldier,soldier_grenade,projectile,42.50,144.93,780.35,956.89,3240.21,12719.40,50.94,217.76,915.23
soldier,soldier_bayonet,melee,51.52,36.26,251.56,1988.07,2046.84,8963.75,149.21,134.95,592.86
thief,thief_coin_pouch,projectile,53.21,212.97,264.39,526.09,2330.86,2785.66,154.40,730.22,835.89
thief,thief_shadow_cloak,projectile,82.76,87.78,187.02,1655.84,2249.05,4789.21,378.32,459.92,863.43
thief,thief_smoke_bomb,aoe,53.87,252.04,1310.19,817.08,3913.47,16391.27,104.85,611.75,3675.32
elementalist,elementalist_orb_ring,aoe,37.02,170.82,262.13,557.39,2616.94,3818.63,65.95,371.21,660.82
elementalist,elementalist_prism_focus,beam,50.84,196.66,980.20,1598.37,5143.16,32457.22,91.60,562.44,3643.28
elementalist,elementalist_meteor_core,projectile,29.34,140.67,664.91,525.40,2346.00,12292.83,103.41,405.90,2508.48
sniper,sniper_deadeye_rifle,projectile,69.20,194.38,453.64,951.41,2999.25,6202.93,105.83,301.02,985.84
sniper,sniper_spotter_scope,projectile,23.11,103.94,574.45,304.78,1781.26,7481.20,40.25,292.94,834.28
sniper,sniper_shatter_rounds,projectile,69.11,199.48,230.52,751.92,2537.77,2591.36,83.56,236.64,236.57
priest,priest_reliquary,aoe,71.01,255.60,948.47,782.80,3804.41,17706.47,80.37,477.14,2418.69
priest,priest_censer,aoe,34.68,202.28,691.46,316.30,1780.02,7022.81,37.11,247.65,1083.18
priest,priest_chime,aoe,33.77,189.16,969.00,484.05,3491.65,17458.10,55.08,297.92,1420.80
biologist,biologist_spore_lens,aoe,78.56,336.42,1078.87,737.22,3529.22,10429.81,312.34,1452.15,3731.74
biologist,biologist_sample_injector,projectile,81.01,121.24,263.58,1097.52,2024.51,5781.96,208.65,418.57,1304.96
biologist,biologist_symbiote_seed,aoe,32.66,159.52,473.82,377.76,1872.34,6461.01,53.45,202.06,624.20
robot,robot_magnetic_anchor,aoe,28.48,142.30,722.42,419.32,2101.10,10155.44,43.32,217.18,1278.32
robot,robot_hydraulic_press,beam,38.89,123.49,466.76,443.03,1783.02,6015.70,74.28,235.09,879.09
robot,robot_reactor_core,projectile,18.39,89.70,280.65,807.79,2906.46,8909.56,83.55,316.11,843.29
engineer,engineer_sentry_wrench,summon,54.92,85.85,103.89,2581.56,3037.87,3783.84,256.16,437.82,572.78
engineer,engineer_repair_drone,summon,41.12,256.46,408.76,770.88,2973.33,4508.78,102.14,480.91,746.43
engineer,engineer_pressure_mines,aoe,0.00,47.47,629.91,75.92,1006.96,12085.67,0.00,205.10,3752.66
dark_mage,dark_book,projectile,81.32,428.54,1167.64,1065.16,6416.72,18427.89,232.14,1456.65,5132.24
dark_mage,cursed_skull,aoe,41.82,187.63,313.04,404.41,1786.00,2685.78,60.01,269.47,448.28
dark_mage,dark_wand,projectile,32.79,118.36,219.68,721.52,4482.10,8203.23,99.53,522.45,887.52
guitarist,electric_guitar,aura,105.90,112.52,520.53,577.05,1699.67,5175.59,204.66,413.05,1258.65
guitarist,bass_guitar,aura,32.96,185.93,1025.88,396.43,2453.03,11899.89,46.58,283.82,1447.47
guitarist,sound_amp,summon,68.34,351.21,1815.90,602.31,2893.38,16766.89,123.03,732.23,3120.65
assassin,chakrams,beam,46.26,96.46,193.87,1415.86,1361.43,3499.59,146.94,157.66,525.98
assassin,shadow_daggers,melee,66.36,204.67,199.68,913.03,2729.75,1864.66,109.31,281.68,297.05
assassin,venom_wire,beam,54.78,64.41,101.58,1213.39,1511.95,2091.07,193.61,286.84,312.18
ranger,moon_crossbow,projectile,68.11,352.47,375.73,1184.09,5662.21,5151.22,172.91,911.34,850.42
ranger,storm_longbow,projectile,68.02,68.15,238.58,1061.06,1161.46,4630.48,138.60,138.65,396.07
ranger,hunter_trap,aoe,31.11,68.08,251.46,544.13,1872.07,6324.27,67.90,122.67,602.49
doctor,restore_potion,projectile,72.25,138.73,450.57,1452.62,3144.40,7224.26,145.16,438.19,1715.08
doctor,plague_syringe,projectile,44.62,44.71,44.64,890.50,892.34,759.76,102.38,85.54,93.91
doctor,bone_saw,melee,70.72,176.61,862.09,1825.51,3970.17,14425.08,117.04,308.36,1708.90
chemist,blast_powder,projectile,61.50,347.95,599.52,1266.23,8589.22,12914.19,143.67,896.77,1554.69
chemist,acid_flask,projectile,22.76,205.27,639.49,505.06,2472.15,8738.71,62.02,509.76,1683.04
chemist,homunculus_vial,summon,35.30,43.74,130.72,476.71,2360.47,8798.08,52.10,259.01,961.09
knight,long_spear,melee,39.95,39.92,169.90,396.67,1027.58,3269.46,57.00,121.19,427.78
knight,tower_shield,melee,49.03,49.61,238.14,822.53,877.56,4925.88,249.44,255.32,2169.66
knight,holy_flail,melee,35.85,282.12,1497.64,353.93,2755.63,16772.21,51.08,400.10,1900.32
druid,summon_amulet,summon,58.92,86.17,84.31,1245.08,5358.25,20991.31,83.53,393.31,1129.88
druid,briar_staff,projectile,23.10,95.10,391.27,430.66,1825.48,8022.09,47.26,214.56,975.26
druid,raven_totem,summon,54.69,207.56,376.04,318.94,1287.53,2585.01,212.83,810.46,1531.07
