row_type,class,weapon,build,stats,dps_1,dps_5,dps_20,budget_score,relative_score,flag
"class","berserk","","base_lvl1","strength 10.00; agility 5.00; intelligence 2.00; perception 5.00; energy 4.00; knowledge 4.00; endurance 7.00; leadership 3.00","48.0","150.03","132.68","0.961","0.997","ok"
"weapon","berserk","sword","base_lvl1","","48.01","150.09","132.73","0.962","",""
"weapon","berserk","axe","base_lvl1","","48.0","150.01","132.66","0.961","",""
"weapon","berserk","hammer","base_lvl1","","47.99","149.99","132.64","0.961","",""
"class","berserk","","lvl20_optimum","strength 18.00; agility 16.00; intelligence 2.00; perception 5.00; energy 4.00; knowledge 4.00; endurance 7.00; leadership 3.00","268.04","838.81","741.8","5.374","1.022","ok"
"weapon","berserk","sword","lvl20_optimum","","195.79","612.37","541.55","3.924","",""
"weapon","berserk","axe","lvl20_optimum","","304.28","952.96","842.75","6.104","",""
"weapon","berserk","hammer","lvl20_optimum","","304.05","951.1","841.11","6.094","",""
"class","berserk","","lvl20_random_avg","strength 12.25; agility 7.36; intelligence 4.28; perception 7.30; energy 6.44; knowledge 6.39; endurance 9.47; leadership 5.52","93.65","292.86","258.99","1.877","1.0","ok"
"weapon","berserk","sword","lvl20_random_avg","","92.84","290.32","256.75","1.86","",""
"weapon","berserk","axe","lvl20_random_avg","","94.07","294.27","260.24","1.885","",""
"weapon","berserk","hammer","lvl20_random_avg","","94.03","293.98","259.98","1.884","",""
"class","soldier","","base_lvl1","strength 7.00; agility 6.00; intelligence 2.00; perception 8.00; energy 4.00; knowledge 5.00; endurance 6.00; leadership 5.00","47.99","150.0","136.26","0.969","1.005","ok"
"weapon","soldier","soldier_rifle","base_lvl1","","47.99","149.93","135.3","0.967","",""
"weapon","soldier","soldier_grenade","base_lvl1","","48.0","150.05","140.82","0.98","",""
"weapon","soldier","soldier_bayonet","base_lvl1","","47.99","150.02","132.67","0.961","",""
"class","soldier","","lvl20_optimum","strength 18.00; agility 14.00; intelligence 2.00; perception 8.00; energy 4.00; knowledge 5.00; endurance 6.00; leadership 5.00","241.21","751.94","683.29","4.864","0.925","ok"
"weapon","soldier","soldier_rifle","lvl20_optimum","","212.87","663.29","598.55","4.282","",""
"weapon","soldier","soldier_grenade","lvl20_optimum","","254.56","793.36","744.57","5.185","",""
"weapon","soldier","soldier_bayonet","lvl20_optimum","","256.21","799.18","706.76","5.126","",""
"class","soldier","","lvl20_random_avg","strength 9.00; agility 8.13; intelligence 4.34; perception 10.73; energy 6.28; knowledge 7.52; endurance 8.28; leadership 7.72","84.36","263.34","239.21","1.703","0.907","ok"
"weapon","soldier","soldier_rifle","lvl20_random_avg","","84.28","262.95","237.28","1.697","",""
"weapon","soldier","soldier_grenade","lvl20_random_avg","","84.28","263.12","246.94","1.719","",""
"weapon","soldier","soldier_bayonet","lvl20_random_avg","","84.51","263.94","233.42","1.692","",""
"class","thief","","base_lvl1","strength 5.00; agility 9.00; intelligence 3.00; perception 8.00; energy 5.00; knowledge 4.00; endurance 4.00; leadership 5.00","51.86","162.0","150.67","0.973","1.009","ok"
"weapon","thief","thief_coin_pouch","base_lvl1","","51.87","162.04","146.22","0.968","",""
"weapon","thief","thief_shadow_cloak","base_lvl1","","51.86","162.01","146.2","0.968","",""
"weapon","thief","thief_smoke_bomb","base_lvl1","","51.84","161.95","159.59","0.982","",""
"class","thief","","lvl20_optimum","strength 16.00; agility 17.00; intelligence 3.00; perception 8.00; energy 5.00; knowledge 4.00; endurance 4.00; leadership 5.00","265.92","829.16","771.11","4.981","0.947","ok"
"weapon","thief","thief_coin_pouch","lvl20_optimum","","265.52","829.03","748.12","4.952","",""
"weapon","thief","thief_shadow_cloak","lvl20_optimum","","267.13","831.86","750.67","4.974","",""
"weapon","thief","thief_smoke_bomb","lvl20_optimum","","265.11","826.6","814.55","5.017","",""
"class","thief","","lvl20_random_avg","strength 7.13; agility 11.22; intelligence 5.73; perception 10.16; energy 7.20; knowledge 6.38; endurance 6.59; leadership 7.59","89.58","279.69","260.12","1.679","0.895","ok"
"weapon","thief","thief_coin_pouch","lvl20_random_avg","","89.55","279.71","252.41","1.671","",""
"weapon","thief","thief_shadow_cloak","lvl20_random_avg","","89.71","280.0","252.67","1.673","",""
"weapon","thief","thief_smoke_bomb","lvl20_random_avg","","89.47","279.35","275.28","1.695","",""
