Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
OpenGL API 3.3.0 NVIDIA 596.49 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce RTX 4070 Ti SUPER

Project FPS: 4055 (0.24 mspf)
Project FPS: 3593 (0.27 mspf)
Project FPS: 3995 (0.25 mspf)
Project FPS: 4104 (0.24 mspf)
Project FPS: 4165 (0.24 mspf)
Project FPS: 4013 (0.24 mspf)
Project FPS: 4138 (0.24 mspf)
Project FPS: 4167 (0.23 mspf)
Project FPS: 4037 (0.24 mspf)
Project FPS: 4195 (0.23 mspf)
Project FPS: 4204 (0.23 mspf)
Project FPS: 4011 (0.24 mspf)
Project FPS: 4319 (0.23 mspf)
Project FPS: 4290 (0.23 mspf)
Project FPS: 4361 (0.22 mspf)
Project FPS: 4434 (0.22 mspf)
Project FPS: 4328 (0.23 mspf)
Project FPS: 4290 (0.23 mspf)
Project FPS: 4418 (0.22 mspf)
Project FPS: 4268 (0.23 mspf)
Project FPS: 4301 (0.23 mspf)
Project FPS: 4353 (0.22 mspf)
Project FPS: 4346 (0.23 mspf)
Project FPS: 4405 (0.22 mspf)
Project FPS: 4350 (0.22 mspf)
Project FPS: 4381 (0.22 mspf)
Project FPS: 4381 (0.22 mspf)
Project FPS: 4444 (0.22 mspf)
Project FPS: 4340 (0.23 mspf)
Project FPS: 4330 (0.23 mspf)
Project FPS: 4407 (0.22 mspf)
Project FPS: 4314 (0.23 mspf)
Project FPS: 4331 (0.23 mspf)
Project FPS: 4434 (0.22 mspf)
Project FPS: 4431 (0.22 mspf)
Project FPS: 4311 (0.23 mspf)
Project FPS: 4397 (0.22 mspf)
Project FPS: 4338 (0.23 mspf)
Project FPS: 4372 (0.22 mspf)
Project FPS: 4322 (0.23 mspf)
Project FPS: 4178 (0.23 mspf)
Project FPS: 4198 (0.23 mspf)
Project FPS: 4239 (0.23 mspf)
Project FPS: 4217 (0.23 mspf)
Project FPS: 4218 (0.23 mspf)
Project FPS: 4358 (0.22 mspf)
Project FPS: 4417 (0.22 mspf)
Project FPS: 4383 (0.22 mspf)
Project FPS: 4358 (0.22 mspf)
Project FPS: 4391 (0.22 mspf)
Project FPS: 4350 (0.22 mspf)
Project FPS: 4378 (0.22 mspf)
Project FPS: 4380 (0.22 mspf)
Project FPS: 4255 (0.23 mspf)
Project FPS: 4410 (0.22 mspf)
Project FPS: 4385 (0.22 mspf)
Project FPS: 4423 (0.22 mspf)
Project FPS: 4427 (0.22 mspf)
Project FPS: 4357 (0.22 mspf)
