Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
OpenGL API 3.3.0 NVIDIA 596.49 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce RTX 4070 Ti SUPER

Project FPS: 3996 (0.25 mspf)
Project FPS: 4211 (0.23 mspf)
Project FPS: 4131 (0.24 mspf)
Project FPS: 4229 (0.23 mspf)
Project FPS: 4245 (0.23 mspf)
Project FPS: 4108 (0.24 mspf)
Project FPS: 4280 (0.23 mspf)
Project FPS: 4304 (0.23 mspf)
Project FPS: 4403 (0.22 mspf)
Project FPS: 4117 (0.24 mspf)
Project FPS: 4282 (0.23 mspf)
Project FPS: 4141 (0.24 mspf)
Project FPS: 4018 (0.24 mspf)
Project FPS: 4324 (0.23 mspf)
Project FPS: 4263 (0.23 mspf)
Project FPS: 3973 (0.25 mspf)
Project FPS: 4184 (0.23 mspf)
Project FPS: 4251 (0.23 mspf)
Project FPS: 4265 (0.23 mspf)
Project FPS: 4192 (0.23 mspf)
Project FPS: 4415 (0.22 mspf)
Project FPS: 4324 (0.23 mspf)
Project FPS: 4403 (0.22 mspf)
Project FPS: 4265 (0.23 mspf)
Project FPS: 4362 (0.22 mspf)
Project FPS: 4390 (0.22 mspf)
Project FPS: 4451 (0.22 mspf)
Project FPS: 4282 (0.23 mspf)
Project FPS: 4406 (0.22 mspf)
Project FPS: 4225 (0.23 mspf)
Project FPS: 4345 (0.23 mspf)
Project FPS: 4283 (0.23 mspf)
Project FPS: 4270 (0.23 mspf)
Project FPS: 4304 (0.23 mspf)
Project FPS: 4407 (0.22 mspf)
Project FPS: 4234 (0.23 mspf)
Project FPS: 4297 (0.23 mspf)
Project FPS: 4383 (0.22 mspf)
Project FPS: 4301 (0.23 mspf)
Project FPS: 4302 (0.23 mspf)
Project FPS: 4201 (0.23 mspf)
Project FPS: 4239 (0.23 mspf)
Project FPS: 4390 (0.22 mspf)
Project FPS: 4335 (0.23 mspf)
Project FPS: 4353 (0.22 mspf)
Project FPS: 4292 (0.23 mspf)
Project FPS: 4374 (0.22 mspf)
Project FPS: 4288 (0.23 mspf)
Project FPS: 4395 (0.22 mspf)
Project FPS: 4343 (0.23 mspf)
Project FPS: 4317 (0.23 mspf)
Project FPS: 4276 (0.23 mspf)
Project FPS: 4339 (0.23 mspf)
Project FPS: 4155 (0.24 mspf)
Project FPS: 4149 (0.24 mspf)
Project FPS: 4267 (0.23 mspf)
Project FPS: 4276 (0.23 mspf)
Project FPS: 4282 (0.23 mspf)
Project FPS: 4279 (0.23 mspf)
