Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
OpenGL API 3.3.0 NVIDIA 596.49 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce RTX 4070 Ti SUPER

Project FPS: 4611 (0.21 mspf)
Project FPS: 4626 (0.21 mspf)
Project FPS: 4558 (0.21 mspf)
Project FPS: 4662 (0.21 mspf)
Project FPS: 4671 (0.21 mspf)
Project FPS: 4296 (0.23 mspf)
Project FPS: 4602 (0.21 mspf)
Project FPS: 4606 (0.21 mspf)
Project FPS: 4701 (0.21 mspf)
Project FPS: 4617 (0.21 mspf)
Project FPS: 4590 (0.21 mspf)
Project FPS: 4543 (0.22 mspf)
Project FPS: 4735 (0.21 mspf)
Project FPS: 4729 (0.21 mspf)
Project FPS: 4629 (0.21 mspf)
Project FPS: 4690 (0.21 mspf)
Project FPS: 4577 (0.21 mspf)
Project FPS: 4548 (0.21 mspf)
Project FPS: 4562 (0.21 mspf)
Project FPS: 4478 (0.22 mspf)
Project FPS: 4630 (0.21 mspf)
Project FPS: 4640 (0.21 mspf)
Project FPS: 4498 (0.22 mspf)
