Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
OpenGL API 3.3.0 NVIDIA 596.49 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce RTX 4070 Ti SUPER

Project FPS: 4006 (0.24 mspf)
Project FPS: 4110 (0.24 mspf)
Project FPS: 4237 (0.23 mspf)
Project FPS: 4227 (0.23 mspf)
Project FPS: 4101 (0.24 mspf)
Project FPS: 2076 (0.48 mspf)
Project FPS: 2590 (0.38 mspf)
Project FPS: 2997 (0.33 mspf)
Project FPS: 2967 (0.33 mspf)
Project FPS: 2968 (0.33 mspf)
Project FPS: 2861 (0.34 mspf)
Project FPS: 2940 (0.34 mspf)
Project FPS: 2957 (0.33 mspf)
Project FPS: 2919 (0.34 mspf)
Project FPS: 2963 (0.33 mspf)
Project FPS: 2959 (0.33 mspf)
Project FPS: 2983 (0.33 mspf)
Project FPS: 2911 (0.34 mspf)
Project FPS: 2995 (0.33 mspf)
Project FPS: 2908 (0.34 mspf)
Project FPS: 4253 (0.23 mspf)
Project FPS: 4357 (0.22 mspf)
Project FPS: 4388 (0.22 mspf)
Project FPS: 4419 (0.22 mspf)
Project FPS: 4388 (0.22 mspf)
Project FPS: 4471 (0.22 mspf)
Project FPS: 4429 (0.22 mspf)
Project FPS: 4467 (0.22 mspf)
Project FPS: 4491 (0.22 mspf)
Project FPS: 4282 (0.23 mspf)
Project FPS: 4407 (0.22 mspf)
Project FPS: 4417 (0.22 mspf)
Project FPS: 4464 (0.22 mspf)
Project FPS: 4424 (0.22 mspf)
Project FPS: 4319 (0.23 mspf)
Project FPS: 4243 (0.23 mspf)
Project FPS: 4452 (0.22 mspf)
Project FPS: 4452 (0.22 mspf)
Project FPS: 4323 (0.23 mspf)
Project FPS: 4388 (0.22 mspf)
Project FPS: 4358 (0.22 mspf)
Project FPS: 4475 (0.22 mspf)
Project FPS: 4414 (0.22 mspf)
Project FPS: 4406 (0.22 mspf)
Project FPS: 4347 (0.23 mspf)
Project FPS: 4417 (0.22 mspf)
Project FPS: 4409 (0.22 mspf)
Project FPS: 4154 (0.24 mspf)
Project FPS: 4300 (0.23 mspf)
Project FPS: 4352 (0.22 mspf)
Project FPS: 4334 (0.23 mspf)
Project FPS: 4351 (0.22 mspf)
Project FPS: 4404 (0.22 mspf)
Project FPS: 4404 (0.22 mspf)
Project FPS: 4432 (0.22 mspf)
Project FPS: 4035 (0.24 mspf)
Project FPS: 4425 (0.22 mspf)
Project FPS: 4385 (0.22 mspf)
Project FPS: 4191 (0.23 mspf)
Project FPS: 4384 (0.22 mspf)
Project FPS: 4330 (0.23 mspf)
Project FPS: 4401 (0.22 mspf)
Project FPS: 4477 (0.22 mspf)
