elapsed_s,objects,nodes,orphans
0.000,3443,198,0
0.008,3443,198,0
0.017,3443,198,0
0.025,3443,198,0
0.033,3443,198,0
0.042,3443,198,0
0.050,3441,198,0
0.058,3441,198,0
0.067,3435,192,0
0.075,3405,192,0
0.083,3405,192,0
0.092,3405,192,0
0.100,3405,192,0
0.108,3408,192,0
0.117,3408,192,0
0.125,3424,191,0
0.133,3419,191,0
0.142,3419,191,0
0.150,3419,191,0
0.158,3419,191,0
0.167,3419,191,0
0.175,3419,191,0
0.183,3689,266,0
0.192,3686,266,0
0.200,3670,258,0
0.208,3662,262,0
0.217,3655,262,0
0.225,3651,260,0
0.233,3643,260,0
0.242,3643,260,0
0.250,3646,260,0
0.258,3646,260,0
0.267,3646,260,0
0.275,3646,260,0
0.283,3646,260,0
0.292,3646,260,0
0.300,3646,260,0
0.308,3642,260,0
0.317,3642,260,0
0.325,3642,260,0
0.333,3656,264,0
0.342,3647,255,0
0.350,3602,255,0
0.358,3602,255,0
0.367,3600,253,0
0.375,3590,253,0
0.383,3585,250,0
0.392,3579,250,0
0.400,3576,250,0
0.408,3576,250,0
0.417,3586,254,0
0.425,3586,254,0
0.433,3586,254,0
0.442,3582,250,0
0.450,3572,250,0
0.458,3572,250,0
0.467,3572,250,0
0.475,3569,250,0
0.483,3560,245,0
0.492,3550,245,0
0.500,3576,249,0
0.508,3576,249,0
0.517,3570,246,0
0.525,3558,246,0
0.533,3561,246,0
0.542,3561,246,0
0.550,3564,246,0
0.558,3555,246,0
0.567,3555,246,0
0.575,3555,246,0
0.583,3558,246,0
0.592,3558,246,0
0.600,3558,246,0
0.608,3558,246,0
0.617,3558,246,0
0.625,3558,246,0
0.633,3555,246,0
0.642,3555,246,0
0.650,3556,246,0
0.658,3556,246,0
0.667,3554,244,0
0.675,3544,244,0
0.683,3544,244,0
0.692,3544,244,0
0.700,3544,244,0
0.708,3544,244,0
0.717,3544,244,0
0.725,3554,244,0
0.733,3554,244,0
0.742,3564,245,0
0.750,3561,245,0
0.758,3561,245,0
0.767,3558,245,0
0.775,3558,245,0
0.783,3833,292,0
0.792,3833,292,0
0.800,3818,283,0
0.808,3782,283,0
0.817,3815,289,0
0.825,3796,287,0
0.833,3788,287,0
0.842,3788,287,0
0.850,3788,287,0
0.858,3788,287,0
0.867,3788,287,0
0.875,3788,287,0
0.883,3785,287,0
0.892,3785,287,0
0.900,3785,287,0
0.908,3785,287,0
0.917,3781,287,0
0.925,3781,287,0
0.933,3779,287,0
0.942,3779,287,0
0.950,3763,268,0
0.958,3668,268,0
0.967,3668,268,0
0.975,3668,268,0
0.983,3665,265,0
0.992,3650,265,0
1.000,3662,263,0
1.008,3646,263,0
1.017,3646,263,0
1.025,3646,263,0
1.033,3643,263,0
1.042,3643,263,0
1.050,3639,259,0
1.058,3632,259,0
1.067,3632,259,0
1.075,3632,259,0
1.083,3626,254,0
1.092,3607,254,0
1.100,3610,254,0
1.108,3636,258,0
1.117,3631,258,0
1.125,3627,256,0
1.133,3733,280,0
1.142,3733,280,0
1.150,3733,280,0
1.158,3733,280,0
1.167,3733,280,0
1.175,3733,280,0
1.183,3730,280,0
1.192,3730,280,0
1.200,3730,280,0
1.208,3730,280,0
1.217,3736,279,0
1.225,3731,279,0
1.233,3734,279,0
1.242,3734,279,0
1.250,3732,279,0
1.258,3722,273,0
1.267,3708,271,0
1.275,3701,271,0
1.283,3701,271,0
1.292,3704,271,0
1.300,3704,271,0
1.308,3704,271,0
1.317,3714,271,0
1.325,3716,271,0
1.333,3716,271,0
1.342,3716,271,0
1.350,3716,271,0
1.358,3979,316,0
1.367,3979,316,0
1.375,3979,316,0
1.383,3979,316,0
1.392,3941,297,0
1.400,3889,301,0
1.408,3879,301,0
1.417,3873,298,0
1.425,3861,298,0
1.433,3861,298,0
1.442,3858,298,0
1.450,3853,295,0
1.458,3847,295,0
1.467,3847,295,0
1.475,3850,295,0
1.483,3857,299,0
