elapsed_s,objects,nodes,orphans
0.000,3465,134,0
0.008,3465,134,0
0.017,3465,134,0
0.025,3465,134,0
0.033,3465,134,0
0.042,3465,134,0
0.050,3465,134,0
0.058,3465,134,0
0.067,3462,134,0
0.075,3462,134,0
0.083,3468,133,0
0.092,3461,133,0
0.100,3461,133,0
0.108,3461,133,0
0.117,3459,132,0
0.125,3454,132,0
0.133,3454,132,0
0.142,3454,132,0
0.150,3454,132,0
0.158,3454,132,0
0.167,3464,132,0
0.175,3464,132,0
0.183,3467,132,0
0.192,3467,132,0
0.200,3467,132,0
0.208,3467,132,0
0.217,3467,132,0
0.225,3537,148,0
0.233,3537,148,0
0.242,3550,150,0
0.250,3545,150,0
0.258,3541,148,0
0.267,3533,148,0
0.275,3533,148,0
0.283,3533,148,0
0.292,3533,148,0
0.300,3533,148,0
0.308,3533,148,0
0.317,3533,148,0
0.325,3533,148,0
0.333,3533,148,0
0.342,3528,145,0
0.350,3522,145,0
0.358,3518,145,0
0.367,3518,145,0
0.375,3516,145,0
0.383,3526,149,0
0.392,3522,147,0
0.400,3510,146,0
0.408,3502,146,0
0.417,3502,146,0
0.425,3502,146,0
0.433,3502,146,0
0.442,3496,146,0
0.450,3496,146,0
0.458,3496,146,0
0.467,3496,146,0
0.475,3490,142,0
0.483,3483,142,0
0.492,3483,142,0
0.500,3483,142,0
0.508,3480,139,0
0.517,3487,136,0
0.525,3477,136,0
0.533,3477,136,0
0.542,3477,136,0
0.550,3475,135,0
0.558,3471,135,0
0.567,3471,135,0
0.575,3471,135,0
0.583,3471,135,0
0.592,3471,135,0
0.600,3471,135,0
0.608,3471,135,0
0.617,3471,135,0
0.625,3471,135,0
0.633,3469,135,0
0.642,3469,135,0
0.650,3469,135,0
0.658,3467,134,0
0.667,3462,134,0
0.675,3462,134,0
0.683,3462,134,0
0.692,3462,134,0
0.700,3462,134,0
0.708,3462,134,0
0.717,3472,134,0
0.725,3469,134,0
0.733,3469,134,0
0.742,3469,134,0
0.750,3469,134,0
0.758,3469,134,0
0.767,3469,134,0
0.775,3539,150,0
0.783,3539,150,0
0.792,3539,150,0
0.800,3552,152,0
0.808,3543,150,0
0.817,3535,150,0
0.825,3533,149,0
0.833,3529,149,0
0.842,3529,149,0
0.850,3529,149,0
0.858,3529,149,0
0.867,3529,149,0
0.875,3529,149,0
0.883,3529,149,0
0.892,3529,149,0
0.900,3529,149,0
0.908,3529,149,0
0.917,3523,149,0
0.925,3523,149,0
0.933,3523,149,0
0.942,3519,147,0
0.950,3509,147,0
0.958,3509,147,0
0.967,3507,146,0
0.975,3502,146,0
0.983,3502,146,0
0.992,3502,146,0
1.000,3496,146,0
1.008,3496,146,0
1.017,3496,146,0
1.025,3496,146,0
1.033,3496,146,0
1.042,3496,146,0
1.050,3490,142,0
1.058,3483,142,0
1.067,3483,142,0
1.075,3480,139,0
1.083,3484,136,0
1.092,3474,136,0
1.100,3474,136,0
1.108,3474,136,0
1.117,3472,135,0
1.125,3468,135,0
1.133,3468,135,0
1.142,3474,134,0
1.150,3469,134,0
1.158,3469,134,0
1.167,3469,134,0
1.175,3469,134,0
1.183,3472,134,0
1.192,3472,134,0
1.200,3472,134,0
1.208,3472,134,0
1.217,3475,134,0
1.225,3475,134,0
1.233,3473,134,0
1.242,3471,133,0
1.250,3466,133,0
1.258,3466,133,0
1.267,3466,133,0
1.275,3466,133,0
1.283,3466,133,0
1.292,3476,133,0
1.300,3476,133,0
1.308,3476,133,0
1.317,3476,133,0
1.325,3476,133,0
1.333,3476,133,0
1.342,3476,133,0
1.350,3546,149,0
1.358,3546,149,0
1.367,3546,149,0
1.375,3559,151,0
1.383,3556,151,0
1.392,3553,149,0
1.400,3541,146,0
1.408,3530,145,0
1.417,3536,149,0
1.425,3533,149,0
1.433,3534,149,0
1.442,3534,149,0
1.450,3535,149,0
1.458,3534,149,0
1.467,3530,149,0
1.475,3529,149,0
1.483,3524,147,0
1.492,3514,147,0
1.500,3512,146,0
1.508,3507,146,0
1.517,3507,146,0
1.525,3507,146,0
1.533,3501,146,0
1.542,3501,146,0
1.550,3501,146,0
1.558,3501,146,0
1.567,3501,146,0
1.575,3501,146,0
1.583,3495,142,0
1.592,3488,142,0
1.600,3488,142,0
1.608,3485,139,0
1.617,3474,134,0
1.625,3479,136,0
1.633,3479,136,0
1.642,3479,136,0
1.650,3479,136,0
1.658,3480,136,0
1.667,3477,135,0
1.675,3474,135,0
1.683,3473,135,0
1.692,3474,135,0
1.700,3473,135,0
1.708,3473,135,0
1.717,3473,135,0
1.725,3473,135,0
1.733,3473,135,0
1.742,3473,135,0
1.750,3473,135,0
1.758,3473,135,0
1.767,3473,135,0
1.775,3469,134,0
1.783,3464,134,0
1.792,3467,134,0
1.800,3476,134,0
1.808,3475,134,0
1.817,3474,134,0
1.825,3544,150,0
1.833,3544,150,0
1.842,3543,150,0
1.850,3556,152,0
1.858,3547,150,0
1.867,3539,150,0
1.875,3539,150,0
1.883,3538,149,0
1.892,3533,149,0
1.900,3533,149,0
1.908,3533,149,0
1.917,3533,149,0
1.925,3533,149,0
1.933,3533,149,0
1.942,3529,149,0
1.950,3529,149,0
1.958,3528,149,0
1.967,3523,147,0
1.975,3510,147,0
1.983,3510,147,0
1.992,3508,146,0
2.000,3503,146,0
2.008,3503,146,0
2.017,3503,146,0
2.025,3497,146,0
2.033,3497,146,0
2.042,3497,146,0
2.050,3498,146,0
2.058,3491,142,0
2.067,3484,142,0
2.075,3484,142,0
2.083,3487,138,0
2.092,3471,133,0
2.100,3476,135,0
2.108,3476,135,0
2.117,3476,135,0
2.125,3476,135,0
2.133,3474,134,0
2.142,3473,134,0
2.150,3473,134,0
2.158,3473,134,0
2.167,3473,134,0
2.175,3473,134,0
2.183,3473,134,0
2.192,3473,134,0
2.200,3473,134,0
2.208,3473,134,0
2.217,3471,134,0
2.225,3469,133,0
2.233,3464,133,0
2.242,3464,133,0
2.250,3474,133,0
2.258,3474,133,0
2.267,3469,130,0
2.275,3463,130,0
2.283,3463,130,0
2.292,3530,146,0
2.300,3540,150,0
2.308,3540,150,0
2.317,3554,150,0
2.325,3539,149,0
2.333,3535,149,0
2.342,3535,149,0
2.350,3535,149,0
2.358,3535,149,0
2.367,3535,149,0
2.375,3535,149,0
2.383,3531,149,0
2.392,3529,149,0
2.400,3529,149,0
2.408,3525,147,0
2.417,3515,147,0
2.425,3515,147,0
2.433,3513,147,0
2.442,3511,146,0
2.450,3506,146,0
2.458,3500,146,0
2.467,3500,146,0
2.475,3500,146,0
2.483,3494,142,0
2.492,3487,142,0
2.500,3484,142,0
2.508,3481,139,0
2.517,3470,134,0
2.525,3460,134,0
2.533,3475,136,0
2.542,3475,136,0
2.550,3473,135,0
2.558,3469,135,0
2.567,3469,135,0
2.575,3469,135,0
2.583,3469,135,0
2.592,3469,135,0
2.600,3469,135,0
2.608,3469,135,0
2.617,3469,135,0
2.625,3469,135,0
2.633,3469,135,0
2.642,3469,135,0
2.650,3469,135,0
2.658,3465,134,0
2.667,3460,134,0
2.675,3460,134,0
2.683,3460,134,0
2.692,3460,134,0
2.700,3470,134,0
2.708,3470,134,0
2.717,3470,134,0
2.725,3470,134,0
2.733,3470,134,0
2.742,3470,134,0
2.750,3540,150,0
2.758,3540,150,0
2.767,3553,152,0
2.775,3544,150,0
2.783,3536,150,0
2.792,3536,150,0
2.800,3536,150,0
2.808,3536,150,0
2.817,3536,150,0
2.825,3534,149,0
2.833,3530,149,0
2.842,3530,149,0
2.850,3530,149,0
2.858,3530,149,0
2.867,3530,149,0
2.875,3530,149,0
2.883,3530,149,0
2.892,3524,149,0
2.900,3524,149,0
2.908,3527,149,0
2.917,3523,147,0
2.925,3513,147,0
2.933,3511,146,0
2.942,3506,146,0
2.950,3506,146,0
2.958,3512,145,0
2.967,3501,145,0
2.975,3501,145,0
2.983,3501,145,0
2.992,3501,145,0
3.000,3504,145,0
3.008,3498,141,0
3.017,3491,141,0
3.025,3491,141,0
3.033,3503,140,0
3.042,3492,135,0
3.050,3482,135,0
3.058,3482,135,0
3.067,3482,135,0
3.075,3482,135,0
3.083,3482,135,0
3.092,3480,134,0
3.100,3476,134,0
3.108,3476,134,0
3.117,3476,134,0
3.125,3473,134,0
3.133,3473,134,0
3.142,3473,134,0
3.150,3473,134,0
3.158,3473,134,0
3.167,3473,134,0
3.175,3473,134,0
3.183,3471,134,0
3.192,3469,133,0
3.200,3464,133,0
3.208,3464,133,0
3.217,3459,130,0
3.225,3450,130,0
3.233,3450,130,0
3.242,3450,130,0
3.250,3460,134,0
3.258,3460,134,0
3.267,3470,134,0
3.275,3470,134,0
3.283,3470,134,0
3.292,3470,134,0
3.300,3470,134,0
3.308,3470,134,0
3.317,3470,134,0
3.325,3549,151,0
3.333,3549,151,0
3.342,3562,153,0
3.350,3557,153,0
3.358,3553,151,0
3.367,3545,151,0
3.375,3543,150,0
3.383,3539,150,0
3.392,3539,150,0
3.400,3539,150,0
3.408,3539,150,0
3.417,3539,150,0
3.425,3539,150,0
3.433,3539,150,0
3.442,3539,150,0
3.450,3537,150,0
3.458,3533,150,0
3.467,3533,150,0
3.475,3529,148,0
3.483,3519,148,0
3.492,3517,147,0
3.500,3512,147,0
3.508,3512,147,0
3.517,3512,147,0
3.525,3512,147,0
3.533,3506,147,0
3.542,3506,147,0
3.550,3506,147,0
3.558,3506,147,0
3.567,3503,143,0
3.575,3496,143,0
3.583,3496,143,0
3.592,3493,140,0
3.600,3497,137,0
3.608,3487,137,0
3.617,3487,137,0
3.625,3485,136,0
3.633,3481,136,0
3.642,3481,136,0
3.650,3481,136,0
