elapsed_s,objects,nodes,orphans
0.000,2779,62,0
0.008,2779,62,0
0.017,2779,62,0
0.025,2779,62,0
0.033,2779,62,0
0.042,2779,62,0
0.050,2779,62,0
0.058,2779,62,0
0.067,2779,62,0
0.075,2779,62,0
0.083,2779,62,0
0.092,2779,62,0
0.100,2779,62,0
0.108,2779,62,0
0.117,2779,62,0
0.125,2779,62,0
0.133,2779,62,0
0.142,2779,62,0
0.150,2779,62,0
0.158,2779,62,0
0.167,2779,62,0
0.175,2779,62,0
0.183,2779,62,0
0.192,2779,62,0
0.200,2779,62,0
0.208,2779,62,0
0.217,2779,62,0
0.225,2779,62,0
0.233,2779,62,0
0.242,2779,62,0
0.250,2779,62,0
0.258,2779,62,0
0.267,2779,62,0
0.275,2779,62,0
0.283,2779,62,0
0.292,2779,62,0
0.300,2779,62,0
0.308,2779,62,0
0.317,2779,62,0
0.325,2779,62,0
0.333,2779,62,0
0.342,2779,62,0
0.350,2779,62,0
0.358,2779,62,0
0.367,2779,62,0
0.375,2779,62,0
0.383,2779,62,0
0.392,2779,62,0
0.400,2779,62,0
0.408,2779,62,0
0.417,2779,62,0
0.425,2779,62,0
0.433,2779,62,0
0.442,2779,62,0
0.450,2779,62,0
0.458,2779,62,0
0.467,2779,62,0
0.475,2779,62,0
0.483,2779,62,0
0.492,2779,62,0
0.500,2779,62,0
0.508,2779,62,0
0.517,2779,62,0
0.525,2779,62,0
0.533,2779,62,0
0.542,2779,62,0
0.550,2779,62,0
0.558,2779,62,0
0.567,2779,62,0
0.575,2779,62,0
0.583,2779,62,0
0.592,2779,62,0
0.600,2779,62,0
0.608,2779,62,0
0.617,2779,62,0
0.625,2779,62,0
0.633,2779,62,0
0.642,2779,62,0
0.650,2779,62,0
0.658,2779,62,0
0.667,2779,62,0
0.675,2779,62,0
0.683,2779,62,0
0.692,2779,62,0
0.700,2779,62,0
0.708,2779,62,0
0.717,2779,62,0
0.725,2779,62,0
0.733,2779,62,0
0.742,2779,62,0
0.750,2779,62,0
0.758,2779,62,0
0.767,2779,62,0
0.775,2779,62,0
0.783,2779,62,0
0.792,2779,62,0
0.800,2779,62,0
0.808,2779,62,0
0.817,2779,62,0
0.825,2779,62,0
0.833,2779,62,0
0.842,2779,62,0
0.850,2779,62,0
0.858,2779,62,0
0.867,2779,62,0
0.875,2779,62,0
0.883,2779,62,0
0.892,2779,62,0
0.900,2779,62,0
0.908,2779,62,0
0.917,2779,62,0
0.925,2779,62,0
0.933,2779,62,0
0.942,2779,62,0
0.950,2779,62,0
0.958,2779,62,0
0.967,2779,62,0
0.975,2779,62,0
0.983,2779,62,0
0.992,2779,62,0
1.000,2779,62,0
1.008,2779,62,0
1.017,2779,62,0
1.025,2779,62,0
1.033,2779,62,0
1.042,2779,62,0
1.050,2779,62,0
1.058,2779,62,0
1.067,2779,62,0
1.075,2779,62,0
1.083,2779,62,0
1.092,2779,62,0
1.100,2779,62,0
1.108,2779,62,0
1.117,2779,62,0
1.125,2779,62,0
1.133,2779,62,0
1.142,2779,62,0
1.150,2779,62,0
1.158,2779,62,0
1.167,2779,62,0
1.175,2779,62,0
1.183,2779,62,0
1.192,2779,62,0
1.200,2779,62,0
1.208,2779,62,0
1.217,2779,62,0
1.225,2779,62,0
1.233,2779,62,0
1.242,2779,62,0
1.250,2779,62,0
1.258,2779,62,0
1.267,2779,62,0
1.275,2779,62,0
1.283,2779,62,0
1.292,2779,62,0
1.300,2779,62,0
1.308,2779,62,0
1.317,2779,62,0
1.325,2779,62,0
1.333,2779,62,0
1.342,2779,62,0
1.350,2779,62,0
1.358,2779,62,0
1.367,2779,62,0
1.375,2779,62,0
1.383,2779,62,0
1.392,2779,62,0
1.400,2779,62,0
1.408,2779,62,0
1.417,2779,62,0
1.425,2779,62,0
1.433,2779,62,0
1.442,2779,62,0
1.450,2779,62,0
1.458,2779,62,0
1.467,2779,62,0
1.475,2779,62,0
1.483,2779,62,0
1.492,2779,62,0
1.500,2779,62,0
1.508,2779,62,0
1.517,2779,62,0
1.525,2779,62,0
1.533,2779,62,0
1.542,2779,62,0
1.550,2779,62,0
1.558,2779,62,0
1.567,2779,62,0
1.575,2779,62,0
1.583,2779,62,0
1.592,2779,62,0
1.600,2779,62,0
1.608,2779,62,0
1.617,2779,62,0
1.625,2779,62,0
1.633,2779,62,0
1.642,2779,62,0
1.650,2779,62,0
1.658,2779,62,0
1.667,2779,62,0
1.675,2779,62,0
1.683,2779,62,0
1.692,2779,62,0
1.700,2779,62,0
1.708,2779,62,0
1.717,2779,62,0
1.725,2779,62,0
1.733,2779,62,0
1.742,2779,62,0
1.750,2779,62,0
1.758,2779,62,0
1.767,2779,62,0
1.775,2779,62,0
1.783,2779,62,0
1.792,2779,62,0
1.800,2779,62,0
1.808,2779,62,0
1.817,2779,62,0
1.825,2779,62,0
1.833,2779,62,0
1.842,2779,62,0
1.850,2779,62,0
1.858,2779,62,0
1.867,2779,62,0
1.875,2779,62,0
1.883,2779,62,0
1.892,2779,62,0
1.900,2779,62,0
1.908,2779,62,0
1.917,2779,62,0
1.925,2779,62,0
1.933,2779,62,0
1.942,2779,62,0
1.950,2779,62,0
1.958,2779,62,0
1.967,2779,62,0
1.975,2779,62,0
1.983,2779,62,0
1.992,2779,62,0
2.000,2779,62,0
2.008,2779,62,0
2.017,2779,62,0
2.025,2779,62,0
2.033,2779,62,0
2.042,2779,62,0
2.050,2779,62,0
2.058,2779,62,0
2.067,2779,62,0
2.075,2779,62,0
2.083,2779,62,0
2.092,2779,62,0
2.100,2779,62,0
2.108,2779,62,0
2.117,2779,62,0
2.125,2779,62,0
2.133,2779,62,0
2.142,2779,62,0
2.150,2779,62,0
2.158,2779,62,0
2.167,2779,62,0
2.175,2779,62,0
2.183,2779,62,0
2.192,2779,62,0
2.200,2779,62,0
2.208,2779,62,0
2.217,2779,62,0
2.225,2779,62,0
2.233,2779,62,0
2.242,2779,62,0
2.250,2779,62,0
2.258,2779,62,0
2.267,2779,62,0
2.275,2779,62,0
2.283,2779,62,0
2.292,2779,62,0
2.300,2779,62,0
2.308,2779,62,0
2.317,2779,62,0
2.325,2779,62,0
2.333,2779,62,0
2.342,2779,62,0
2.350,2779,62,0
2.358,2779,62,0
2.367,2779,62,0
2.375,2779,62,0
2.383,2779,62,0
2.392,2779,62,0
2.400,2779,62,0
2.408,2779,62,0
2.417,2779,62,0
2.425,2779,62,0
2.433,2779,62,0
2.442,2779,62,0
2.450,2779,62,0
2.458,2779,62,0
2.467,2779,62,0
2.475,2779,62,0
2.483,2779,62,0
2.492,2779,62,0
2.500,2779,62,0
2.508,2779,62,0
2.517,2779,62,0
2.525,2779,62,0
2.533,2779,62,0
2.542,2779,62,0
2.550,2779,62,0
2.558,2779,62,0
2.567,2779,62,0
2.575,2779,62,0
2.583,2779,62,0
2.592,2779,62,0
2.600,2779,62,0
2.608,2779,62,0
2.617,2779,62,0
2.625,2779,62,0
2.633,2779,62,0
2.642,2779,62,0
2.650,2779,62,0
2.658,2779,62,0
2.667,2779,62,0
2.675,2779,62,0
2.683,2779,62,0
2.692,2779,62,0
2.700,2779,62,0
2.708,2779,62,0
2.717,2779,62,0
2.725,2779,62,0
2.733,2779,62,0
2.742,2779,62,0
2.750,2779,62,0
2.758,2779,62,0
2.767,2779,62,0
2.775,2779,62,0
2.783,2779,62,0
2.792,2779,62,0
2.800,2779,62,0
2.808,2779,62,0
2.817,2779,62,0
2.825,2779,62,0
2.833,2779,62,0
2.842,2779,62,0
2.850,2779,62,0
2.858,2779,62,0
2.867,2779,62,0
2.875,2779,62,0
2.883,2779,62,0
2.892,2779,62,0
2.900,2779,62,0
2.908,2779,62,0
2.917,2779,62,0
2.925,2779,62,0
2.933,2779,62,0
2.942,2779,62,0
2.950,2779,62,0
2.958,2779,62,0
2.967,2779,62,0
2.975,2779,62,0
2.983,2779,62,0
2.992,2779,62,0
3.000,2779,62,0
3.008,2779,62,0
3.017,2779,62,0
3.025,2779,62,0
3.033,2779,62,0
3.042,2779,62,0
3.050,2779,62,0
3.058,2779,62,0
3.067,2779,62,0
3.075,2779,62,0
3.083,2779,62,0
3.092,2779,62,0
3.100,2779,62,0
3.108,2779,62,0
3.117,2779,62,0
3.125,2779,62,0
3.133,2779,62,0
3.142,2779,62,0
3.150,2779,62,0
3.158,2779,62,0
3.167,2779,62,0
3.175,2779,62,0
3.183,2779,62,0
3.192,2779,62,0
3.200,2779,62,0
3.208,2779,62,0
3.217,2779,62,0
3.225,2779,62,0
3.233,2779,62,0
3.242,2779,62,0
3.250,2779,62,0
3.258,2779,62,0
3.267,2779,62,0
3.275,2779,62,0
3.283,2779,62,0
3.292,2779,62,0
3.300,2779,62,0
3.308,2779,62,0
3.317,2779,62,0
3.325,2779,62,0
3.333,2779,62,0
3.342,2779,62,0
3.350,2779,62,0
3.358,2779,62,0
3.367,2779,62,0
3.375,2779,62,0
3.383,2779,62,0
3.392,2779,62,0
3.400,2779,62,0
3.408,2779,62,0
3.417,2779,62,0
3.425,2779,62,0
3.433,2779,62,0
3.442,2779,62,0
3.450,2779,62,0
3.458,2779,62,0
3.467,2779,62,0
3.475,2779,62,0
3.483,2779,62,0
