elapsed_s,objects,nodes,orphans
0.000,3753,179,0
0.008,3753,179,0
0.017,3753,179,0
0.025,3750,179,0
0.033,3750,179,0
0.042,3750,179,0
0.050,3747,176,0
0.058,3733,176,0
0.067,3733,176,0
0.075,3736,176,0
0.083,3736,176,0
0.092,3736,176,0
0.100,3736,176,0
0.108,3742,175,0
0.117,3737,175,0
0.125,3750,175,0
0.133,3750,175,0
0.142,3753,175,0
0.150,3753,175,0
0.158,3753,175,0
0.167,3753,175,0
0.175,3873,223,0
0.183,3927,235,0
0.192,3927,235,0
0.200,3927,235,0
0.208,3930,235,0
0.217,3930,235,0
0.225,3920,235,0
0.233,3920,235,0
0.242,3920,235,0
0.250,3920,235,0
0.258,3923,235,0
0.267,3923,235,0
0.275,3923,235,0
0.283,3923,235,0
0.292,3923,235,0
0.300,3923,235,0
0.308,3920,235,0
0.317,3916,235,0
0.325,3935,239,0
0.333,3933,239,0
0.342,3933,239,0
0.350,3933,239,0
0.358,3930,239,0
0.367,3930,239,0
0.375,3922,236,0
0.383,3916,236,0
0.392,3916,236,0
0.400,3916,236,0
0.408,3920,240,0
0.417,3920,240,0
0.425,3920,240,0
0.433,3920,240,0
0.442,3917,240,0
0.450,3911,236,0
0.458,3904,236,0
0.467,3904,236,0
0.475,3904,233,0
0.483,3893,228,0
0.492,3885,228,0
0.500,3885,228,0
0.508,3885,228,0
0.517,3885,228,0
0.525,3885,228,0
0.533,3885,228,0
0.542,3888,228,0
0.550,3879,228,0
0.558,3879,228,0
0.567,3879,228,0
0.575,3879,228,0
0.583,3879,228,0
0.592,3879,228,0
0.600,3879,228,0
0.608,3879,228,0
0.617,3879,228,0
0.625,3882,228,0
0.633,3882,228,0
0.642,3880,228,0
0.650,3880,228,0
0.658,3880,228,0
0.667,3880,228,0
0.675,3880,228,0
0.683,3880,228,0
0.692,3880,228,0
0.700,3880,228,0
0.708,3887,228,0
0.717,3887,228,0
0.725,3884,228,0
0.733,3894,229,0
0.742,3891,229,0
0.750,3891,229,0
0.758,3891,229,0
0.767,3950,241,0
0.775,3953,241,0
0.783,3953,241,0
0.792,3953,241,0
0.800,3953,241,0
0.808,3943,241,0
0.817,3946,241,0
0.825,3946,241,0
0.833,3949,241,0
0.842,3949,241,0
0.850,3946,241,0
0.858,3946,241,0
0.867,3946,241,0
0.875,3946,241,0
