elapsed_s,objects,nodes,orphans
0.000,3692,179,0
0.008,3692,179,0
0.017,3692,179,0
0.025,3692,179,0
0.033,3692,179,0
0.042,3692,179,0
0.050,3695,179,0
0.058,3692,176,0
0.067,3680,176,0
0.075,3680,176,0
0.083,3680,176,0
0.092,3680,176,0
0.100,3677,176,0
0.108,3677,176,0
0.117,3683,175,0
0.125,3678,175,0
0.133,3678,175,0
0.142,3678,175,0
0.150,3681,175,0
0.158,3681,175,0
0.167,3684,175,0
0.175,3684,175,0
0.183,3804,223,0
0.192,3804,223,0
0.200,3807,223,0
0.208,3807,223,0
0.217,3810,223,0
0.225,3810,223,0
0.233,3810,223,0
0.242,3810,223,0
0.250,3810,223,0
0.258,3810,223,0
0.267,3810,223,0
0.275,3810,223,0
0.283,3807,223,0
0.292,3807,223,0
0.300,3807,223,0
0.308,3807,223,0
0.317,3807,223,0
0.325,3807,223,0
0.333,3826,227,0
0.342,3826,227,0
0.350,3826,227,0
0.358,3826,227,0
0.367,3826,227,0
0.375,3826,227,0
0.383,3818,224,0
0.392,3812,224,0
0.400,3809,224,0
0.408,3809,224,0
0.417,3819,228,0
0.425,3819,228,0
0.433,3816,228,0
0.442,3816,228,0
0.450,3813,228,0
0.458,3813,228,0
0.467,3813,228,0
0.475,3813,228,0
0.483,3813,228,0
0.492,3813,228,0
0.500,3813,228,0
0.508,3813,228,0
0.517,3813,228,0
0.525,3813,228,0
0.533,3813,228,0
0.542,3813,228,0
0.550,3816,228,0
0.558,3807,228,0
0.567,3810,228,0
0.575,3810,228,0
0.583,3810,228,0
0.592,3810,228,0
0.600,3810,228,0
0.608,3810,228,0
0.617,3810,228,0
0.625,3810,228,0
0.633,3810,228,0
0.642,3810,228,0
0.650,3813,228,0
0.658,3813,228,0
0.667,3813,228,0
0.675,3813,228,0
0.683,3813,228,0
0.692,3813,228,0
0.700,3813,228,0
0.708,3813,228,0
0.717,3813,228,0
0.725,3813,228,0
0.733,3813,228,0
0.742,3823,229,0
0.750,3823,229,0
0.758,3823,229,0
0.767,3823,229,0
0.775,3823,229,0
0.783,3823,229,0
0.792,3823,229,0
0.800,3820,229,0
0.808,3820,229,0
0.817,3820,229,0
0.825,3820,229,0
