elapsed_s,objects,nodes,orphans
0.000,3732,179,0
0.008,3732,179,0
0.017,3732,179,0
0.025,3732,179,0
0.033,3732,179,0
0.042,3732,179,0
0.050,3729,176,0
0.058,3720,176,0
0.067,3720,176,0
0.075,3720,176,0
0.083,3720,176,0
0.092,3720,176,0
0.100,3720,176,0
0.108,3729,175,0
0.117,3724,175,0
0.125,3724,175,0
0.133,3724,175,0
0.142,3721,175,0
0.150,3721,175,0
0.158,3721,175,0
0.167,3721,175,0
0.175,3841,223,0
0.183,3841,223,0
0.192,3841,223,0
0.200,3841,223,0
0.208,3844,223,0
0.217,3844,223,0
0.225,3844,223,0
0.233,3844,223,0
0.242,3844,223,0
0.250,3844,223,0
0.258,3844,223,0
0.267,3844,223,0
0.275,3844,223,0
0.283,3844,223,0
0.292,3841,223,0
0.300,3841,223,0
0.308,3841,223,0
0.317,3841,223,0
0.325,3860,227,0
0.333,3860,227,0
0.342,3857,227,0
0.350,3857,227,0
0.358,3857,227,0
0.367,3857,227,0
0.375,3858,224,0
0.383,3852,224,0
0.392,3852,224,0
0.400,3852,224,0
0.408,3862,228,0
0.417,3862,228,0
0.425,3862,228,0
0.433,3862,228,0
0.442,3859,228,0
0.450,3859,228,0
0.458,3859,228,0
0.467,3859,228,0
0.475,3859,228,0
0.483,3859,228,0
0.492,3859,228,0
0.500,3859,228,0
0.508,3859,228,0
0.517,3859,228,0
0.525,3859,228,0
0.533,3859,228,0
0.542,3862,228,0
0.550,3853,228,0
0.558,3853,228,0
0.567,3853,228,0
0.575,3853,228,0
0.583,3853,228,0
0.592,3853,228,0
0.600,3853,228,0
0.608,3850,228,0
0.617,3850,228,0
0.625,3850,228,0
0.633,3850,228,0
0.642,3850,228,0
0.650,3850,228,0
0.658,3850,228,0
0.667,3850,228,0
0.675,3850,228,0
0.683,3850,228,0
0.692,3850,228,0
0.700,3850,228,0
0.708,3850,228,0
0.717,3850,228,0
0.725,3850,228,0
0.733,3860,229,0
0.742,3860,229,0
0.750,3860,229,0
0.758,3863,229,0
0.767,3863,229,0
0.775,3863,229,0
0.783,3863,229,0
0.792,3863,229,0
0.800,3863,229,0
0.808,3866,229,0
0.817,3866,229,0
0.825,3866,229,0
0.833,3866,229,0
0.842,3863,229,0
0.850,3863,229,0
0.858,3863,229,0
0.867,3863,229,0
0.875,3863,229,0
0.883,3863,229,0
0.892,3863,229,0
0.900,3863,229,0
0.908,3863,229,0
0.917,3863,229,0
0.925,3863,229,0
0.933,3863,229,0
0.942,3863,229,0
0.950,3863,229,0
0.958,3863,229,0
0.967,3863,229,0
0.975,3860,229,0
0.983,3860,229,0
0.992,3869,227,0
1.000,3859,227,0
1.008,3859,227,0
1.017,3859,227,0
1.025,3859,227,0
1.033,3859,227,0
1.042,3856,227,0
1.050,3856,227,0
1.058,3856,227,0
1.067,3856,227,0
1.075,3865,227,0
1.083,3856,227,0
1.092,3856,227,0
1.100,3856,227,0
1.108,3851,227,0
1.117,3851,227,0
1.125,3965,251,0
1.133,3965,251,0
1.142,3965,251,0
1.150,3965,251,0
1.158,3965,251,0
1.167,3965,251,0
1.175,3965,251,0
1.183,3965,251,0
1.192,3965,251,0
1.200,3965,251,0
1.208,3971,250,0
1.217,3966,250,0
1.225,3966,250,0
1.233,3966,250,0
1.242,3966,250,0
1.250,3966,250,0
1.258,3956,244,0
1.267,3944,244,0
1.275,3944,244,0
1.283,3944,244,0
1.292,3947,244,0
1.300,3947,244,0
1.308,3944,244,0
1.317,3944,244,0
1.325,3944,244,0
1.333,3949,244,0
1.342,3946,244,0
1.350,3946,244,0
1.358,3946,244,0
1.367,3946,244,0
1.375,3946,244,0
1.383,3946,244,0
1.392,3946,244,0
1.400,3946,244,0
1.408,3946,244,0
1.417,3946,244,0
1.425,3946,244,0
1.433,3946,244,0
1.442,3949,244,0
1.450,3949,244,0
1.458,3952,244,0
1.467,3952,244,0
1.475,3947,241,0
1.483,3941,241,0
1.492,3941,241,0
1.500,3941,241,0
1.508,3954,245,0
1.517,3954,245,0
1.525,3951,245,0
1.533,3951,245,0
1.542,3948,245,0
1.550,3948,245,0
1.558,3948,245,0
1.567,3948,245,0
1.575,3948,245,0
1.583,3948,245,0
1.592,3948,245,0
1.600,3948,245,0
1.608,3948,245,0
1.617,3966,245,0
1.625,3912,245,0
1.633,3912,245,0
1.642,3912,245,0
1.650,3912,245,0
1.658,3912,245,0
1.667,3912,245,0
1.675,3909,245,0
1.683,3909,245,0
1.692,3906,245,0
1.700,3906,245,0
1.708,3901,245,0
1.717,3901,245,0
1.725,3901,245,0
1.733,3901,245,0
1.742,3898,245,0
1.750,3898,245,0
1.758,3898,245,0
1.767,3898,245,0
1.775,3934,245,0
1.783,3916,245,0
1.792,3916,245,0
1.800,3916,245,0
1.808,3916,245,0
1.817,3916,245,0
1.825,3916,245,0
1.833,3916,245,0
1.842,3916,245,0
1.850,3916,245,0
1.858,3916,245,0
1.867,3916,245,0
1.875,3916,245,0
1.883,3912,241,0
1.892,3906,241,0
1.900,3906,241,0
1.908,3906,241,0
1.917,3906,241,0
1.925,3906,241,0
1.933,3906,241,0
1.942,3906,241,0
1.950,3906,241,0
1.958,3906,241,0
1.967,3906,241,0
1.975,3906,241,0
1.983,3906,241,0
1.992,3906,241,0
2.000,3906,241,0
2.008,3903,241,0
2.017,3903,241,0
2.025,3903,241,0
2.033,3903,241,0
2.042,3903,241,0
2.050,3903,241,0
2.058,3903,241,0
2.067,3903,241,0
2.075,3903,241,0
2.083,3903,241,0
2.092,3903,241,0
2.100,3903,241,0
2.108,3903,241,0
2.117,3903,241,0
2.125,3903,241,0
2.133,3903,241,0
2.142,3906,241,0
2.150,3876,241,0
2.158,3879,241,0
2.167,3879,241,0
2.175,3879,241,0
2.183,3874,236,0
2.192,3864,236,0
2.200,3864,236,0
2.208,3867,236,0
2.217,3867,236,0
2.225,3867,236,0
2.233,3867,236,0
2.242,3864,236,0
2.250,3864,236,0
2.258,3864,236,0
2.267,3864,236,0
2.275,3864,236,0
2.283,3864,236,0
2.292,3864,236,0
2.300,3864,236,0
2.308,3870,235,0
2.317,3865,235,0
2.325,3865,235,0
2.333,3865,235,0
2.342,3865,235,0
2.350,3865,235,0
2.358,3865,235,0
2.367,3865,235,0
2.375,3865,235,0
2.383,3865,235,0
2.392,3862,235,0
2.400,3862,235,0
2.408,3862,235,0
2.417,3862,235,0
2.425,3862,235,0
2.433,3862,235,0
2.442,3859,235,0
2.450,3859,235,0
2.458,3859,235,0
2.467,3859,235,0
2.475,3865,235,0
2.483,3865,235,0
2.492,3865,235,0
2.500,3865,235,0
2.508,3865,235,0
2.517,3865,235,0
2.525,3865,235,0
2.533,3865,235,0
2.542,3865,235,0
2.550,3865,235,0
2.558,3865,235,0
2.567,3865,235,0
2.575,3860,232,0
2.583,3854,232,0
2.592,3854,232,0
2.600,3854,232,0
2.608,3861,236,0
2.617,3861,236,0
2.625,3861,236,0
2.633,3861,236,0
2.642,3861,236,0
2.650,3861,236,0
2.658,3861,236,0
2.667,3861,236,0
2.675,3861,236,0
2.683,3861,236,0
2.692,3861,236,0
2.700,3861,236,0
2.708,3858,236,0
2.717,3858,236,0
2.725,3858,236,0
2.733,3858,236,0
2.742,3858,236,0
2.750,3858,236,0
2.758,3858,236,0
2.767,3858,236,0
2.775,3858,236,0
2.783,3858,236,0
2.792,3858,236,0
2.800,3858,236,0
2.808,3858,236,0
2.817,3858,236,0
2.825,3858,236,0
2.833,3858,236,0
2.842,3861,236,0
2.850,3861,236,0
2.858,3864,236,0
2.867,3864,236,0
2.875,3864,236,0
2.883,3864,236,0
2.892,3864,236,0
2.900,3864,236,0
2.908,3867,236,0
2.917,3867,236,0
2.925,3867,236,0
2.933,3867,236,0
2.942,3864,236,0
2.950,3864,236,0
2.958,3864,236,0
2.967,3864,236,0
2.975,3864,236,0
2.983,3864,236,0
2.992,3864,236,0
3.000,3864,236,0
3.008,3864,236,0
3.017,3864,236,0
3.025,3864,236,0
3.033,3864,236,0
3.042,3864,236,0
3.050,3864,236,0
3.058,3864,236,0
3.067,3864,236,0
3.075,3861,236,0
3.083,3861,236,0
3.092,3858,236,0
3.100,3858,236,0
3.108,3858,236,0
3.117,3858,236,0
3.125,3858,236,0
3.133,3858,236,0
3.142,3855,236,0
3.150,3855,236,0
3.158,3855,236,0
3.167,3855,236,0
3.175,3861,236,0
3.183,3861,236,0
3.192,3811,196,0
3.200,3761,196,0
3.208,3761,196,0
3.217,3761,196,0
3.225,3761,196,0
3.233,3737,172,0
3.242,3701,172,0
3.250,3701,172,0
3.258,3701,172,0
3.267,3701,172,0
3.275,3701,172,0
3.283,3701,172,0
3.292,3701,172,0
3.300,3701,172,0
3.308,3701,172,0
3.317,3701,172,0
3.325,3701,172,0
3.333,3701,172,0
3.342,3701,172,0
3.350,3701,172,0
3.358,3701,172,0
3.367,3701,172,0
3.375,3701,172,0
3.383,3701,172,0
3.392,3701,172,0
3.400,3701,172,0
3.408,3704,171,0
3.417,3699,171,0
3.425,3699,171,0
3.433,3699,171,0
3.442,3699,171,0
3.450,3699,171,0
3.458,3702,171,0
3.467,3702,171,0
3.475,3702,171,0
3.483,3702,171,0
3.492,3702,171,0
3.500,3702,171,0
3.508,3702,171,0
3.517,3702,171,0
3.525,3702,171,0
3.533,3702,171,0
3.542,3705,171,0
3.550,3705,171,0
3.558,3708,171,0
3.567,3708,171,0
3.575,3708,171,0
3.583,3708,171,0
3.592,3708,171,0
3.600,3708,171,0
3.608,3711,171,0
3.617,3711,171,0
3.625,3711,171,0
3.633,3711,171,0
3.642,3708,171,0
3.650,3708,171,0
3.658,3708,171,0
3.667,3708,171,0
3.675,3703,168,0
3.683,3697,168,0
3.692,3694,168,0
3.700,3694,168,0
3.708,3704,172,0
3.717,3704,172,0
3.725,3704,172,0
3.733,3704,172,0
3.742,3704,172,0
3.750,3704,172,0
3.758,3704,172,0
3.767,3704,172,0
3.775,3701,172,0
3.783,3701,172,0
3.792,3698,172,0
3.800,3698,172,0
3.808,3698,172,0
3.817,3698,172,0
3.825,3698,172,0
3.833,3698,172,0
3.842,3695,172,0
3.850,3695,172,0
3.858,3695,172,0
3.867,3695,172,0
3.875,3701,172,0
3.883,3701,172,0
3.892,3701,172,0
3.900,3701,172,0
3.908,3701,172,0
3.917,3701,172,0
3.925,3701,172,0
3.933,3701,172,0
3.942,3701,172,0
3.950,3701,172,0
3.958,3701,172,0
3.967,3701,172,0
3.975,3701,172,0
3.983,3701,172,0
3.992,3701,172,0
4.000,3701,172,0
4.008,3701,172,0
4.017,3701,172,0
4.025,3701,172,0
4.033,3701,172,0
4.042,3701,172,0
4.050,3701,172,0
4.058,3701,172,0
4.067,3701,172,0
4.075,3701,172,0
4.083,3701,172,0
4.092,3701,172,0
4.100,3701,172,0
4.108,3698,172,0
4.117,3698,172,0
4.125,3698,172,0
4.133,3698,172,0
4.142,3698,172,0
4.150,3698,172,0
4.158,3698,172,0
4.167,3698,172,0
4.175,3698,172,0
4.183,3698,172,0
4.192,3818,220,0
4.200,3818,220,0
4.208,3818,220,0
4.217,3818,220,0
4.225,3818,220,0
4.233,3818,220,0
4.242,3821,220,0
4.250,3821,220,0
4.258,3824,220,0
4.267,3824,220,0
4.275,3824,220,0
4.283,3824,220,0
4.292,3824,220,0
4.300,3824,220,0
4.308,3827,220,0
4.317,3827,220,0
4.325,3827,220,0
4.333,3827,220,0
4.342,3824,220,0
4.350,3824,220,0
4.358,3824,220,0
4.367,3824,220,0
4.375,3824,220,0
4.383,3824,220,0
4.392,3824,220,0
4.400,3824,220,0
4.408,3824,220,0
4.417,3824,220,0
4.425,3824,220,0
4.433,3824,220,0
4.442,3824,220,0
4.450,3824,220,0
4.458,3824,220,0
4.467,3824,220,0
4.475,3821,220,0
4.483,3821,220,0
4.492,3818,220,0
4.500,3818,220,0
4.508,3824,219,0
4.517,3819,219,0
4.525,3819,219,0
4.533,3819,219,0
4.542,3819,219,0
4.550,3819,219,0
4.558,3819,219,0
4.567,3819,219,0
4.575,3825,219,0
4.583,3825,219,0
4.592,3825,219,0
4.600,3825,219,0
4.608,3825,219,0
4.617,3825,219,0
4.625,3825,219,0
4.633,3825,219,0
4.642,3825,219,0
4.650,3825,219,0
4.658,3825,219,0
4.667,3825,219,0
4.675,3825,219,0
4.683,3825,219,0
4.692,3825,219,0
4.700,3825,219,0
4.708,3825,219,0
4.717,3825,219,0
4.725,3825,219,0
4.733,3825,219,0
4.742,3825,219,0
4.750,3825,219,0
4.758,3825,219,0
4.767,3825,219,0
4.775,3817,216,0
4.783,3811,216,0
4.792,3811,216,0
4.800,3811,216,0
4.808,3818,220,0
4.817,3818,220,0
4.825,3818,220,0
4.833,3818,220,0
4.842,3818,220,0
4.850,3818,220,0
4.858,3818,220,0
4.867,3818,220,0
4.875,3818,220,0
4.883,3818,220,0
4.892,3818,220,0
4.900,3818,220,0
4.908,3818,220,0
4.917,3818,220,0
4.925,3818,220,0
4.933,3818,220,0
4.942,3821,220,0
4.950,3821,220,0
4.958,3824,220,0
4.967,3824,220,0
4.975,3824,220,0
4.983,3824,220,0
4.992,3824,220,0
5.000,3824,220,0
5.008,3839,218,0
5.017,3829,218,0
5.025,3829,218,0
5.033,3829,218,0
5.042,3826,218,0
5.050,3826,218,0
5.058,3826,218,0
5.067,3826,218,0
5.075,3826,218,0
5.083,3826,218,0
5.092,3826,218,0
5.100,3826,218,0
5.108,3826,218,0
5.117,3826,218,0
5.125,3826,218,0
5.133,3826,218,0
5.142,3826,218,0
5.150,3826,218,0
5.158,3826,218,0
5.167,3826,218,0
5.175,3842,222,0
5.183,3842,222,0
5.192,3839,222,0
5.200,3839,222,0
5.208,3839,222,0
5.217,3839,222,0
5.225,3839,222,0
5.233,3839,222,0
5.242,3836,222,0
5.250,3836,222,0
5.258,3836,222,0
5.267,3836,222,0
5.275,3832,216,0
5.283,3820,216,0
5.292,3820,216,0
5.300,3820,216,0
5.308,3820,216,0
5.317,3820,216,0
5.325,3820,216,0
5.333,3820,216,0
5.342,3820,216,0
5.350,3820,216,0
5.358,3820,216,0
5.367,3820,216,0
5.375,3820,216,0
5.383,3820,216,0
5.392,3820,216,0
5.400,3820,216,0
5.408,3820,216,0
5.417,3820,216,0
5.425,3820,216,0
5.433,3820,216,0
5.442,3820,216,0
5.450,3820,216,0
5.458,3820,216,0
5.467,3820,216,0
5.475,3820,216,0
5.483,3820,216,0
5.492,3820,216,0
5.500,3820,216,0
5.508,3817,216,0
5.517,3817,216,0
5.525,3817,216,0
5.533,3817,216,0
5.542,3817,216,0
5.550,3817,216,0
5.558,3817,216,0
5.567,3817,216,0
5.575,3817,216,0
5.583,3817,216,0
5.592,3817,216,0
5.600,3817,216,0
5.608,3823,215,0
5.617,3818,215,0
5.625,3821,215,0
5.633,3821,215,0
5.642,3824,215,0
5.650,3824,215,0
5.658,3827,215,0
5.667,3827,215,0
5.675,3827,215,0
5.683,3827,215,0
5.692,3827,215,0
5.700,3827,215,0
5.708,3830,215,0
5.717,3830,215,0
5.725,3830,215,0
5.733,3830,215,0
5.742,3827,215,0
5.750,3827,215,0
5.758,3830,215,0
5.767,3821,215,0
5.775,3821,215,0
5.783,3821,215,0
5.792,3821,215,0
5.800,3821,215,0
5.808,3821,215,0
5.817,3821,215,0
5.825,3821,215,0
5.833,3821,215,0
5.842,3821,215,0
5.850,3821,215,0
5.858,3818,215,0
5.867,3818,215,0
5.875,3810,212,0
5.883,3804,212,0
5.892,3801,212,0
5.900,3801,212,0
5.908,3811,216,0
5.917,3811,216,0
5.925,3811,216,0
5.933,3811,216,0
5.942,3808,216,0
5.950,3818,217,0
5.958,3815,217,0
5.967,3815,217,0
5.975,3821,217,0
5.983,3821,217,0
5.992,3821,217,0
6.000,3821,217,0
6.008,3821,217,0
6.017,3821,217,0
6.025,3821,217,0
6.033,3821,217,0
6.042,3821,217,0
6.050,3821,217,0
6.058,3821,217,0
6.067,3821,217,0
6.075,3821,217,0
6.083,3821,217,0
6.092,3821,217,0
6.100,3821,217,0
6.108,3821,217,0
6.117,3821,217,0
6.125,3821,217,0
6.133,3821,217,0
6.142,3821,217,0
6.150,3821,217,0
6.158,3821,217,0
6.167,3821,217,0
6.175,3821,217,0
6.183,3821,217,0
6.192,3821,217,0
6.200,3821,217,0
6.208,3818,217,0
6.217,3818,217,0
6.225,3818,217,0
6.233,3818,217,0
6.242,3818,217,0
6.250,3818,217,0
6.258,3818,217,0
6.267,3818,217,0
