elapsed_s,objects,nodes,orphans
0.000,3819,188,0
0.008,3819,188,0
0.017,3819,188,0
0.025,3819,188,0
0.033,3819,188,0
0.042,3813,185,0
0.050,3799,185,0
0.058,3802,185,0
0.067,3800,184,0
0.075,3795,184,0
0.083,3795,184,0
0.092,3795,184,0
0.100,3795,184,0
0.108,3801,183,0
0.117,3806,183,0
0.125,3806,183,0
0.133,3806,183,0
0.142,3803,183,0
0.150,3803,183,0
0.158,3800,183,0
0.167,4426,309,0
0.175,4426,309,0
0.183,4426,309,0
0.192,4429,309,0
0.200,4404,299,0
0.208,4364,299,0
0.217,4364,299,0
0.225,4364,299,0
0.233,4362,298,0
0.242,4358,298,0
0.250,4358,298,0
0.258,4358,298,0
0.267,4355,298,0
0.275,4355,298,0
0.283,4351,298,0
0.292,4372,302,0
0.300,4370,302,0
0.308,4298,266,0
0.317,4118,266,0
0.325,4118,266,0
0.333,4118,266,0
0.342,4113,263,0
0.350,4107,263,0
0.358,4107,263,0
0.367,4101,263,0
0.375,4111,267,0
0.383,4111,267,0
0.392,4117,267,0
0.400,4111,263,0
0.408,4101,263,0
0.417,4101,263,0
0.425,4101,263,0
0.433,4098,260,0
0.442,4087,255,0
0.450,4105,259,0
0.458,4105,259,0
0.467,4105,259,0
0.475,4105,259,0
0.483,4105,259,0
0.492,4103,258,0
0.500,4099,258,0
0.508,4099,258,0
0.517,4099,258,0
0.525,4099,258,0
0.533,4099,258,0
0.542,4099,258,0
0.550,4099,258,0
0.558,4099,258,0
0.567,4099,258,0
0.575,4102,258,0
0.583,4102,258,0
0.592,4105,258,0
0.600,4099,258,0
0.608,4099,258,0
0.617,4095,256,0
0.625,4079,256,0
0.633,4079,256,0
0.642,4079,256,0
0.650,4079,256,0
0.658,4082,256,0
0.667,4092,256,0
0.675,4092,256,0
0.683,4092,256,0
0.692,4092,256,0
0.700,4092,256,0
0.708,4092,256,0
0.717,4092,256,0
0.725,4476,314,0
0.733,4476,314,0
0.742,4476,314,0
0.750,4476,314,0
0.758,4416,284,0
0.767,4291,284,0
0.775,4291,284,0
0.783,4291,284,0
0.792,4291,284,0
0.800,4291,284,0
0.808,4288,284,0
0.817,4288,284,0
0.825,4285,284,0
0.833,4285,284,0
0.842,4285,284,0
0.850,4285,284,0
0.858,4281,284,0
0.867,4281,284,0
0.875,4279,284,0
0.883,4279,284,0
0.892,4204,248,0
0.900,4024,248,0
0.908,4024,248,0
0.917,4024,248,0
0.925,4024,248,0
0.933,4024,248,0
0.942,4024,248,0
0.950,4018,248,0
0.958,4027,246,0
0.967,4017,246,0
0.975,4017,246,0
0.983,4017,246,0
0.992,4011,242,0
1.000,4004,242,0
1.008,4004,242,0
1.017,4001,239,0
1.025,4083,248,0
1.033,4076,248,0
1.042,4070,248,0
1.050,4070,248,0
1.058,4070,248,0
1.067,4066,246,0
1.075,4058,246,0
1.083,4064,246,0
1.092,4064,246,0
1.100,4064,246,0
1.108,4064,246,0
1.117,4064,246,0
1.125,4064,246,0
1.133,4064,246,0
1.142,4064,246,0
1.150,4064,246,0
1.158,4064,246,0
1.167,4070,245,0
1.175,4063,245,0
1.183,4049,238,0
1.192,4014,238,0
1.200,4014,238,0
1.208,4014,238,0
1.217,4007,232,0
1.225,3995,232,0
1.233,3995,232,0
1.242,4005,232,0
1.250,4008,232,0
1.258,4008,232,0
1.267,4011,232,0
1.275,4011,232,0
1.283,4020,232,0
1.292,4017,232,0
1.300,4488,305,0
1.308,4488,305,0
1.317,4482,305,0
1.325,4482,305,0
1.333,4482,305,0
1.342,4455,295,0
1.350,4415,295,0
1.358,4415,295,0
1.367,4415,295,0
1.375,4415,295,0
1.383,4415,295,0
1.392,4415,295,0
1.400,4415,295,0
1.408,4418,295,0
1.417,4418,295,0
1.425,4409,292,0
1.433,4401,292,0
1.442,4398,292,0
1.450,4398,292,0
1.458,4336,260,0
1.467,4156,260,0
1.475,4153,260,0
1.483,4153,260,0
1.492,4150,260,0
1.500,4150,260,0
1.508,4147,260,0
1.517,4141,260,0
1.525,4141,260,0
1.533,4141,260,0
1.542,4141,260,0
