elapsed_s,objects,nodes,orphans
0.000,3441,134,0
0.008,3441,134,0
0.017,3441,134,0
0.025,3441,134,0
0.033,3441,134,0
0.042,3441,134,0
0.050,3441,134,0
0.058,3441,134,0
0.067,3441,134,0
0.075,3441,134,0
0.083,3441,134,0
0.092,3441,134,0
0.100,3441,134,0
0.108,3441,134,0
0.117,3447,133,0
0.125,3442,133,0
0.133,3452,133,0
0.142,3452,133,0
0.150,3452,133,0
0.158,3452,133,0
0.167,3452,133,0
0.175,3452,133,0
0.183,3572,181,0
0.192,3609,193,0
0.200,3609,193,0
0.208,3609,193,0
0.217,3612,193,0
0.225,3612,193,0
0.233,3612,193,0
0.242,3612,193,0
0.250,3612,193,0
0.258,3612,193,0
0.267,3612,193,0
0.275,3608,193,0
0.283,3608,193,0
0.292,3608,193,0
0.300,3608,193,0
0.308,3608,193,0
0.317,3608,193,0
0.325,3604,193,0
0.333,3625,197,0
0.342,3625,197,0
0.350,3625,197,0
0.358,3625,197,0
0.367,3625,197,0
0.375,3625,197,0
0.383,3620,194,0
0.392,3614,194,0
0.400,3614,194,0
0.408,3614,194,0
0.417,3618,198,0
0.425,3618,198,0
0.433,3618,198,0
0.442,3618,198,0
0.450,3615,198,0
0.458,3609,194,0
0.467,3602,194,0
0.475,3602,194,0
0.483,3599,191,0
0.492,3588,186,0
0.500,3578,186,0
0.508,3578,186,0
0.517,3578,186,0
0.525,3578,186,0
0.533,3578,186,0
0.542,3578,186,0
0.550,3581,186,0
0.558,3575,186,0
0.567,3575,186,0
0.575,3575,186,0
0.583,3575,186,0
0.592,3575,186,0
0.600,3575,186,0
0.608,3575,186,0
0.617,3575,186,0
0.625,3575,186,0
0.633,3575,186,0
0.642,3571,186,0
0.650,3571,186,0
0.658,3571,186,0
0.667,3571,186,0
0.675,3571,186,0
0.683,3571,186,0
0.692,3571,186,0
0.700,3571,186,0
0.708,3571,186,0
0.717,3581,186,0
0.725,3581,186,0
0.733,3581,186,0
0.742,3592,187,0
0.750,3589,187,0
0.758,3589,187,0
0.767,3589,187,0
0.775,3626,199,0
0.783,3626,199,0
0.792,3626,199,0
0.800,3626,199,0
0.808,3626,199,0
0.817,3627,199,0
0.825,3627,199,0
0.833,3627,199,0
0.842,3628,199,0
0.850,3627,199,0
0.858,3628,199,0
0.867,3627,199,0
0.875,3628,199,0
0.883,3627,199,0
0.892,3628,199,0
