elapsed_s,objects,nodes,orphans
0.000,3927,203,0
0.008,3927,203,0
0.017,3927,203,0
0.025,3927,203,0
0.033,3921,200,0
0.042,3909,200,0
0.050,3909,200,0
0.058,3909,200,0
0.067,3909,200,0
0.075,3909,200,0
0.083,3912,200,0
0.092,3909,200,0
0.100,3913,199,0
0.108,3904,197,0
0.117,3897,197,0
0.125,3897,197,0
0.133,3897,197,0
0.142,3897,197,0
0.150,3900,197,0
0.158,3910,197,0
0.167,4030,245,0
0.175,4030,245,0
0.183,4030,245,0
0.192,4030,245,0
0.200,4033,245,0
0.208,4033,245,0
0.217,4212,277,0
0.225,4212,277,0
0.233,4212,277,0
0.242,4238,281,0
0.250,4228,281,0
0.258,4191,263,0
0.267,4119,263,0
0.275,4115,261,0
0.283,4107,261,0
0.292,4107,261,0
0.300,4107,261,0
0.308,4104,261,0
0.317,4104,261,0
0.325,4104,261,0
0.333,4104,261,0
0.342,4101,261,0
0.350,4097,261,0
0.358,4090,258,0
0.367,4084,258,0
0.375,4061,248,0
0.383,4011,248,0
0.392,4021,252,0
0.400,4017,250,0
0.408,4007,250,0
0.417,4007,250,0
0.425,4004,250,0
0.433,3998,250,0
0.442,3998,250,0
0.450,3998,250,0
0.458,3998,250,0
0.467,3998,250,0
0.475,3992,246,0
0.483,3982,246,0
0.492,3982,246,0
0.500,3979,243,0
0.508,3968,238,0
0.517,3961,238,0
0.525,4009,246,0
0.533,4009,246,0
0.542,4009,246,0
0.550,4009,246,0
0.558,4008,244,0
0.567,4000,244,0
0.575,4000,244,0
0.583,4000,244,0
0.592,4000,244,0
0.600,4000,244,0
0.608,4000,244,0
0.617,4003,244,0
0.625,4003,244,0
0.633,4003,244,0
0.642,4003,244,0
0.650,4003,244,0
0.658,4003,244,0
0.667,4003,244,0
0.675,4001,244,0
0.683,4001,244,0
0.692,3993,240,0
0.700,3973,240,0
0.708,3984,241,0
0.717,3981,241,0
0.725,3981,241,0
0.733,3991,241,0
0.742,3991,241,0
0.750,3991,241,0
0.758,3991,241,0
0.767,3994,241,0
0.775,3994,241,0
0.783,3994,241,0
0.792,4170,273,0
0.800,4173,273,0
0.808,4173,273,0
0.817,4173,273,0
0.825,4199,277,0
0.833,4172,267,0
0.842,4132,267,0
0.850,4129,267,0
0.858,4125,265,0
0.867,4117,265,0
0.875,4117,265,0
0.883,4117,265,0
0.892,4117,265,0
0.900,4117,265,0
0.908,4117,265,0
0.917,4117,265,0
0.925,4113,265,0
0.933,4113,265,0
0.942,4113,265,0
0.950,4114,265,0
0.958,4094,255,0
0.967,4056,253,0
0.975,4046,253,0
0.983,4046,253,0
0.992,4042,251,0
1.000,4029,251,0
1.008,4029,251,0
1.017,4023,251,0
1.025,4023,251,0
1.033,4020,251,0
1.042,4020,251,0
1.050,4014,247,0
1.058,4007,247,0
1.067,4004,247,0
1.075,3999,247,0
1.083,3996,244,0
1.092,3985,239,0
1.100,4129,267,0
1.108,4129,267,0
1.117,4129,267,0
1.125,4129,267,0
1.133,4129,267,0
1.142,4121,263,0
1.150,4105,263,0
1.158,4105,263,0
1.167,4105,263,0
1.175,4102,263,0
1.183,4108,262,0
1.192,4103,262,0
1.200,4103,262,0
1.208,4103,262,0
1.217,4103,262,0
1.225,4093,256,0
1.233,4081,256,0
1.242,4081,256,0
1.250,4082,256,0
1.258,4082,256,0
1.267,4081,254,0
1.275,4071,254,0
1.283,4071,254,0
1.292,4071,254,0
1.300,4071,254,0
1.308,4081,254,0
1.317,4084,254,0
1.325,4084,254,0
1.333,4084,254,0
1.342,4084,254,0
1.350,4084,254,0
1.358,4084,254,0
1.367,4289,290,0
1.375,4289,290,0
1.383,4289,290,0
1.392,4289,290,0
1.400,4341,298,0
1.408,4277,288,0
1.417,4237,288,0
1.425,4237,288,0
1.433,4233,286,0
1.442,4220,283,0
1.450,4214,283,0
1.458,4217,283,0
1.467,4217,283,0
1.475,4224,287,0
1.483,4224,287,0
1.492,4220,287,0
1.500,4220,287,0
1.508,4220,287,0
1.517,4218,287,0
1.525,4197,275,0
1.533,4137,275,0
1.542,4134,275,0
1.550,4134,275,0
1.558,4126,271,0
1.567,4106,271,0
1.575,4106,271,0
1.583,4118,271,0
1.592,4082,271,0
1.600,4082,271,0
1.608,4082,271,0
1.617,4082,271,0
1.625,4076,267,0
1.633,4069,267,0
1.642,4072,267,0
1.650,4069,264,0
1.658,4058,259,0
1.667,4048,259,0
1.675,4076,263,0
1.683,4076,263,0
1.692,4073,263,0
1.700,4073,263,0
1.708,4073,263,0
1.717,4069,261,0
1.725,4058,261,0
1.733,4058,261,0
1.742,4094,261,0
1.750,4076,261,0
