elapsed_s,objects,nodes,orphans
0.000,3901,199,0
0.008,3904,199,0
0.017,3904,199,0
0.025,3904,199,0
0.033,3904,199,0
0.042,3904,199,0
0.050,3898,196,0
0.058,3883,196,0
0.067,3881,196,0
0.075,3881,196,0
0.083,3875,193,0
0.092,3860,193,0
0.100,3860,193,0
0.108,3866,192,0
0.117,3861,192,0
0.125,3861,192,0
0.133,3861,192,0
0.142,3874,192,0
0.150,3874,192,0
0.158,3874,192,0
0.167,3874,192,0
0.175,3877,192,0
0.183,3877,192,0
0.192,3877,192,0
0.200,4106,231,0
0.208,4109,231,0
0.217,4109,231,0
0.225,4148,237,0
0.233,4109,225,0
0.242,4058,225,0
0.250,4058,225,0
0.258,4058,225,0
0.267,4050,223,0
0.275,4042,223,0
0.283,4042,223,0
0.292,4042,223,0
0.300,4042,223,0
0.308,4042,223,0
0.317,4042,223,0
0.325,4063,227,0
0.333,4059,227,0
0.342,4062,227,0
0.350,4060,227,0
0.358,4034,214,0
0.367,3961,211,0
0.375,3955,211,0
0.383,3949,208,0
0.392,3934,208,0
0.400,3931,208,0
0.408,3941,212,0
0.417,3935,212,0
0.425,3935,212,0
0.433,3932,212,0
0.442,3932,212,0
0.450,3932,212,0
0.458,3926,208,0
0.467,3919,208,0
0.475,3919,208,0
0.483,3919,208,0
0.492,3916,205,0
0.500,3946,206,0
0.508,3936,206,0
0.517,3936,206,0
0.525,3939,206,0
0.533,3936,203,0
0.542,3918,203,0
0.550,3918,203,0
0.558,3918,203,0
0.567,3918,203,0
0.575,3915,203,0
0.583,3915,203,0
0.592,3915,203,0
0.600,3915,203,0
0.608,3915,203,0
0.617,3915,203,0
0.625,3915,203,0
0.633,3915,203,0
0.642,3914,203,0
0.650,3912,203,0
0.658,3912,203,0
0.667,3906,200,0
0.675,3889,199,0
0.683,3885,199,0
0.692,3885,199,0
0.700,3885,199,0
0.708,3888,199,0
0.717,3898,199,0
0.725,3909,200,0
0.733,3906,200,0
0.742,3906,200,0
0.750,3906,200,0
0.758,3903,200,0
0.767,3903,200,0
0.775,4165,244,0
0.783,4165,244,0
0.792,4165,244,0
0.800,4204,250,0
0.808,4189,250,0
0.817,4163,237,0
0.825,4111,237,0
0.833,4114,237,0
0.842,4108,234,0
0.850,4096,234,0
0.858,4096,234,0
0.867,4099,234,0
0.875,4096,234,0
0.883,4096,234,0
0.892,4096,234,0
0.900,4096,234,0
0.908,4092,234,0
0.917,4092,234,0
0.925,4090,234,0
0.933,4058,218,0
0.942,3975,218,0
0.950,3975,218,0
0.958,3975,218,0
0.967,3969,215,0
0.975,3954,215,0
0.983,3954,215,0
0.992,3954,215,0
1.000,3948,215,0
1.008,3948,215,0
1.017,3948,215,0
1.025,3948,215,0
1.033,3945,211,0
1.042,3938,211,0
1.050,3938,211,0
1.058,3932,208,0
1.067,3928,208,0
1.075,3924,203,0
1.083,3949,209,0
1.092,3941,209,0
1.100,3941,209,0
1.108,3941,209,0
1.117,4061,230,0
1.125,4049,230,0
1.133,4049,230,0
1.142,4049,230,0
1.150,4049,230,0
1.158,4049,230,0
1.167,4049,230,0
1.175,4049,230,0
1.183,4049,230,0
1.192,4049,230,0
1.200,4055,229,0
1.208,4050,229,0
1.217,4053,229,0
1.225,4051,229,0
1.233,4051,229,0
1.242,4051,229,0
1.250,4045,226,0
1.258,4030,226,0
1.267,4027,226,0
1.275,4027,226,0
1.283,4030,226,0
1.292,4040,226,0
1.300,4040,226,0
1.308,4040,226,0
1.317,4040,226,0
1.325,4046,226,0
1.333,4046,226,0
1.342,4046,226,0
1.350,4347,276,0
1.358,4347,276,0
1.367,4347,276,0
1.375,4347,276,0
1.383,4374,280,0
1.392,4327,264,0
1.400,4266,264,0
1.408,4266,264,0
1.417,4260,261,0
1.425,4248,261,0
1.433,4224,261,0
1.442,4224,261,0
1.450,4221,261,0
1.458,4221,261,0
1.467,4216,258,0
1.475,4210,258,0
1.483,4206,258,0
1.492,4206,258,0
1.500,4214,262,0
1.508,4214,262,0
1.517,4173,243,0
1.525,4078,243,0
1.533,4081,243,0
1.542,4081,243,0
1.550,4075,240,0
1.558,4060,240,0
1.567,4060,240,0
1.575,4054,240,0
1.583,4054,240,0
1.592,4054,240,0
1.600,4054,240,0
1.608,4072,240,0
1.617,4030,236,0
1.625,4023,236,0
1.633,4020,236,0
1.642,4017,233,0
1.650,4013,233,0
1.658,4047,234,0
1.667,4037,234,0
1.675,4037,234,0
1.683,4037,234,0
1.692,4037,234,0
1.700,4032,234,0
1.708,4026,231,0
1.717,4014,231,0
1.725,4014,231,0
1.733,4017,231,0
1.742,4017,231,0
1.750,4017,231,0
1.758,4017,231,0
1.767,4014,231,0
1.775,4050,231,0
1.783,4032,231,0
1.792,4032,231,0
1.800,4029,231,0
1.808,4027,231,0
1.817,4027,231,0
1.825,4021,228,0
1.833,4006,228,0
1.842,4006,228,0
1.850,4006,228,0
1.858,4006,228,0
1.867,4006,228,0
1.875,4010,224,0
1.883,4004,224,0
1.892,4004,224,0
1.900,4004,224,0
1.908,4007,224,0
1.917,4007,224,0
1.925,4308,274,0
1.933,4308,274,0
1.942,4308,274,0
1.950,4308,274,0
1.958,4305,274,0
1.967,4288,258,0
1.975,4197,258,0
1.983,4197,258,0
1.992,4197,258,0
2.000,4195,257,0
2.008,4191,257,0
2.017,4194,257,0
2.025,4194,257,0
2.033,4194,257,0
2.042,4194,257,0
2.050,4194,257,0
2.058,4190,257,0
2.067,4190,257,0
2.075,4188,257,0
2.083,4153,238,0
2.092,4058,238,0
2.100,4058,238,0
2.108,4058,238,0
2.117,4058,238,0
2.125,4052,235,0
2.133,4004,235,0
2.142,4004,235,0
2.150,3998,235,0
2.158,3991,230,0
2.167,3981,230,0
2.175,3981,230,0
2.183,3975,226,0
2.192,3968,226,0
2.200,3968,226,0
2.208,3965,223,0
2.217,3957,218,0
2.225,3947,218,0
2.233,3988,224,0
2.242,3988,224,0
2.250,3988,224,0
2.258,3988,224,0
2.267,3988,224,0
2.275,3982,221,0
2.283,3976,220,0
2.292,3971,220,0
2.300,3971,220,0
2.308,3971,220,0
2.317,3968,220,0
2.325,3968,220,0
2.333,3968,220,0
2.342,3968,220,0
2.350,3971,220,0
2.358,3971,220,0
2.367,3971,220,0
2.375,3969,220,0
2.383,3969,220,0
2.392,3969,220,0
2.400,3963,217,0
2.408,3948,217,0
2.417,3951,217,0
2.425,3951,217,0
2.433,3951,217,0
2.442,3951,217,0
2.450,3958,217,0
2.458,3958,217,0
2.467,3958,217,0
2.475,3958,217,0
2.483,3955,217,0
2.492,3955,217,0
2.500,3955,217,0
2.508,4302,273,0
2.517,4302,273,0
2.525,4302,273,0
2.533,4302,273,0
2.542,4280,254,0
2.550,4183,254,0
2.558,4183,254,0
2.567,4183,254,0
2.575,4183,254,0
2.583,4190,258,0
2.592,4190,258,0
2.600,4193,258,0
2.608,4193,258,0
2.617,4193,258,0
2.625,4193,258,0
2.633,4193,258,0
2.642,4186,258,0
2.650,4186,258,0
2.658,4184,258,0
2.667,4136,234,0
2.675,4016,234,0
2.683,4016,234,0
2.692,4016,234,0
2.700,4010,231,0
2.708,3995,231,0
2.717,3998,231,0
2.725,3992,231,0
