elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.001705,1.705000,388.000,56.324000,2.272000,122.796169,3729,531,0,199,424,3452,49,0
0.004730,3.025000,388.000,56.324000,2.272000,122.800220,3730,531,0,199,424,3452,49,0
0.006791,2.061000,388.000,56.324000,2.272000,122.800606,3730,531,0,199,424,3452,49,0
0.008545,1.754000,388.000,56.324000,2.272000,122.801353,3730,531,0,199,424,3452,49,0
0.010260,1.715000,388.000,56.324000,2.272000,122.802383,3730,531,0,199,424,3452,49,0
0.011996,1.736000,388.000,56.324000,2.272000,122.802784,3730,531,0,199,424,3452,49,0
0.013684,1.688000,388.000,56.324000,2.272000,122.804111,3730,531,0,199,424,3452,49,0
0.015381,1.697000,388.000,56.324000,2.272000,122.804546,3730,531,0,199,424,3452,49,0
0.017033,1.652000,388.000,56.324000,2.272000,122.805012,3730,531,0,199,424,3452,49,0
0.020219,3.186000,388.000,56.324000,2.272000,122.809975,3736,531,0,199,424,3452,49,0
0.022196,1.977000,388.000,56.324000,2.272000,122.810410,3736,531,0,199,424,3452,49,0
0.023908,1.712000,388.000,56.324000,2.272000,122.810844,3736,531,0,199,424,3452,49,0
0.025664,1.756000,388.000,56.324000,2.272000,122.808044,3730,531,0,199,424,3452,49,0
0.027483,1.819000,388.000,56.324000,2.272000,122.810265,3730,531,0,199,424,3452,49,0
0.029218,1.735000,388.000,56.324000,2.272000,122.810699,3730,531,0,199,424,3452,49,0
0.031004,1.786000,388.000,56.324000,2.272000,122.811134,3730,531,0,199,424,3452,49,0
0.032723,1.719000,388.000,56.324000,2.272000,122.811569,3730,531,0,199,424,3452,49,0
0.036044,3.321000,388.000,56.324000,2.272000,122.811970,3730,531,0,199,424,3452,49,0
0.038143,2.099000,388.000,56.324000,2.272000,122.812473,3730,531,0,199,424,3452,49,0
0.039877,1.734000,388.000,56.324000,2.272000,122.815586,3730,531,0,199,424,3452,49,0
0.041642,1.765000,388.000,56.324000,2.272000,122.816021,3730,531,0,199,424,3452,49,0
0.043496,1.854000,388.000,56.324000,2.272000,122.816456,3730,531,0,199,424,3452,49,0
0.045333,1.837000,388.000,56.324000,2.272000,122.816891,3730,531,0,199,424,3452,49,0
0.047153,1.820000,388.000,56.324000,2.272000,122.817326,3730,531,0,199,424,3452,49,0
0.049006,1.853000,388.000,56.324000,2.272000,122.817760,3730,531,0,199,424,3452,49,0
0.052636,3.630000,388.000,56.324000,2.272000,122.819843,3733,531,0,199,424,3452,49,0
0.054792,2.156000,388.000,56.324000,2.272000,122.820278,3733,531,0,199,424,3452,49,0
0.056650,1.858000,388.000,56.324000,2.272000,122.820820,3733,531,0,199,424,3452,49,0
0.058493,1.843000,388.000,56.324000,2.272000,122.825363,3733,531,0,199,424,3452,49,0
0.060843,2.350000,388.000,56.324000,2.272000,122.825798,3733,531,0,199,424,3452,49,0
0.062674,1.831000,388.000,56.324000,2.272000,122.826233,3733,531,0,199,424,3452,49,0
0.064478,1.804000,388.000,56.324000,2.272000,122.826668,3733,531,0,199,424,3452,49,0
0.066294,1.816000,388.000,56.324000,2.272000,122.827103,3733,531,0,199,424,3452,49,0
0.070125,3.831000,388.000,56.324000,2.272000,122.827545,3733,531,0,199,424,3452,49,0
0.072229,2.104000,388.000,56.324000,2.272000,122.827980,3733,531,0,199,424,3452,49,0
0.074039,1.810000,388.000,56.324000,2.272000,122.828415,3733,531,0,199,424,3452,49,0
0.076197,2.158000,388.000,56.324000,2.272000,122.828850,3733,531,0,199,424,3452,49,0
0.078543,2.346000,388.000,56.324000,2.272000,122.829285,3733,531,0,199,424,3452,49,0
0.080827,2.284000,388.000,56.324000,2.272000,122.829720,3733,531,0,199,424,3452,49,0
0.082638,1.811000,388.000,56.324000,2.272000,122.830154,3733,531,0,199,424,3452,49,0
0.085015,2.377000,388.000,56.324000,2.272000,122.830589,3733,531,0,199,424,3452,49,0
0.088794,3.779000,388.000,56.324000,2.272000,122.831169,3733,531,0,199,424,3452,49,0
0.091027,2.233000,388.000,56.324000,2.272000,122.837852,3733,531,0,199,424,3452,49,0
0.093390,2.363000,388.000,56.324000,2.272000,122.838287,3733,531,0,199,424,3452,49,0
0.095843,2.453000,388.000,56.324000,2.272000,122.837025,3730,531,0,199,424,3452,49,0
0.098199,2.356000,388.000,56.324000,2.272000,122.837460,3730,531,0,199,424,3452,49,0
0.100531,2.332000,388.000,56.324000,2.272000,122.837894,3730,531,0,199,424,3452,49,0
0.102951,2.420000,388.000,56.324000,2.272000,122.838329,3730,531,0,199,424,3452,49,0
0.106635,3.684000,388.000,56.324000,2.272000,122.838764,3730,531,0,199,424,3452,49,0
0.109230,2.595000,388.000,56.324000,2.272000,122.839199,3730,531,0,199,424,3452,49,0
0.111565,2.335000,388.000,56.324000,2.272000,122.839577,3730,531,0,199,424,3452,49,0
0.113673,2.108000,388.000,56.324000,2.272000,122.840012,3730,531,0,198,403,3410,49,0
0.115836,2.163000,388.000,56.324000,2.272000,122.840446,3730,531,0,198,403,3410,49,0
0.118030,2.194000,388.000,56.324000,2.272000,122.840881,3730,531,0,198,403,3410,49,0
0.120182,2.152000,388.000,56.324000,2.272000,122.841259,3730,531,0,198,403,3410,49,0
0.123765,3.583000,388.000,56.324000,2.272000,122.841694,3730,531,0,198,403,3410,49,0
0.126246,2.481000,388.000,56.324000,2.272000,122.842129,3730,531,0,198,403,3410,49,0
0.128514,2.268000,388.000,56.324000,2.272000,122.842564,3730,531,0,198,403,3410,49,0
0.130747,2.233000,388.000,56.324000,2.272000,122.841358,3727,531,0,198,403,3410,49,0
0.132902,2.155000,388.000,56.324000,2.272000,122.841793,3727,531,0,198,403,3410,49,0
0.135060,2.158000,388.000,56.324000,2.272000,122.812153,3727,531,0,198,403,3410,49,0
0.137142,2.082000,388.000,56.324000,2.272000,122.812531,3727,531,0,198,403,3410,49,0
0.140873,3.731000,388.000,56.324000,2.272000,122.813454,3727,531,0,198,403,3410,49,0
0.143273,2.400000,388.000,56.324000,2.272000,122.823112,3727,531,0,198,403,3410,49,0
0.145423,2.150000,388.000,56.324000,2.272000,122.823547,3727,531,0,198,403,3410,49,0
0.147599,2.176000,388.000,56.324000,2.272000,122.822342,3724,531,0,198,403,3410,49,0
0.149814,2.215000,388.000,56.324000,2.272000,122.822777,3724,531,0,198,403,3410,49,0
0.151933,2.119000,388.000,56.324000,2.272000,122.823212,3724,531,0,198,403,3410,49,0
0.153979,2.046000,388.000,56.324000,2.272000,122.823647,3724,531,0,198,403,3410,49,0
0.157845,3.866000,388.000,56.324000,2.272000,122.825592,3727,531,0,198,403,3410,49,0
0.160333,2.488000,388.000,56.324000,2.272000,122.826027,3727,531,0,198,403,3410,49,0
0.162396,2.063000,388.000,56.324000,2.272000,122.826462,3727,531,0,198,403,3410,49,0
0.164455,2.059000,388.000,56.324000,2.272000,122.826897,3727,531,0,198,403,3410,49,0
0.166563,2.108000,388.000,56.324000,2.272000,122.827332,3727,531,0,198,403,3410,49,0
0.168722,2.159000,388.000,56.324000,2.272000,122.827766,3727,531,0,198,403,3410,49,0
0.170937,2.215000,388.000,56.324000,2.272000,122.828201,3727,531,0,198,403,3410,49,0
0.174647,3.710000,388.000,56.324000,2.272000,122.831951,3733,531,0,198,403,3410,49,0
0.177067,2.420000,388.000,56.324000,2.272000,122.832386,3733,531,0,198,403,3410,49,0
0.179182,2.115000,388.000,56.324000,2.272000,122.832821,3733,531,0,198,403,3410,49,0
0.181283,2.101000,388.000,56.324000,2.272000,122.833256,3733,531,0,198,403,3410,49,0
0.183397,2.114000,388.000,56.324000,2.272000,122.833691,3733,531,0,198,403,3410,49,0
0.185535,2.138000,388.000,56.324000,2.272000,122.834126,3733,531,0,198,403,3410,49,0
0.187674,2.139000,388.000,56.324000,2.272000,122.834560,3733,531,0,198,403,3410,49,0
0.191523,3.849000,388.000,56.324000,2.272000,122.834953,3733,531,0,198,403,3410,49,0
0.194113,2.590000,388.000,56.324000,2.272000,122.835388,3733,531,0,198,403,3410,49,0
0.196397,2.284000,388.000,56.324000,2.272000,122.841827,3743,531,0,198,403,3410,49,0
0.198560,2.163000,388.000,56.324000,2.272000,122.842262,3743,531,0,198,403,3410,49,0
0.200646,2.086000,388.000,56.324000,2.272000,122.842640,3743,531,0,198,403,3410,49,0
0.202758,2.112000,388.000,56.324000,2.272000,122.843075,3743,531,0,198,403,3410,49,0
0.204905,2.147000,388.000,56.324000,2.272000,122.843510,3743,531,0,198,403,3410,49,0
0.209162,4.257000,388.000,56.324000,2.272000,122.966789,3823,563,0,198,403,3410,49,0
0.211932,2.770000,388.000,56.324000,2.272000,122.973038,3823,563,0,206,419,3442,49,0
0.214061,2.129000,388.000,56.324000,2.272000,122.973473,3823,563,0,206,419,3442,49,0
0.216221,2.160000,388.000,56.324000,2.272000,122.974266,3823,563,0,206,419,3442,49,0
0.218394,2.173000,388.000,56.324000,2.272000,122.988686,3823,563,0,206,419,3442,49,0
0.220536,2.142000,388.000,56.324000,2.272000,122.989120,3823,563,0,206,419,3442,49,0
0.222699,2.163000,388.000,56.324000,2.272000,122.989555,3823,563,0,206,419,3442,49,0
0.226336,3.637000,388.000,56.324000,2.272000,122.991634,3826,563,0,206,419,3442,49,0
0.228830,2.494000,388.000,56.324000,2.272000,122.992069,3826,563,0,206,419,3442,49,0
0.230988,2.158000,388.000,56.324000,2.272000,122.992447,3826,563,0,206,419,3442,49,0
0.233180,2.192000,388.000,56.324000,2.272000,122.992882,3826,563,0,206,419,3442,49,0
0.235383,2.203000,388.000,56.324000,2.272000,122.993259,3826,563,0,206,419,3442,49,0
0.237560,2.177000,388.000,56.324000,2.272000,122.993694,3826,563,0,206,419,3442,49,0
0.239748,2.188000,388.000,56.324000,2.272000,122.994072,3826,563,0,206,419,3442,49,0
0.243634,3.886000,388.000,56.324000,2.272000,122.996212,3829,563,0,207,419,3442,49,0
0.246069,2.435000,388.000,56.324000,2.272000,122.996647,3829,563,0,207,419,3442,49,0
0.248218,2.149000,388.000,56.324000,2.272000,122.997082,3829,563,0,207,419,3442,49,0
0.250420,2.202000,388.000,56.324000,2.272000,122.994236,3823,563,0,207,419,3442,49,0
0.252614,2.194000,388.000,56.324000,2.272000,122.994614,3823,563,0,207,419,3442,49,0
0.254779,2.165000,388.000,56.324000,2.272000,122.995049,3823,563,0,207,419,3442,49,0
0.309367,54.588000,388.000,56.324000,2.272000,123.152634,3970,572,0,237,487,3578,49,0
0.315452,6.085000,388.000,56.324000,2.272000,123.156189,3976,572,0,237,485,3574,49,0
0.318493,3.041000,388.000,56.324000,2.272000,123.099747,3873,572,0,237,485,3574,49,0
0.321207,2.714000,388.000,56.324000,2.272000,123.100182,3873,572,0,225,473,3550,49,0
0.323842,2.635000,388.000,56.324000,2.272000,123.100616,3873,572,0,225,473,3550,49,0
0.325847,2.005000,388.000,56.324000,2.272000,123.101051,3873,572,0,225,473,3550,49,0
0.327655,1.808000,388.000,56.324000,2.272000,123.095650,3873,572,0,225,473,3550,49,0
0.329391,1.736000,388.000,56.324000,2.272000,123.096085,3873,572,0,225,473,3550,49,0
0.331096,1.705000,388.000,56.324000,2.272000,123.096519,3873,572,0,225,473,3550,49,0
0.332816,1.720000,388.000,56.324000,2.272000,123.096954,3873,572,0,225,473,3550,49,0
0.334518,1.702000,388.000,56.324000,2.272000,123.097389,3873,572,0,225,473,3550,49,0
0.336232,1.714000,388.000,56.324000,2.272000,123.097824,3873,572,0,225,473,3550,49,0
0.339220,2.988000,388.000,56.324000,2.272000,123.098259,3873,572,0,225,473,3550,49,0
0.341249,2.029000,388.000,56.324000,2.272000,123.098637,3873,572,0,225,473,3550,49,0
0.343038,1.789000,388.000,56.324000,2.272000,123.099072,3873,572,0,225,473,3550,49,0
0.344763,1.725000,388.000,56.324000,2.272000,123.099506,3873,572,0,225,473,3550,49,0
0.346460,1.697000,388.000,56.324000,2.272000,123.099941,3873,572,0,225,473,3550,49,0
0.348113,1.653000,388.000,56.324000,2.272000,123.100319,3873,572,0,225,473,3550,49,0
0.349817,1.704000,388.000,56.324000,2.272000,123.100754,3873,572,0,225,473,3550,49,0
0.351513,1.696000,388.000,56.324000,2.272000,123.101189,3873,572,0,225,473,3550,49,0
0.353244,1.731000,388.000,56.324000,2.272000,123.101624,3873,572,0,225,473,3550,49,0
0.355060,1.816000,388.000,56.324000,2.272000,123.102058,3873,572,0,225,473,3550,49,0
0.358015,2.955000,388.000,56.324000,2.272000,123.104088,3876,572,0,225,473,3550,49,0
0.360077,2.062000,388.000,56.324000,2.272000,123.104523,3876,572,0,225,473,3550,49,0
0.361823,1.746000,388.000,56.324000,2.272000,123.104958,3876,572,0,225,473,3550,49,0
0.363579,1.756000,388.000,56.324000,2.272000,123.105392,3876,572,0,225,473,3550,49,0
0.365324,1.745000,388.000,56.324000,2.272000,123.105827,3876,572,0,225,473,3550,49,0
0.367013,1.689000,388.000,56.324000,2.272000,123.106262,3876,572,0,225,473,3550,49,0
0.368806,1.793000,388.000,56.324000,2.272000,123.106697,3876,572,0,225,473,3550,49,0
0.370542,1.736000,388.000,56.324000,2.272000,123.107132,3876,572,0,225,473,3550,49,0
0.372265,1.723000,388.000,56.324000,2.272000,123.108101,3876,572,0,225,473,3550,49,0
0.373988,1.723000,388.000,56.324000,2.272000,123.129364,3876,572,0,225,473,3550,49,0
0.377060,3.072000,388.000,56.324000,2.272000,123.131359,3879,572,0,225,473,3550,49,0
0.379130,2.070000,388.000,56.324000,2.272000,123.131737,3879,572,0,225,473,3550,49,0
0.380844,1.714000,388.000,56.324000,2.272000,123.132114,3879,572,0,225,473,3550,49,0
0.382558,1.714000,388.000,56.324000,2.272000,123.132549,3879,572,0,225,473,3550,49,0
0.384440,1.882000,388.000,56.324000,2.272000,123.131344,3876,572,0,225,473,3550,49,0
0.386210,1.770000,388.000,56.324000,2.272000,123.131721,3876,572,0,225,473,3550,49,0
0.387936,1.726000,388.000,56.324000,2.272000,123.132099,3876,572,0,225,473,3550,49,0
0.389713,1.777000,388.000,56.324000,2.272000,123.130032,3872,572,0,225,473,3550,49,0
0.391447,1.734000,381.000,53.996000,2.155000,123.130466,3872,572,0,225,473,3550,49,0
0.393243,1.796000,381.000,53.996000,2.155000,123.130901,3872,572,0,225,473,3550,49,0
0.396206,2.963000,381.000,53.996000,2.155000,123.131336,3872,572,0,225,473,3550,49,0
0.398251,2.045000,381.000,53.996000,2.155000,123.131771,3872,572,0,226,473,3550,49,0
0.399930,1.679000,381.000,53.996000,2.155000,123.132206,3872,572,0,225,437,3478,49,0
0.401631,1.701000,381.000,53.996000,2.155000,123.129303,3866,572,0,225,437,3478,49,0
0.403328,1.697000,381.000,53.996000,2.155000,123.129738,3866,572,0,225,437,3478,49,0
0.405025,1.697000,381.000,53.996000,2.155000,123.130173,3866,572,0,225,437,3478,49,0
0.406753,1.728000,381.000,53.996000,2.155000,123.130608,3866,572,0,225,437,3478,49,0
0.408486,1.733000,381.000,53.996000,2.155000,123.131042,3866,572,0,225,437,3478,49,0
0.410223,1.737000,381.000,53.996000,2.155000,123.131477,3866,572,0,225,437,3478,49,0
0.411938,1.715000,381.000,53.996000,2.155000,123.131912,3866,572,0,225,437,3478,49,0
0.414901,2.963000,381.000,53.996000,2.155000,123.133995,3869,572,0,225,437,3478,49,0
0.417006,2.105000,381.000,53.996000,2.155000,123.134430,3869,572,0,225,437,3478,49,0
0.418802,1.796000,381.000,53.996000,2.155000,123.134865,3869,572,0,225,437,3478,49,0
0.420492,1.690000,381.000,53.996000,2.155000,123.135300,3869,572,0,225,437,3478,49,0
0.422228,1.736000,381.000,53.996000,2.155000,123.091156,3869,572,0,225,437,3478,49,0
0.423865,1.637000,381.000,53.996000,2.155000,123.091591,3869,572,0,225,437,3478,49,0
