elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.000912,0.912000,1044.000,4.676000,0.748000,122.661121,3426,231,0,78,186,1960,9,0
0.001894,0.982000,1044.000,4.676000,0.748000,122.665188,3427,231,0,78,186,1960,9,0
0.002819,0.925000,1044.000,4.676000,0.748000,122.665630,3427,231,0,78,186,1960,9,0
0.003737,0.918000,1044.000,4.676000,0.748000,122.666378,3427,231,0,78,186,1960,9,0
0.004664,0.927000,1044.000,4.676000,0.748000,122.667408,3427,231,0,78,186,1960,9,0
0.005565,0.901000,1044.000,4.676000,0.748000,122.667866,3427,231,0,78,186,1960,9,0
0.006482,0.917000,1044.000,4.676000,0.748000,122.669193,3427,231,0,78,186,1960,9,0
0.007389,0.907000,1044.000,4.676000,0.748000,122.669628,3427,231,0,78,186,1960,9,0
0.008303,0.914000,1044.000,4.676000,0.748000,122.670094,3427,231,0,78,186,1960,9,0
0.009217,0.914000,1044.000,4.676000,0.748000,122.671719,3427,231,0,78,186,1960,9,0
0.010222,1.005000,1044.000,4.676000,0.748000,122.672153,3427,231,0,78,186,1960,9,0
0.011142,0.920000,1044.000,4.676000,0.748000,122.672588,3427,231,0,78,186,1960,9,0
0.012056,0.914000,1044.000,4.676000,0.748000,122.673069,3427,231,0,78,186,1960,9,0
0.012975,0.919000,1044.000,4.676000,0.748000,122.675289,3427,231,0,78,186,1960,9,0
0.013887,0.912000,1044.000,4.676000,0.748000,122.675724,3427,231,0,78,186,1960,9,0
0.015041,1.154000,1044.000,4.676000,0.748000,122.676159,3427,231,0,78,186,1960,9,0
0.015959,0.918000,1044.000,4.676000,0.748000,122.676594,3427,231,0,78,186,1960,9,0
0.016868,0.909000,1044.000,4.676000,0.748000,122.677029,3427,231,0,78,186,1960,9,0
0.017787,0.919000,1044.000,4.676000,0.748000,122.677532,3427,231,0,78,186,1960,9,0
0.018721,0.934000,1044.000,4.676000,0.748000,122.680645,3427,231,0,78,186,1960,9,0
0.019635,0.914000,1044.000,4.676000,0.748000,122.681080,3427,231,0,78,186,1960,9,0
0.020613,0.978000,1044.000,4.676000,0.748000,122.687519,3437,231,0,78,186,1960,9,0
0.021534,0.921000,1044.000,4.676000,0.748000,122.687954,3437,231,0,78,186,1960,9,0
0.022453,0.919000,1044.000,4.676000,0.748000,122.688389,3437,231,0,78,186,1960,9,0
0.023370,0.917000,1044.000,4.676000,0.748000,122.688824,3437,231,0,78,186,1960,9,0
0.024281,0.911000,1044.000,4.676000,0.748000,122.689201,3437,231,0,78,186,1960,9,0
0.025199,0.918000,1044.000,4.676000,0.748000,122.689636,3437,231,0,78,186,1960,9,0
0.026111,0.912000,1044.000,4.676000,0.748000,122.690178,3437,231,0,78,186,1960,9,0
0.027050,0.939000,1044.000,4.676000,0.748000,122.694778,3437,231,0,78,186,1960,9,0
0.027961,0.911000,1044.000,4.676000,0.748000,122.695156,3437,231,0,78,186,1960,9,0
0.028873,0.912000,1044.000,4.676000,0.748000,122.695591,3437,231,0,78,186,1960,9,0
0.029783,0.910000,1044.000,4.676000,0.748000,122.696026,3437,231,0,78,186,1960,9,0
0.030701,0.918000,1044.000,4.676000,0.748000,122.696461,3437,231,0,78,186,1960,9,0
0.031879,1.178000,1044.000,4.676000,0.748000,122.696987,3437,231,0,78,186,1960,9,0
0.032836,0.957000,1044.000,4.676000,0.748000,122.697422,3437,231,0,78,186,1960,9,0
0.033739,0.903000,1044.000,4.676000,0.748000,122.697857,3437,231,0,78,186,1960,9,0
0.034657,0.918000,1044.000,4.676000,0.748000,122.698292,3437,231,0,78,186,1960,9,0
0.035566,0.909000,1044.000,4.676000,0.748000,122.698727,3437,231,0,78,186,1960,9,0
0.036486,0.920000,1044.000,4.676000,0.748000,122.699162,3437,231,0,78,186,1960,9,0
0.037399,0.913000,1044.000,4.676000,0.748000,122.699596,3437,231,0,78,186,1960,9,0
0.038310,0.911000,1044.000,4.676000,0.748000,122.700031,3437,231,0,78,186,1960,9,0
0.039225,0.915000,1044.000,4.676000,0.748000,122.700569,3437,231,0,78,186,1960,9,0
0.040147,0.922000,1044.000,4.676000,0.748000,122.707253,3437,231,0,78,186,1960,9,0
0.041059,0.912000,1044.000,4.676000,0.748000,122.707687,3437,231,0,78,186,1960,9,0
0.041969,0.910000,1044.000,4.676000,0.748000,122.708122,3437,231,0,78,186,1960,9,0
0.042881,0.912000,1044.000,4.676000,0.748000,122.708557,3437,231,0,78,186,1960,9,0
0.043789,0.908000,1044.000,4.676000,0.748000,122.708992,3437,231,0,78,186,1960,9,0
0.044693,0.904000,1044.000,4.676000,0.748000,122.709427,3437,231,0,77,183,1954,9,0
0.045584,0.891000,1044.000,4.676000,0.748000,122.709862,3437,231,0,77,183,1954,9,0
0.046488,0.904000,1044.000,4.676000,0.748000,122.710297,3437,231,0,77,183,1954,9,0
0.047389,0.901000,1044.000,4.676000,0.748000,122.710732,3437,231,0,77,183,1954,9,0
0.048571,1.182000,1044.000,4.676000,0.748000,122.706211,3437,228,0,77,183,1954,9,0
0.049483,0.912000,1044.000,4.676000,0.748000,122.699505,3425,228,0,77,183,1954,9,0
0.050375,0.892000,1044.000,4.676000,0.748000,122.699940,3425,228,0,77,183,1954,9,0
0.051277,0.902000,1044.000,4.676000,0.748000,122.700375,3425,228,0,77,183,1954,9,0
0.052175,0.898000,1044.000,4.676000,0.748000,122.700809,3425,228,0,77,183,1954,9,0
0.053080,0.905000,1044.000,4.676000,0.748000,122.701244,3425,228,0,77,183,1954,9,0
0.053983,0.903000,1044.000,4.676000,0.748000,122.701622,3425,228,0,77,183,1954,9,0
0.054893,0.910000,1044.000,4.676000,0.748000,122.702057,3425,228,0,77,183,1954,9,0
0.055794,0.901000,1044.000,4.676000,0.748000,122.702492,3425,228,0,77,183,1954,9,0
0.056698,0.904000,1044.000,4.676000,0.748000,122.702927,3425,228,0,77,183,1954,9,0
0.057596,0.898000,1044.000,4.676000,0.748000,122.703362,3425,228,0,77,183,1954,9,0
0.058499,0.903000,1044.000,4.676000,0.748000,122.704033,3425,228,0,77,183,1954,9,0
0.059409,0.910000,1044.000,4.676000,0.748000,122.713692,3425,228,0,77,183,1954,9,0
0.060303,0.894000,1044.000,4.676000,0.748000,122.714127,3425,228,0,77,183,1954,9,0
0.061202,0.899000,1044.000,4.676000,0.748000,122.714561,3425,228,0,77,183,1954,9,0
0.062099,0.897000,1044.000,4.676000,0.748000,122.714996,3425,228,0,77,183,1954,9,0
0.062991,0.892000,1044.000,4.676000,0.748000,122.715431,3425,228,0,77,183,1954,9,0
0.063892,0.901000,1044.000,4.676000,0.748000,122.715866,3425,228,0,77,183,1954,9,0
0.065062,1.170000,1044.000,4.676000,0.748000,122.716282,3425,228,0,77,183,1954,9,0
0.065944,0.882000,1044.000,4.676000,0.748000,122.716717,3425,228,0,77,183,1954,9,0
0.066818,0.874000,1044.000,4.676000,0.748000,122.717152,3425,228,0,77,183,1954,9,0
0.067715,0.897000,1044.000,4.676000,0.748000,122.717587,3425,228,0,77,183,1954,9,0
0.068631,0.916000,1044.000,4.676000,0.748000,122.718021,3425,228,0,77,183,1954,9,0
0.069532,0.901000,1044.000,4.676000,0.748000,122.718456,3425,228,0,77,183,1954,9,0
0.070436,0.904000,1044.000,4.676000,0.748000,122.718891,3425,228,0,77,183,1954,9,0
0.071344,0.908000,1044.000,4.676000,0.748000,122.719326,3425,228,0,77,183,1954,9,0
0.072243,0.899000,1044.000,4.676000,0.748000,122.719761,3425,228,0,77,183,1954,9,0
0.073150,0.907000,1044.000,4.676000,0.748000,122.720196,3425,228,0,77,183,1954,9,0
0.074047,0.897000,1044.000,4.676000,0.748000,122.720573,3425,228,0,77,183,1954,9,0
0.074950,0.903000,1044.000,4.676000,0.748000,122.721008,3425,228,0,77,183,1954,9,0
0.075855,0.905000,1044.000,4.676000,0.748000,122.721386,3425,228,0,77,183,1954,9,0
0.076762,0.907000,1044.000,4.676000,0.748000,122.721821,3425,228,0,77,183,1954,9,0
0.077657,0.895000,1044.000,4.676000,0.748000,122.722256,3425,228,0,77,183,1954,9,0
0.078564,0.907000,1044.000,4.676000,0.748000,122.722691,3425,228,0,77,183,1954,9,0
0.079461,0.897000,1044.000,4.676000,0.748000,122.723125,3425,228,0,77,183,1954,9,0
