elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.001237,1.237000,764.000,1.584000,0.006000,113.533698,2245,43,0,23,88,176,0,0
0.002550,1.313000,764.000,1.584000,0.006000,113.537765,2246,43,0,23,88,176,0,0
0.003848,1.298000,764.000,1.584000,0.006000,113.538150,2246,43,0,23,88,176,0,0
0.005130,1.282000,764.000,1.584000,0.006000,113.538898,2246,43,0,23,88,176,0,0
0.006378,1.248000,764.000,1.584000,0.006000,113.539870,2246,43,0,23,88,176,0,0
0.007942,1.564000,764.000,1.584000,0.006000,113.540328,2246,43,0,23,88,176,0,0
0.009212,1.270000,764.000,1.584000,0.006000,113.541656,2246,43,0,23,88,176,0,0
0.010484,1.272000,764.000,1.584000,0.006000,113.542090,2246,43,0,23,88,176,0,0
0.011753,1.269000,764.000,1.584000,0.006000,113.542556,2246,43,0,23,88,176,0,0
0.013000,1.247000,764.000,1.584000,0.006000,113.544181,2246,43,0,23,88,176,0,0
0.014563,1.563000,764.000,1.584000,0.006000,113.544616,2246,43,0,23,88,176,0,0
0.015999,1.436000,764.000,1.584000,0.006000,113.545051,2246,43,0,23,88,176,0,0
0.017128,1.129000,764.000,1.584000,0.006000,113.545531,2246,43,0,23,88,176,0,0
0.018415,1.287000,764.000,1.584000,0.006000,113.547751,2246,43,0,23,88,176,0,0
0.019686,1.271000,764.000,1.584000,0.006000,113.548186,2246,43,0,23,88,176,0,0
0.020914,1.228000,764.000,1.584000,0.006000,113.548621,2246,43,0,23,88,176,0,0
0.022489,1.575000,764.000,1.584000,0.006000,113.549056,2246,43,0,23,88,176,0,0
0.023909,1.420000,764.000,1.584000,0.006000,113.549491,2246,43,0,23,88,176,0,0
0.025033,1.124000,764.000,1.584000,0.006000,113.549994,2246,43,0,23,88,176,0,0
0.026276,1.243000,764.000,1.584000,0.006000,113.553107,2246,43,0,23,88,176,0,0
0.027513,1.237000,764.000,1.584000,0.006000,113.553542,2246,43,0,23,88,176,0,0
0.029074,1.561000,764.000,1.584000,0.006000,113.553977,2246,43,0,23,88,176,0,0
0.030480,1.406000,764.000,1.584000,0.006000,113.554412,2246,43,0,23,88,176,0,0
0.031741,1.261000,764.000,1.584000,0.006000,113.554790,2246,43,0,23,88,176,0,0
0.032926,1.185000,764.000,1.584000,0.006000,113.555224,2246,43,0,23,88,176,0,0
0.034005,1.079000,764.000,1.584000,0.006000,113.555659,2246,43,0,23,88,176,0,0
0.035229,1.224000,764.000,1.584000,0.006000,113.556094,2246,43,0,23,88,176,0,0
0.036453,1.224000,764.000,1.584000,0.006000,113.556636,2246,43,0,23,88,176,0,0
0.038026,1.573000,764.000,1.584000,0.006000,113.561236,2246,43,0,23,88,176,0,0
0.039490,1.464000,764.000,1.584000,0.006000,113.561671,2246,43,0,23,88,176,0,0
0.040762,1.272000,764.000,1.584000,0.006000,113.562049,2246,43,0,23,88,176,0,0
0.041883,1.121000,764.000,1.584000,0.006000,113.562484,2246,43,0,23,88,176,0,0
0.043163,1.280000,764.000,1.584000,0.006000,113.562919,2246,43,0,23,88,176,0,0
0.044394,1.231000,764.000,1.584000,0.006000,113.563354,2246,43,0,23,88,176,0,0
0.045951,1.557000,764.000,1.584000,0.006000,113.563788,2246,43,0,23,88,176,0,0
0.047369,1.418000,764.000,1.584000,0.006000,113.564223,2246,43,0,23,88,176,0,0
0.048641,1.272000,764.000,1.584000,0.006000,113.564658,2246,43,0,23,88,176,0,0
0.049773,1.132000,764.000,1.584000,0.006000,113.565093,2246,43,0,23,88,176,0,0
0.050900,1.127000,764.000,1.584000,0.006000,113.565528,2246,43,0,23,88,176,0,0
0.052124,1.224000,764.000,1.584000,0.006000,113.565906,2246,43,0,23,88,176,0,0
0.053677,1.553000,764.000,1.584000,0.006000,113.566340,2246,43,0,23,88,176,0,0
0.055123,1.446000,764.000,1.584000,0.006000,113.566936,2246,43,0,23,88,176,0,0
0.056413,1.290000,764.000,1.584000,0.006000,113.573619,2246,43,0,23,88,176,0,0
0.057676,1.263000,764.000,1.584000,0.006000,113.574054,2246,43,0,23,88,176,0,0
0.058783,1.107000,764.000,1.584000,0.006000,113.574489,2246,43,0,23,88,176,0,0
0.060066,1.283000,764.000,1.584000,0.006000,113.574924,2246,43,0,23,88,176,0,0
0.061337,1.271000,764.000,1.584000,0.006000,113.575358,2246,43,0,23,88,176,0,0
0.062560,1.223000,764.000,1.584000,0.006000,113.575793,2246,43,0,23,88,176,0,0
0.064126,1.566000,764.000,1.584000,0.006000,113.576171,2246,43,0,23,88,176,0,0
0.065552,1.426000,764.000,1.584000,0.006000,113.576606,2246,43,0,23,88,176,0,0
0.066669,1.117000,764.000,1.584000,0.006000,113.577041,2246,43,0,23,88,176,0,0
0.067911,1.242000,764.000,1.584000,0.006000,113.577476,2246,43,0,23,88,176,0,0
0.069180,1.269000,764.000,1.584000,0.006000,113.577910,2246,43,0,23,88,176,0,0
0.070448,1.268000,764.000,1.584000,0.006000,113.578288,2246,43,0,23,88,176,0,0
0.071675,1.227000,764.000,1.584000,0.006000,113.578723,2246,43,0,23,88,176,0,0
0.073235,1.560000,764.000,1.584000,0.006000,113.579158,2246,43,0,23,88,176,0,0
0.074637,1.402000,764.000,1.584000,0.006000,113.579593,2246,43,0,23,88,176,0,0
0.075771,1.134000,764.000,1.584000,0.006000,113.580028,2246,43,0,23,88,176,0,0
0.077033,1.262000,764.000,1.584000,0.006000,113.580462,2246,43,0,23,88,176,0,0
0.078254,1.221000,764.000,1.584000,0.006000,113.580897,2246,43,0,23,88,176,0,0
0.079824,1.570000,764.000,1.584000,0.006000,113.581332,2246,43,0,23,88,176,0,0
0.081249,1.425000,764.000,1.584000,0.006000,113.581767,2246,43,0,23,88,176,0,0
0.082517,1.268000,764.000,1.584000,0.006000,113.582438,2246,43,0,23,88,176,0,0
0.083603,1.086000,764.000,1.584000,0.006000,113.592097,2246,43,0,23,88,176,0,0
0.084831,1.228000,764.000,1.584000,0.006000,113.592532,2246,43,0,23,88,176,0,0
0.086061,1.230000,764.000,1.584000,0.006000,113.592967,2246,43,0,23,88,176,0,0
0.087638,1.577000,764.000,1.584000,0.006000,113.593402,2246,43,0,23,88,176,0,0
0.089116,1.478000,764.000,1.584000,0.006000,113.593837,2246,43,0,23,88,176,0,0
0.090400,1.284000,764.000,1.584000,0.006000,113.594272,2246,43,0,23,88,176,0,0
0.091568,1.168000,764.000,1.584000,0.006000,113.594649,2246,43,0,23,88,176,0,0
0.092787,1.219000,764.000,1.584000,0.006000,113.595084,2246,43,0,23,88,176,0,0
0.094031,1.244000,764.000,1.584000,0.006000,113.595519,2246,43,0,23,88,176,0,0
