elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.001126,1.126000,1043.000,4.633000,0.933000,122.549687,3416,231,0,78,183,1954,9,0
0.002049,0.923000,1043.000,4.633000,0.933000,122.553754,3417,231,0,78,183,1954,9,0
0.002975,0.926000,1043.000,4.633000,0.933000,122.554196,3417,231,0,78,183,1954,9,0
0.003902,0.927000,1043.000,4.633000,0.933000,122.554944,3417,231,0,78,183,1954,9,0
0.004822,0.920000,1043.000,4.633000,0.933000,122.555974,3417,231,0,78,183,1954,9,0
0.005738,0.916000,1043.000,4.633000,0.933000,122.556432,3417,231,0,78,183,1954,9,0
0.006651,0.913000,1043.000,4.633000,0.933000,122.557759,3417,231,0,78,183,1954,9,0
0.007563,0.912000,1043.000,4.633000,0.933000,122.558194,3417,231,0,78,183,1954,9,0
0.008477,0.914000,1043.000,4.633000,0.933000,122.558660,3417,231,0,78,183,1954,9,0
0.009397,0.920000,1043.000,4.633000,0.933000,122.560285,3417,231,0,78,183,1954,9,0
0.010307,0.910000,1043.000,4.633000,0.933000,122.560719,3417,231,0,78,183,1954,9,0
0.011215,0.908000,1043.000,4.633000,0.933000,122.561154,3417,231,0,78,183,1954,9,0
0.012150,0.935000,1043.000,4.633000,0.933000,122.561635,3417,231,0,78,183,1954,9,0
0.013075,0.925000,1043.000,4.633000,0.933000,122.563798,3417,231,0,78,183,1954,9,0
0.014043,0.968000,1043.000,4.633000,0.933000,122.564233,3417,231,0,78,183,1954,9,0
0.015015,0.972000,1043.000,4.633000,0.933000,122.564668,3417,231,0,78,183,1954,9,0
0.015979,0.964000,1043.000,4.633000,0.933000,122.565103,3417,231,0,78,183,1954,9,0
0.016932,0.953000,1043.000,4.633000,0.933000,122.565537,3417,231,0,78,183,1954,9,0
0.018221,1.289000,1043.000,4.633000,0.933000,122.567700,3420,231,0,78,183,1954,9,0
0.019137,0.916000,1043.000,4.633000,0.933000,122.570813,3420,231,0,80,183,1954,9,0
0.020069,0.932000,1043.000,4.633000,0.933000,122.571248,3420,231,0,80,183,1954,9,0
0.020995,0.926000,1043.000,4.633000,0.933000,122.571683,3420,231,0,80,183,1954,9,0
0.021922,0.927000,1043.000,4.633000,0.933000,122.572118,3420,231,0,80,183,1954,9,0
0.022842,0.920000,1043.000,4.633000,0.933000,122.572553,3420,231,0,80,183,1954,9,0
0.023768,0.926000,1043.000,4.633000,0.933000,122.572988,3420,231,0,80,183,1954,9,0
0.024696,0.928000,1043.000,4.633000,0.933000,122.573422,3420,231,0,80,183,1954,9,0
0.025623,0.927000,1043.000,4.633000,0.933000,122.573857,3420,231,0,80,183,1954,9,0
0.026541,0.918000,1043.000,4.633000,0.933000,122.574399,3420,231,0,80,183,1954,9,0
0.027468,0.927000,1043.000,4.633000,0.933000,122.579000,3420,231,0,80,183,1954,9,0
0.028390,0.922000,1043.000,4.633000,0.933000,122.579434,3420,231,0,80,183,1954,9,0
0.029316,0.926000,1043.000,4.633000,0.933000,122.579812,3420,231,0,80,183,1954,9,0
0.030237,0.921000,1043.000,4.633000,0.933000,122.580247,3420,231,0,80,183,1954,9,0
0.031147,0.910000,1043.000,4.633000,0.933000,122.580682,3420,231,0,80,183,1954,9,0
