elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.022593,22.593000,98.000,189.617000,6.875000,123.012032,3985,572,0,238,485,3574,49,0
0.033044,10.451000,80.000,188.395000,10.253000,122.887783,3873,572,0,197,409,3422,49,0
0.042776,9.732000,80.000,188.395000,10.253000,122.883354,3864,572,0,197,409,3422,49,0
0.047811,5.035000,80.000,188.395000,10.253000,122.884102,3864,572,0,196,409,3422,49,0
0.056699,8.888000,80.000,188.395000,10.253000,122.885128,3864,572,0,196,409,3422,49,0
0.061581,4.882000,80.000,188.395000,10.253000,122.883305,3861,572,0,197,409,3422,49,0
0.070756,9.175000,80.000,188.395000,10.253000,122.879475,3852,572,0,196,408,3420,49,0
0.075690,4.934000,80.000,188.395000,10.253000,122.879910,3852,572,0,196,408,3420,49,0
0.080488,4.798000,80.000,188.395000,10.253000,122.880318,3852,572,0,194,406,3416,49,0
0.089509,9.021000,80.000,188.395000,10.253000,122.881943,3852,572,0,194,406,3416,49,0
0.094161,4.652000,80.000,188.395000,10.253000,122.882378,3852,572,0,193,405,3414,49,0
0.104016,9.855000,80.000,188.395000,10.253000,122.874020,3851,568,0,193,405,3414,49,0
0.108753,4.737000,80.000,188.395000,10.253000,122.870152,3844,568,0,193,405,3414,49,0
0.113345,4.592000,80.000,188.395000,10.253000,122.872372,3844,568,0,191,403,3410,49,0
0.122384,9.039000,80.000,188.395000,10.253000,122.872791,3844,568,0,191,403,3410,49,0
0.127002,4.618000,80.000,188.395000,10.253000,122.873142,3844,568,0,190,402,3408,49,0
0.131708,4.706000,80.000,188.395000,10.253000,122.871708,3841,568,0,190,402,3408,49,0
0.141881,10.173000,80.000,188.395000,10.253000,122.858501,3835,563,0,189,401,3406,49,0
0.146632,4.751000,80.000,188.395000,10.253000,122.852688,3825,563,0,189,401,3406,49,0
0.156875,10.243000,80.000,188.395000,10.253000,122.855862,3825,563,0,189,401,3406,49,0
0.168957,12.082000,80.000,188.395000,10.253000,122.906326,3825,563,0,230,463,3530,49,0
0.174006,5.049000,80.000,188.395000,10.253000,122.906761,3825,563,0,230,463,3530,49,0
0.183714,9.708000,80.000,188.395000,10.253000,122.908878,3828,563,0,230,463,3530,49,0
0.189173,5.459000,80.000,188.395000,10.253000,122.909313,3828,563,0,230,463,3530,49,0
0.198667,9.494000,80.000,188.395000,10.253000,122.909748,3828,563,0,230,463,3530,49,0
0.203785,5.118000,80.000,188.395000,10.253000,122.910183,3828,563,0,230,463,3530,49,0
0.209094,5.309000,80.000,188.395000,10.253000,122.910618,3828,563,0,230,463,3530,49,0
0.218514,9.420000,80.000,188.395000,10.253000,122.911160,3828,563,0,230,463,3530,49,0
0.224472,5.958000,80.000,188.395000,10.253000,122.915760,3828,563,0,230,463,3530,49,0
0.235497,11.025000,80.000,188.395000,10.253000,122.916225,3828,563,0,230,463,3530,49,0
0.241496,5.999000,80.000,188.395000,10.253000,122.916660,3828,563,0,230,463,3530,49,0
0.247067,5.571000,80.000,188.395000,10.253000,122.917095,3828,563,0,230,463,3530,49,0
0.258239,11.172000,80.000,188.395000,10.253000,122.919178,3831,563,0,230,463,3530,49,0
0.263742,5.503000,80.000,188.395000,10.253000,122.919613,3831,563,0,230,463,3530,49,0
0.273524,9.782000,80.000,188.395000,10.253000,122.920025,3831,563,0,230,463,3530,49,0
0.278967,5.443000,80.000,188.395000,10.253000,122.918819,3828,563,0,230,463,3530,49,0
0.287912,8.945000,80.000,188.395000,10.253000,122.920918,3831,563,0,230,463,3530,49,0
0.293604,5.692000,80.000,188.395000,10.253000,122.921352,3831,563,0,230,463,3530,49,0
0.303451,9.847000,80.000,188.395000,10.253000,122.923435,3834,563,0,230,463,3530,49,0
0.308850,5.399000,80.000,188.395000,10.253000,122.923870,3834,563,0,230,463,3530,49,0
0.314159,5.309000,80.000,188.395000,10.253000,122.924248,3834,563,0,229,441,3486,49,0
0.323982,9.823000,80.000,188.395000,10.253000,122.924820,3834,563,0,229,441,3486,49,0
0.329927,5.945000,80.000,188.395000,10.253000,122.931503,3834,563,0,229,441,3486,49,0
0.341014,11.087000,80.000,188.395000,10.253000,122.902889,3837,563,0,229,441,3486,49,0
0.346171,5.157000,80.000,188.395000,10.253000,122.901684,3834,563,0,229,441,3486,49,0
0.356767,10.596000,80.000,188.395000,10.253000,122.903873,3837,563,0,229,441,3486,49,0
0.362285,5.518000,80.000,188.395000,10.253000,122.904308,3837,563,0,229,441,3486,49,0
0.373322,11.037000,80.000,188.395000,10.253000,122.906761,3837,563,0,229,441,3486,49,3
0.378554,5.232000,80.000,188.395000,10.253000,122.907196,3837,563,0,229,441,3486,49,3
0.389689,11.135000,80.000,188.395000,10.253000,122.912647,3846,562,0,229,441,3486,49,6
0.395121,5.432000,80.000,188.395000,10.253000,122.909824,3841,562,0,230,441,3486,49,6
0.406246,11.125000,80.000,188.395000,10.253000,122.919067,3851,562,0,230,441,3486,49,7
0.411438,5.192000,80.000,188.395000,10.253000,122.919502,3851,562,0,230,441,3486,49,7
0.422501,11.063000,80.000,188.395000,10.253000,122.921249,3890,555,0,230,441,3486,49,0
0.427926,5.425000,80.000,188.395000,10.253000,122.899155,3855,555,0,236,441,3486,49,0
0.437964,10.038000,80.000,188.395000,10.253000,122.899590,3855,555,0,236,441,3486,49,0
0.443233,5.269000,80.000,188.395000,10.253000,122.900024,3855,555,0,236,441,3486,49,0
0.453537,10.304000,80.000,188.395000,10.253000,122.900459,3855,555,0,236,441,3486,49,0
0.653238,199.701000,80.000,188.395000,10.253000,123.047825,4000,564,0,245,485,3574,49,0
0.677527,24.289000,80.000,188.395000,10.253000,123.049610,4003,564,0,213,417,3438,49,0
0.692214,14.687000,80.000,188.395000,10.253000,122.914516,3875,561,0,213,416,3436,49,0
0.697403,5.189000,80.000,188.395000,10.253000,122.909618,3866,561,0,213,416,3436,49,0
0.702650,5.247000,80.000,188.395000,10.253000,122.835709,3831,540,0,206,409,3422,49,0
0.712055,9.405000,80.000,188.395000,10.253000,122.815914,3783,540,0,205,409,3422,49,0
0.717108,5.053000,80.000,188.395000,10.253000,122.808147,3768,540,0,205,409,3422,49,0
0.722514,5.406000,80.000,188.395000,10.253000,122.808582,3768,540,0,204,408,3420,49,0
0.732461,9.947000,80.000,188.395000,10.253000,122.809017,3768,540,0,204,408,3420,49,0
0.737324,4.863000,80.000,188.395000,10.253000,122.809452,3768,540,0,202,406,3416,49,0
0.745535,8.211000,80.000,188.395000,10.253000,122.809902,3768,540,0,202,406,3416,49,0
0.750367,4.832000,80.000,188.395000,10.253000,122.799934,3764,536,0,201,405,3414,49,0
0.755232,4.865000,80.000,188.395000,10.253000,122.795975,3757,536,0,201,405,3414,49,0
0.764257,9.025000,80.000,188.395000,10.253000,122.798084,3760,536,0,202,405,3414,49,0
0.769039,4.782000,80.000,188.395000,10.253000,122.798519,3760,536,0,200,403,3410,49,0
0.778123,9.084000,80.000,188.395000,10.253000,122.800610,3763,536,0,199,402,3408,49,0
0.782928,4.805000,80.000,188.395000,10.253000,122.800961,3763,536,0,199,402,3408,49,0
0.787875,4.947000,80.000,188.395000,10.253000,122.785862,3754,531,0,198,401,3406,49,0
0.798823,10.948000,80.000,188.395000,10.253000,122.780033,3744,531,0,198,401,3406,49,0
0.803849,5.026000,80.000,188.395000,10.253000,122.780468,3744,531,0,198,401,3406,49,0
0.819210,15.361000,80.000,188.395000,10.253000,122.820847,3744,531,0,221,444,3492,49,0
0.824534,5.324000,80.000,188.395000,10.253000,122.821247,3744,531,0,221,444,3492,49,0
0.829525,4.991000,80.000,188.395000,10.253000,122.802227,3744,531,0,180,404,3412,49,0
0.838727,9.202000,80.000,188.395000,10.253000,122.802647,3744,531,0,180,404,3412,49,0
0.843447,4.720000,80.000,188.395000,10.253000,122.803082,3744,531,0,180,404,3412,49,0
0.852843,9.396000,80.000,188.395000,10.253000,122.803516,3744,531,0,180,404,3412,49,0
0.857529,4.686000,80.000,188.395000,10.253000,122.803951,3744,531,0,180,404,3412,49,0
0.862218,4.689000,80.000,188.395000,10.253000,122.802746,3741,531,0,180,404,3412,49,0
0.871492,9.274000,80.000,188.395000,10.253000,122.804817,3744,531,0,180,404,3412,49,0
0.876332,4.840000,80.000,188.395000,10.253000,122.805252,3744,531,0,180,404,3412,49,0
0.886005,9.673000,80.000,188.395000,10.253000,122.808994,3750,531,0,181,404,3412,49,0
0.890769,4.764000,80.000,188.395000,10.253000,122.809429,3750,531,0,181,404,3412,49,0
0.895402,4.633000,80.000,188.395000,10.253000,122.809864,3750,531,0,181,404,3412,49,0
0.904198,8.796000,80.000,188.395000,10.253000,122.810272,3750,531,0,181,404,3412,49,0
0.908937,4.739000,80.000,188.395000,10.253000,122.807426,3744,531,0,181,404,3412,49,0
0.918271,9.334000,80.000,188.395000,10.253000,122.811543,3750,531,0,181,404,3412,49,0
0.923018,4.747000,80.000,188.395000,10.253000,122.825962,3750,531,0,181,404,3412,49,0
0.927754,4.736000,80.000,188.395000,10.253000,122.826397,3750,531,0,181,404,3412,49,0
0.937778,10.024000,80.000,188.395000,10.253000,122.826824,3750,531,0,181,404,3412,49,0
0.943016,5.238000,80.000,188.395000,10.253000,122.827259,3750,531,0,180,404,3412,49,0
0.953690,10.674000,80.000,188.395000,10.253000,122.952248,3833,563,0,180,404,3412,49,0
0.958662,4.972000,80.000,188.395000,10.253000,122.958462,3833,563,0,187,399,3402,49,0
0.963357,4.695000,80.000,188.395000,10.253000,122.958897,3833,563,0,187,399,3402,49,0
0.971680,8.323000,80.000,188.395000,10.253000,122.959267,3833,563,0,187,399,3402,49,0
0.976610,4.930000,80.000,188.395000,10.253000,122.930256,3833,563,0,188,399,3402,49,0
0.986414,9.804000,102.000,167.605000,6.290000,122.930698,3833,563,0,188,399,3402,49,0
0.990993,4.579000,102.000,167.605000,6.290000,122.931133,3833,563,0,188,399,3402,49,0
0.995534,4.541000,102.000,167.605000,6.290000,122.929928,3830,563,0,188,399,3402,49,0
1.005641,10.107000,102.000,167.605000,6.290000,122.930363,3830,563,0,188,399,3402,49,0
1.078191,72.550000,102.000,167.605000,6.290000,122.931103,3830,563,0,187,399,3402,49,0
1.292813,214.622000,102.000,167.605000,6.290000,123.100773,3978,572,0,236,485,3574,49,0
1.317971,25.158000,102.000,167.605000,6.290000,123.103008,3981,572,0,236,449,3502,49,0
1.329228,11.257000,102.000,167.605000,6.290000,122.972778,3849,572,0,214,427,3458,49,0
1.339670,10.442000,102.000,167.605000,6.290000,122.973259,3849,572,0,214,427,3458,49,0
1.345058,5.388000,102.000,167.605000,6.290000,122.973019,3849,572,0,213,426,3456,49,0
1.354812,9.754000,102.000,167.605000,6.290000,122.968311,3840,572,0,213,426,3456,49,0
1.360034,5.222000,102.000,167.605000,6.290000,122.968746,3840,572,0,211,424,3452,49,0
1.365048,5.014000,102.000,167.605000,6.290000,122.958778,3836,568,0,210,423,3450,49,0
1.374497,9.449000,102.000,167.605000,6.290000,122.954834,3829,568,0,210,423,3450,49,0
1.379500,5.003000,102.000,167.605000,6.290000,122.955269,3829,568,0,210,423,3450,49,0
1.388956,9.456000,102.000,167.605000,6.290000,122.955631,3829,568,0,208,421,3446,49,0
1.394141,5.185000,102.000,167.605000,6.290000,122.956066,3829,568,0,208,421,3446,49,0
1.403731,9.590000,102.000,167.605000,6.290000,122.958076,3832,568,0,207,420,3444,49,0
1.409121,5.390000,102.000,167.605000,6.290000,122.942978,3823,563,0,206,419,3442,49,0
1.414268,5.147000,102.000,167.605000,6.290000,122.937050,3813,563,0,206,419,3442,49,0
1.425455,11.187000,102.000,167.605000,6.290000,122.937630,3813,563,0,206,419,3442,49,0
1.430559,5.104000,102.000,167.605000,6.290000,122.938065,3813,563,0,206,419,3442,49,0
1.439826,9.267000,102.000,167.605000,6.290000,122.940159,3816,563,0,206,419,3442,49,0
1.444706,4.880000,102.000,167.605000,6.290000,122.940594,3816,563,0,206,419,3442,49,0
1.454682,9.976000,102.000,167.605000,6.290000,122.942673,3819,563,0,206,419,3442,49,0
1.466469,11.787000,102.000,167.605000,6.290000,122.981731,3819,563,0,228,461,3526,49,0
1.472062,5.593000,102.000,167.605000,6.290000,122.982166,3819,563,0,228,461,3526,49,0
1.481767,9.705000,102.000,167.605000,6.290000,122.971893,3819,563,0,206,439,3482,49,0
1.487007,5.240000,102.000,167.605000,6.290000,122.972328,3819,563,0,206,439,3482,49,0
1.497903,10.896000,102.000,167.605000,6.290000,122.972759,3819,563,0,206,439,3482,49,0
1.503479,5.576000,102.000,167.605000,6.290000,122.973194,3819,563,0,207,439,3482,49,0
1.513328,9.849000,102.000,167.605000,6.290000,122.975273,3822,563,0,207,439,3482,49,0
1.518517,5.189000,102.000,167.605000,6.290000,122.975708,3822,563,0,207,439,3482,49,0
1.523589,5.072000,102.000,167.605000,6.290000,122.976143,3822,563,0,207,439,3482,49,0
1.533152,9.563000,102.000,167.605000,6.290000,122.976559,3822,563,0,207,439,3482,49,0
1.538226,5.074000,102.000,167.605000,6.290000,122.976994,3822,563,0,207,439,3482,49,0
1.547942,9.716000,102.000,167.605000,6.290000,122.979122,3825,563,0,207,439,3482,49,0
1.552937,4.995000,102.000,167.605000,6.290000,122.980091,3825,563,0,206,439,3482,49,0
1.562814,9.877000,102.000,167.605000,6.290000,122.999714,3822,563,0,206,439,3482,49,0
1.567911,5.097000,102.000,167.605000,6.290000,123.000149,3822,563,0,206,439,3482,49,0
1.573103,5.192000,102.000,167.605000,6.290000,123.000584,3822,563,0,206,439,3482,49,0
1.582657,9.554000,102.000,167.605000,6.290000,123.001019,3822,563,0,206,439,3482,49,0
1.587870,5.213000,102.000,167.605000,6.290000,123.001453,3822,563,0,206,439,3482,49,0
1.597170,9.300000,102.000,167.605000,6.290000,123.001785,3822,563,0,206,439,3482,49,0
1.602284,5.114000,102.000,167.605000,6.290000,123.002163,3822,563,0,206,439,3482,49,0
1.611772,9.488000,102.000,167.605000,6.290000,123.002598,3822,563,0,205,419,3442,49,0
1.616703,4.931000,102.000,167.605000,6.290000,123.003033,3822,563,0,205,419,3442,49,0
1.621553,4.850000,102.000,167.605000,6.290000,123.003468,3822,563,0,205,419,3442,49,0
1.631371,9.818000,102.000,167.605000,6.290000,122.977619,3825,563,0,205,419,3442,49,0
1.636277,4.906000,102.000,167.605000,6.290000,122.976414,3822,563,0,205,419,3442,49,0
1.646904,10.627000,102.000,167.605000,6.290000,122.979588,3822,563,0,206,419,3442,49,4
1.651966,5.062000,102.000,167.605000,6.290000,122.980022,3822,563,0,205,419,3442,49,4
1.661774,9.808000,102.000,167.605000,6.290000,122.985489,3831,562,0,204,419,3442,49,7
1.666697,4.923000,102.000,167.605000,6.290000,122.982666,3826,562,0,205,419,3442,49,7
1.671664,4.967000,102.000,167.605000,6.290000,122.981461,3823,562,0,205,419,3442,49,7
1.682255,10.591000,102.000,167.605000,6.290000,122.985821,3826,562,0,204,419,3442,49,7
1.687086,4.831000,102.000,167.605000,6.290000,122.984615,3823,562,0,205,419,3442,49,7
1.697601,10.515000,102.000,167.605000,6.290000,122.987953,3865,555,0,205,419,3442,49,0
1.702714,5.113000,102.000,167.605000,6.290000,122.965858,3830,555,0,212,419,3442,49,0
1.712839,10.125000,102.000,167.605000,6.290000,122.966278,3830,555,0,212,419,3442,49,0
1.717769,4.930000,102.000,167.605000,6.290000,122.966713,3830,555,0,212,419,3442,49,0
1.722909,5.140000,102.000,167.605000,6.290000,122.971512,3837,555,0,212,419,3442,49,0
1.737426,14.517000,102.000,167.605000,6.290000,122.972023,3837,555,0,212,419,3442,49,0
1.741344,3.918000,102.000,167.605000,6.290000,122.950470,3834,555,0,172,377,3358,49,0
1.750348,9.004000,102.000,167.605000,6.290000,122.954201,3840,555,0,172,377,3358,49,0
1.754309,3.961000,102.000,167.605000,6.290000,122.954636,3840,555,0,172,377,3358,49,0
1.763824,9.515000,102.000,167.605000,6.290000,122.956699,3843,555,0,173,377,3358,49,0
1.767683,3.859000,102.000,167.605000,6.290000,122.957134,3843,555,0,173,377,3358,49,0
1.771611,3.928000,102.000,167.605000,6.290000,122.955929,3840,555,0,173,377,3358,49,0
1.993380,221.769000,102.000,167.605000,6.290000,123.131897,3984,564,0,244,485,3574,49,0
2.017902,24.522000,102.000,167.605000,6.290000,123.076103,3882,564,0,236,477,3558,49,0
2.030155,12.253000,71.000,193.509000,9.639000,122.940701,3829,540,0,228,433,3470,49,0
2.040892,10.737000,71.000,193.509000,9.639000,122.913242,3784,540,0,228,433,3470,49,0
2.046330,5.438000,71.000,193.509000,9.639000,122.908115,3775,540,0,228,433,3470,49,0
2.056812,10.482000,71.000,193.509000,9.639000,122.908310,3775,540,0,228,433,3470,49,0
2.062172,5.360000,71.000,193.509000,9.639000,122.903824,3766,540,0,227,432,3468,49,0
2.072150,9.978000,71.000,193.509000,9.639000,122.904243,3766,540,0,226,431,3466,49,0
2.077328,5.178000,71.000,193.509000,9.639000,122.904621,3766,540,0,225,430,3464,49,0
2.090843,13.515000,71.000,193.509000,9.639000,122.927208,3768,536,0,225,450,3504,49,0
2.096286,5.443000,71.000,193.509000,9.639000,122.923294,3761,536,0,225,450,3504,49,0
2.106038,9.752000,71.000,193.509000,9.639000,122.923679,3761,536,0,223,448,3500,49,0
2.111335,5.297000,71.000,193.509000,9.639000,122.924114,3761,536,0,223,448,3500,49,0
2.120987,9.652000,71.000,193.509000,9.639000,122.926155,3764,536,0,222,447,3498,49,0
2.126144,5.157000,71.000,193.509000,9.639000,122.911057,3755,531,0,199,424,3452,49,0
2.131214,5.070000,71.000,193.509000,9.639000,122.894482,3745,531,0,199,424,3452,49,0
2.139618,8.404000,71.000,193.509000,9.639000,122.894901,3745,531,0,199,424,3452,49,0
2.144584,4.966000,71.000,193.509000,9.639000,122.895336,3745,531,0,199,424,3452,49,0
2.153960,9.376000,71.000,193.509000,9.639000,122.895771,3745,531,0,199,424,3452,49,0
2.159364,5.404000,71.000,193.509000,9.639000,122.896149,3745,531,0,199,424,3452,49,0
2.164887,5.523000,71.000,193.509000,9.639000,122.896584,3745,531,0,199,424,3452,49,0
2.174701,9.814000,71.000,193.509000,9.639000,122.897003,3745,531,0,199,424,3452,49,0
2.179753,5.052000,71.000,193.509000,9.639000,122.897438,3745,531,0,199,424,3452,49,0
2.190249,10.496000,71.000,193.509000,9.639000,122.896233,3742,531,0,199,424,3452,49,0
