elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.001157,1.157000,824.000,9.730000,0.745000,122.692318,3443,235,0,102,212,2012,9,0
0.002350,1.193000,824.000,9.730000,0.745000,122.696384,3444,235,0,102,212,2012,9,0
0.003463,1.113000,824.000,9.730000,0.745000,122.696770,3444,235,0,102,212,2012,9,0
0.004577,1.114000,824.000,9.730000,0.745000,122.697517,3444,235,0,102,212,2012,9,0
0.006003,1.426000,824.000,9.730000,0.745000,122.698547,3444,235,0,102,212,2012,9,0
0.007346,1.343000,824.000,9.730000,0.745000,122.699005,3444,235,0,101,212,2012,9,0
0.008475,1.129000,824.000,9.730000,0.745000,122.700333,3444,235,0,101,212,2012,9,0
0.009621,1.146000,824.000,9.730000,0.745000,122.700768,3444,235,0,101,212,2012,9,0
0.010786,1.165000,824.000,9.730000,0.745000,122.701233,3444,235,0,101,212,2012,9,0
0.011939,1.153000,824.000,9.730000,0.745000,122.702858,3444,235,0,101,212,2012,9,0
0.013048,1.109000,824.000,9.730000,0.745000,122.703293,3444,235,0,101,212,2012,9,0
0.014298,1.250000,824.000,9.730000,0.745000,122.703728,3444,235,0,101,212,2012,9,0
0.015641,1.343000,824.000,9.730000,0.745000,122.704208,3444,235,0,101,212,2012,9,0
0.016783,1.142000,824.000,9.730000,0.745000,122.706429,3444,235,0,101,212,2012,9,0
0.017904,1.121000,824.000,9.730000,0.745000,122.706863,3444,235,0,101,212,2012,9,0
0.019020,1.116000,824.000,9.730000,0.745000,122.707298,3444,235,0,101,212,2012,9,0
0.020141,1.121000,824.000,9.730000,0.745000,122.707676,3444,235,0,101,212,2012,9,0
0.021292,1.151000,824.000,9.730000,0.745000,122.708111,3444,235,0,101,212,2012,9,0
0.022736,1.444000,824.000,9.730000,0.745000,122.708599,3444,235,0,101,212,2012,9,0
0.024045,1.309000,824.000,9.730000,0.745000,122.711712,3444,235,0,102,212,2012,9,0
0.025182,1.137000,824.000,9.730000,0.745000,122.712147,3444,235,0,102,212,2012,9,0
