elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.000741,0.741000,1306.000,4.111000,0.587000,122.627644,3420,229,0,78,181,1950,9,0
0.001485,0.744000,1306.000,4.111000,0.587000,122.631710,3421,229,0,78,181,1950,9,0
0.002235,0.750000,1306.000,4.111000,0.587000,122.632153,3421,229,0,78,181,1950,9,0
0.002991,0.756000,1306.000,4.111000,0.587000,122.632900,3421,229,0,78,181,1950,9,0
0.003745,0.754000,1306.000,4.111000,0.587000,122.633930,3421,229,0,78,181,1950,9,0
0.004497,0.752000,1306.000,4.111000,0.587000,122.634388,3421,229,0,78,181,1950,9,0
0.005248,0.751000,1306.000,4.111000,0.587000,122.635715,3421,229,0,78,181,1950,9,0
0.006002,0.754000,1306.000,4.111000,0.587000,122.636150,3421,229,0,78,181,1950,9,0
0.006757,0.755000,1306.000,4.111000,0.587000,122.636616,3421,229,0,78,181,1950,9,0
0.007514,0.757000,1306.000,4.111000,0.587000,122.638241,3421,229,0,78,181,1950,9,0
0.008272,0.758000,1306.000,4.111000,0.587000,122.638676,3421,229,0,78,181,1950,9,0
0.009026,0.754000,1306.000,4.111000,0.587000,122.639111,3421,229,0,78,181,1950,9,0
0.009784,0.758000,1306.000,4.111000,0.587000,122.639591,3421,229,0,78,181,1950,9,0
0.010533,0.749000,1306.000,4.111000,0.587000,122.641811,3421,229,0,78,181,1950,9,0
0.011285,0.752000,1306.000,4.111000,0.587000,122.642246,3421,229,0,78,181,1950,9,0
0.012040,0.755000,1306.000,4.111000,0.587000,122.642681,3421,229,0,78,181,1950,9,0
0.012798,0.758000,1306.000,4.111000,0.587000,122.643059,3421,229,0,78,181,1950,9,0
0.013552,0.754000,1306.000,4.111000,0.587000,122.643494,3421,229,0,78,181,1950,9,0
0.014301,0.749000,1306.000,4.111000,0.587000,122.643997,3421,229,0,78,181,1950,9,0
0.015062,0.761000,1306.000,4.111000,0.587000,122.647110,3421,229,0,78,181,1950,9,0
0.015996,0.934000,1306.000,4.111000,0.587000,122.649185,3424,229,0,78,181,1950,9,0
0.016760,0.764000,1306.000,4.111000,0.587000,122.649620,3424,229,0,78,181,1950,9,0
0.017516,0.756000,1306.000,4.111000,0.587000,122.649998,3424,229,0,78,181,1950,9,0
0.018273,0.757000,1306.000,4.111000,0.587000,122.650433,3424,229,0,78,181,1950,9,0
0.019031,0.758000,1306.000,4.111000,0.587000,122.650867,3424,229,0,78,181,1950,9,0
0.019778,0.747000,1306.000,4.111000,0.587000,122.651302,3424,229,0,78,181,1950,9,0
0.020531,0.753000,1306.000,4.111000,0.587000,122.651737,3424,229,0,78,181,1950,9,0
0.021283,0.752000,1306.000,4.111000,0.587000,122.652279,3424,229,0,78,181,1950,9,0
0.022040,0.757000,1306.000,4.111000,0.587000,122.656879,3424,229,0,78,181,1950,9,0
0.022799,0.759000,1306.000,4.111000,0.587000,122.657257,3424,229,0,78,181,1950,9,0
0.023559,0.760000,1306.000,4.111000,0.587000,122.657692,3424,229,0,78,181,1950,9,0
0.024319,0.760000,1306.000,4.111000,0.587000,122.658127,3424,229,0,78,181,1950,9,0
0.025126,0.807000,1306.000,4.111000,0.587000,122.664566,3434,229,0,78,181,1950,9,0
0.025891,0.765000,1306.000,4.111000,0.587000,122.665001,3434,229,0,78,181,1950,9,0
0.026645,0.754000,1306.000,4.111000,0.587000,122.665436,3434,229,0,78,181,1950,9,0
0.027397,0.752000,1306.000,4.111000,0.587000,122.665871,3434,229,0,78,181,1950,9,0
0.028148,0.751000,1306.000,4.111000,0.587000,122.666306,3434,229,0,78,181,1950,9,0
0.028907,0.759000,1306.000,4.111000,0.587000,122.666740,3434,229,0,78,181,1950,9,0
0.029672,0.765000,1306.000,4.111000,0.587000,122.667175,3434,229,0,78,181,1950,9,0
0.030422,0.750000,1306.000,4.111000,0.587000,122.667610,3434,229,0,78,181,1950,9,0
0.031259,0.837000,1306.000,4.111000,0.587000,122.668045,3434,229,0,78,181,1950,9,0
0.032210,0.951000,1306.000,4.111000,0.587000,122.668621,3434,229,0,78,181,1950,9,0
0.032996,0.786000,1306.000,4.111000,0.587000,122.675247,3434,229,0,76,181,1950,9,0
0.033749,0.753000,1306.000,4.111000,0.587000,122.675682,3434,229,0,76,181,1950,9,0
0.034482,0.733000,1306.000,4.111000,0.587000,122.676117,3434,229,0,76,181,1950,9,0
0.035233,0.751000,1306.000,4.111000,0.587000,122.676552,3434,229,0,76,181,1950,9,0
0.035988,0.755000,1306.000,4.111000,0.587000,122.676987,3434,229,0,76,181,1950,9,0
0.036736,0.748000,1306.000,4.111000,0.587000,122.677422,3434,229,0,76,181,1950,9,0
0.037476,0.740000,1306.000,4.111000,0.587000,122.677856,3434,229,0,76,181,1950,9,0
0.038219,0.743000,1306.000,4.111000,0.587000,122.678291,3434,229,0,76,181,1950,9,0
0.038967,0.748000,1306.000,4.111000,0.587000,122.678726,3434,229,0,76,181,1950,9,0
0.039711,0.744000,1306.000,4.111000,0.587000,122.679161,3434,229,0,76,181,1950,9,0
0.040461,0.750000,1306.000,4.111000,0.587000,122.679596,3434,229,0,76,181,1950,9,0
0.041196,0.735000,1306.000,4.111000,0.587000,122.680031,3434,229,0,76,181,1950,9,0
0.041947,0.751000,1306.000,4.111000,0.587000,122.680466,3434,229,0,76,181,1950,9,0
0.042695,0.748000,1306.000,4.111000,0.587000,122.680901,3434,229,0,76,181,1950,9,0
0.043437,0.742000,1306.000,4.111000,0.587000,122.681335,3434,229,0,76,181,1950,9,0
0.044185,0.748000,1306.000,4.111000,0.587000,122.681770,3434,229,0,76,181,1950,9,0
0.044934,0.749000,1306.000,4.111000,0.587000,122.682205,3434,229,0,76,181,1950,9,0
0.045675,0.741000,1306.000,4.111000,0.587000,122.682640,3434,229,0,75,178,1944,9,0
0.046400,0.725000,1306.000,4.111000,0.587000,122.683075,3434,229,0,75,178,1944,9,0
0.047139,0.739000,1306.000,4.111000,0.587000,122.683453,3434,229,0,75,178,1944,9,0
0.047951,0.812000,1306.000,4.111000,0.587000,122.684124,3434,229,0,75,178,1944,9,0
