elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.000996,0.996000,988.000,11.125000,0.685000,123.321941,3699,269,0,123,236,2060,10,0
0.002021,1.025000,988.000,11.125000,0.685000,123.326008,3700,269,0,123,236,2060,10,0
0.003032,1.011000,988.000,11.125000,0.685000,123.326450,3700,269,0,123,236,2060,10,0
0.004022,0.990000,988.000,11.125000,0.685000,123.327198,3700,269,0,123,236,2060,10,0
0.004981,0.959000,988.000,11.125000,0.685000,123.328228,3700,269,0,123,236,2060,10,0
0.005956,0.975000,988.000,11.125000,0.685000,123.328686,3700,269,0,123,236,2060,10,0
0.006956,1.000000,988.000,11.125000,0.685000,123.330013,3700,269,0,123,236,2060,10,0
0.007960,1.004000,988.000,11.125000,0.685000,123.330448,3700,269,0,123,236,2060,10,0
0.008969,1.009000,988.000,11.125000,0.685000,123.330856,3700,269,0,123,236,2060,10,0
0.009970,1.001000,988.000,11.125000,0.685000,123.332481,3700,269,0,123,236,2060,10,0
0.010948,0.978000,988.000,11.125000,0.685000,123.332859,3700,269,0,123,236,2060,10,0
0.011947,0.999000,988.000,11.125000,0.685000,123.333294,3700,269,0,123,236,2060,10,0
0.012952,1.005000,988.000,11.125000,0.685000,123.333775,3700,269,0,123,236,2060,10,0
0.013929,0.977000,988.000,11.125000,0.685000,123.335995,3700,269,0,123,236,2060,10,0
0.014932,1.003000,988.000,11.125000,0.685000,123.336430,3700,269,0,123,236,2060,10,0
0.016159,1.227000,988.000,11.125000,0.685000,123.336864,3700,269,0,123,236,2060,10,0
0.017167,1.008000,988.000,11.125000,0.685000,123.337299,3700,269,0,124,236,2060,10,0
0.018180,1.013000,988.000,11.125000,0.685000,123.337734,3700,269,0,124,236,2060,10,0
0.019253,1.073000,988.000,11.125000,0.685000,123.344185,3710,269,0,124,236,2060,10,0
0.020259,1.006000,988.000,11.125000,0.685000,123.347298,3710,269,0,124,236,2060,10,0
