class	slot	asset_state	storage	width	height	bytes	sha256	git_lfs_oid	manifest_oid	path
assassin	648p	OK	lfs_hydrated	1152	648	250648	42193a51a4d667cd8fdd23344ba9a546e72e4f03834ed83df4d63d5ded113c98	42193a51a4d667cd8fdd23344ba9a546e72e4f03834ed83df4d63d5ded113c98		docs/design/reference-assets-lfs/assassin-ultimate-timelines-fan3014/assassin_ultimate_timelines_648p.png
assassin	720p	OK	lfs_hydrated	1280	720	288174	a4210a71853d07e966674fa5fd89ef6a5bc1b724f199e43bf2744bea68033b5d	a4210a71853d07e966674fa5fd89ef6a5bc1b724f199e43bf2744bea68033b5d		docs/design/reference-assets-lfs/assassin-ultimate-timelines-fan3014/assassin_ultimate_timelines_720p.png
assassin	1080p	OK	lfs_hydrated	1920	1080	573072	b110342225f951efc3c164424b66b667e2676c55a46a4d4286e8a49054c9d86a	b110342225f951efc3c164424b66b667e2676c55a46a4d4286e8a49054c9d86a		docs/design/reference-assets-lfs/assassin-ultimate-timelines-fan3014/assassin_ultimate_timelines_1080p.png
assassin	2k	OK	lfs_hydrated	2560	1440	624278	140887314c86337e3633722f0f87e950b4021b0d27c8cbf714f93f208254dd7f	140887314c86337e3633722f0f87e950b4021b0d27c8cbf714f93f208254dd7f		docs/design/reference-assets-lfs/assassin-ultimate-timelines-fan3014/assassin_ultimate_timelines_2k.png
berserk	648p	OK	git_png	1152	648	137418	04cc3063b55111439386c3d6bab159beab219a75c2d2265c951252c2a669f5b1			docs/design/references/weapon_ultimates/berserk/berserk_ultimate_timelines_648p.png
berserk	720p	OK	git_png	1280	720	157040	6065379bc225f6f1e8fc102986a6bd9f6ddd3a5457de0faf33c7d220a488affa			docs/design/references/weapon_ultimates/berserk/berserk_ultimate_timelines_720p.png
berserk	1080p	OK	git_png	1920	1080	281256	b657b0f28af8ec4608af5c081a74ada098b20aac46b376980bba34b2ee122309			docs/design/references/weapon_ultimates/berserk/berserk_ultimate_timelines_1080p.png
berserk	2k	OK	git_png	2560	1440	388904	4455342e535eb45b96adfa44d6aa8a17a1503d8d005120abf4410965f91f5b60			docs/design/references/weapon_ultimates/berserk/berserk_ultimate_timelines_2k.png
biologist	648p	OK	git_png	1152	648	69756	6461c01b6dc1175c42463c38ae128ab4173bd0ae2c4abfa79ec5ad50cc60ffc6			docs/design/references/weapon_ultimates/biologist/biologist_ultimate_timelines_648p.png
biologist	720p	OK	git_png	1280	720	78680	73fd0c9818a808d0efa34347fc8a58fab59cbf250341c5de30050a0e3eba184b			docs/design/references/weapon_ultimates/biologist/biologist_ultimate_timelines_720p.png
biologist	1080p	OK	git_png	1920	1080	144311	adf9acc184f3dfb8edb97b99eb4f8386952ace34119bc4c353b8ac1e8108b7c2			docs/design/references/weapon_ultimates/biologist/biologist_ultimate_timelines_1080p.png
biologist	2k	OK	git_png	2560	1440	202818	a4bb2cf5bf9a07ca371217f7b97f45024b79704bcc1bbe4e54c39db0d396abd0			docs/design/references/weapon_ultimates/biologist/biologist_ultimate_timelines_2k.png
chemist	648p	OK	git_png	1152	648	185272	65dc99c6417eb267a39f567619427bb12199690a759058fd933e753fb17f479d			docs/design/references/weapon_ultimates/chemist/chemist_ultimate_timelines_648p.png
chemist	720p	OK	git_png	1280	720	217863	6bb1301736c00e29e3be85ad431570bdc83997724d4e9ad9345142f09894c817			docs/design/references/weapon_ultimates/chemist/chemist_ultimate_timelines_720p.png
chemist	1080p	OK	git_png	1920	1080	401393	e7853b63726de4bec1d19ab49af16afe6bbd0fa9e03b0523c601d1bc1b1db059			docs/design/references/weapon_ultimates/chemist/chemist_ultimate_timelines_1080p.png
chemist	2k	OK	git_png	2560	1440	622262	d1b1af64dfcbd1a28fb13f0a3d78f75641ee5df1093255d2219e13773df37def			docs/design/references/weapon_ultimates/chemist/chemist_ultimate_timelines_2k.png
dark_mage	648p	OK	lfs_hydrated	1152	648	95290	cbe992fe67e77d8439d1c52ebeba72ba5f2389e2bbcd29725bf91228e2ae9232	cbe992fe67e77d8439d1c52ebeba72ba5f2389e2bbcd29725bf91228e2ae9232		docs/design/reference-assets-lfs/dark-mage-ultimate-timelines/dark_mage_ultimate_timelines_648p.png
dark_mage	720p	OK	lfs_hydrated	1280	720	115078	f8ad2ef816a447c281b52d7e8d39a8888e338949f6ea140bb1a55871935e2eed	f8ad2ef816a447c281b52d7e8d39a8888e338949f6ea140bb1a55871935e2eed		docs/design/reference-assets-lfs/dark-mage-ultimate-timelines/dark_mage_ultimate_timelines_720p.png
dark_mage	1080p	OK	lfs_hydrated	1920	1080	209883	583603eeeea24da920bae12c8401f2f9c1f6af934b5dc36e4d55cf259a7894fc	583603eeeea24da920bae12c8401f2f9c1f6af934b5dc36e4d55cf259a7894fc		docs/design/reference-assets-lfs/dark-mage-ultimate-timelines/dark_mage_ultimate_timelines_1080p.png
dark_mage	2k	OK	lfs_hydrated	2560	1440	296609	b641be41d1b18234cc885b545bc9f995a8c6c63c003a5c2fbcacabae0688d266	b641be41d1b18234cc885b545bc9f995a8c6c63c003a5c2fbcacabae0688d266		docs/design/reference-assets-lfs/dark-mage-ultimate-timelines/dark_mage_ultimate_timelines_2k.png
doctor	648p	OK	lfs_hydrated	1152	648	76599	9fcaab8c40746fb34e7385fad33b943b3895839f47ceaf1a8a4e3c0454bf99dd	9fcaab8c40746fb34e7385fad33b943b3895839f47ceaf1a8a4e3c0454bf99dd		docs/design/reference-assets-lfs/doctor-ultimate-timelines-fan3691/doctor_ultimate_timelines_648p.png
doctor	720p	OK	lfs_hydrated	1280	720	88479	a668c2c1cac3656690848aecb1a7dca58adfecc3ce18b73785a89f16f2b484b1	a668c2c1cac3656690848aecb1a7dca58adfecc3ce18b73785a89f16f2b484b1		docs/design/reference-assets-lfs/doctor-ultimate-timelines-fan3691/doctor_ultimate_timelines_720p.png
doctor	1080p	OK	lfs_hydrated	1920	1080	167597	bbca8ecc8723ad149d4201665a992f7e1879adbc21d0616370daa2284da9bcc7	bbca8ecc8723ad149d4201665a992f7e1879adbc21d0616370daa2284da9bcc7		docs/design/reference-assets-lfs/doctor-ultimate-timelines-fan3691/doctor_ultimate_timelines_1080p.png
doctor	2k	OK	lfs_hydrated	2560	1440	261116	47e44a49941f06bd64cac38fb26ed5bba10b19580730233a32481e4a3b1580f8	47e44a49941f06bd64cac38fb26ed5bba10b19580730233a32481e4a3b1580f8		docs/design/reference-assets-lfs/doctor-ultimate-timelines-fan3691/doctor_ultimate_timelines_2k.png
druid	648p	OK	git_png	1152	648	78311	8521fbc003de85bea6586327f1e37e6d4a0a895e030970272fcff4e12b64abc7			docs/design/references/weapon_ultimates/druid/druid_ultimate_timelines_648p.png
druid	720p	OK	git_png	1280	720	92542	8ea04ffb57ac4c15a2071d134ba7e6db295e70ea0b7bc11b43b7be29509e317a			docs/design/references/weapon_ultimates/druid/druid_ultimate_timelines_720p.png
druid	1080p	OK	git_png	1920	1080	166802	bcc63529dfdbc344c5f7de93827705f7862f104396622f104895b015dcfaabd1			docs/design/references/weapon_ultimates/druid/druid_ultimate_timelines_1080p.png
druid	2k	OK	git_png	2560	1440	250850	fc1a7ac955774c94a75a6db0f29453c72a9e017e7cac1cdff38ba855e49ead86			docs/design/references/weapon_ultimates/druid/druid_ultimate_timelines_2k.png
elementalist	648p	OK	git_png	1152	648	70652	2e4be56fc29e35696466ddd19fa158bece198724b4e898c516ee8521c5ad4324			docs/design/references/weapon_ultimates/elementalist/elementalist_ultimate_timelines_648p.png
elementalist	720p	OK	git_png	1280	720	82530	f5a5adab726e8a4720d0d04a18f3f7243ed3b2e3fe21e7353d9ef2a07f97fe86			docs/design/references/weapon_ultimates/elementalist/elementalist_ultimate_timelines_720p.png
elementalist	1080p	OK	git_png	1920	1080	144885	24096a98579b16aa5c79695660c9cf64d265034d6e8d53bf08cc5d10e001334c			docs/design/references/weapon_ultimates/elementalist/elementalist_ultimate_timelines_1080p.png
elementalist	2k	OK	git_png	2560	1440	210701	a9486135c3657106de775f50b7531ebdddc8d2c08c5301b7865df0aff7d35cfa			docs/design/references/weapon_ultimates/elementalist/elementalist_ultimate_timelines_2k.png
engineer	648p	OK	lfs_hydrated	1152	648	65652	fc54e4c6ef393e9073ab84a4b605bad8c349e8d333b25ba5a734cd077c25b1aa	fc54e4c6ef393e9073ab84a4b605bad8c349e8d333b25ba5a734cd077c25b1aa		docs/design/reference-assets-lfs/engineer-ultimate-timelines-fan3749/engineer_ultimate_timelines_648p.png
engineer	720p	OK	lfs_hydrated	1280	720	78066	e229fdf0ca415007ce93e6a10851c811fea179bdf604d72cab41613e71552429	e229fdf0ca415007ce93e6a10851c811fea179bdf604d72cab41613e71552429		docs/design/reference-assets-lfs/engineer-ultimate-timelines-fan3749/engineer_ultimate_timelines_720p.png
engineer	1080p	OK	lfs_hydrated	1920	1080	142342	a9ed28fd03c00e23ab33fc413de4e26da2c8daf64e1d69b002c5b3032952dee5	a9ed28fd03c00e23ab33fc413de4e26da2c8daf64e1d69b002c5b3032952dee5		docs/design/reference-assets-lfs/engineer-ultimate-timelines-fan3749/engineer_ultimate_timelines_1080p.png
engineer	2k	OK	lfs_hydrated	2560	1440	219249	ebd47bba82c7ba0b5ed9bc36cb2d884c24cf48ae6d7167a6aca6e0fc48bd5fa4	ebd47bba82c7ba0b5ed9bc36cb2d884c24cf48ae6d7167a6aca6e0fc48bd5fa4		docs/design/reference-assets-lfs/engineer-ultimate-timelines-fan3749/engineer_ultimate_timelines_2k.png
guitarist	648p	OK	git_png	1152	648	59281	3f80a7ad4ff00546594499485ff34c8e7af8aadd01fa771fea95204608175c57			docs/design/references/weapon_ultimates/guitarist/guitarist_ultimate_timelines_648p.png
guitarist	720p	OK	git_png	1280	720	68519	07577ab8ff1b8c38a9437276f38d553b76b068d56c5086fecc6ebc15ed12b005			docs/design/references/weapon_ultimates/guitarist/guitarist_ultimate_timelines_720p.png
guitarist	1080p	OK	git_png	1920	1080	119496	889d4eacae3ff2f4f90793cefee68b164333dfb9624c934984b2615c4d88a4e2			docs/design/references/weapon_ultimates/guitarist/guitarist_ultimate_timelines_1080p.png
guitarist	2k	OK	git_png	2560	1440	184762	615aee2db5576ddbdf38c2d13572b22b6a9fdc95bf6102818f90be8d923e7746			docs/design/references/weapon_ultimates/guitarist/guitarist_ultimate_timelines_2k.png
knight	648p	OK	git_png	1152	648	57076	d6cb3c1be41ec7ebcc0c064581d54b924e8fefab6ee26010e79b3c2a48ba54c7			docs/design/references/weapon_ultimates/knight/knight_ultimate_timelines_648p.png
knight	720p	OK	git_png	1280	720	67661	d1cc9e27e6c6aa107026b966d92dd56cc924c0316512d8ff740f85dcc51d9363			docs/design/references/weapon_ultimates/knight/knight_ultimate_timelines_720p.png
knight	1080p	OK	git_png	1920	1080	122286	71afb66fe8621220414f194ac4b8f2b3e3340541f2553177285cb01df308736b			docs/design/references/weapon_ultimates/knight/knight_ultimate_timelines_1080p.png
knight	2k	OK	git_png	2560	1440	174820	574579c9d1078ea8a3762f03dd68854f5b570b3c3e3500bcf8e2f0314a693649			docs/design/references/weapon_ultimates/knight/knight_ultimate_timelines_2k.png
priest	648p	OK	git_png	1152	648	44732	45edc6e82625d198adefe1f6cf24781972fa2b8b1b8c9ce1e4361398cffe5366			docs/design/references/weapon_ultimates/priest/priest_ultimate_timelines_648p.png
priest	720p	OK	git_png	1280	720	50826	fa8500775023a0e1ad255d4586c14c6f1e9e8b32cd1e86d7f84b8b927b4fcc2d			docs/design/references/weapon_ultimates/priest/priest_ultimate_timelines_720p.png
priest	1080p	OK	git_png	1920	1080	82232	2e0f35af4fce949857774c7677e3db833a1fb043dbad340e5f2c8e50a3216589			docs/design/references/weapon_ultimates/priest/priest_ultimate_timelines_1080p.png
priest	2k	OK	git_png	2560	1440	117424	bacf4a136df1e3e5021a0ad769679ef4615828a1ca819539a9304684136b7003			docs/design/references/weapon_ultimates/priest/priest_ultimate_timelines_2k.png
ranger	648p	OK	lfs_hydrated	1152	648	103528	7e2cee6eb155e444dbb4900beb7f8c583c6f849813c27e2f49923b8bcc85cac9	7e2cee6eb155e444dbb4900beb7f8c583c6f849813c27e2f49923b8bcc85cac9	7e2cee6eb155e444dbb4900beb7f8c583c6f849813c27e2f49923b8bcc85cac9	docs/design/reference-assets-lfs/ranger-ultimate-timelines-fan3889/ranger_ultimate_timelines_648p.png
