elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.014398,14.398000,115.000,44.118000,1.890000,125.629994,4163,479,0,181,387,3378,49,0
0.017716,3.318000,115.000,44.118000,1.890000,125.634061,4164,479,0,181,387,3378,49,0
0.031693,13.977000,115.000,44.118000,1.890000,125.621366,4158,476,0,180,386,3376,49,0
0.034794,3.101000,115.000,44.118000,1.890000,125.601583,4147,471,0,179,385,3374,49,0
0.046909,12.115000,115.000,44.118000,1.890000,126.092496,4399,511,0,239,445,3494,49,0
0.050022,3.113000,115.000,44.118000,1.890000,126.092954,4399,511,0,239,445,3494,49,0
0.064584,14.562000,115.000,44.118000,1.890000,126.094293,4399,511,0,239,445,3494,49,0
0.068161,3.577000,115.000,44.118000,1.890000,126.094728,4399,511,0,239,445,3494,49,0
0.080686,12.525000,115.000,44.118000,1.890000,126.095178,4399,511,0,223,429,3462,49,0
0.082551,1.865000,115.000,44.118000,1.890000,125.974641,4383,503,0,223,429,3462,49,0
0.098075,15.524000,115.000,44.118000,1.890000,125.956017,4351,503,0,223,429,3462,49,0
0.100355,2.280000,115.000,44.118000,1.890000,125.956452,4351,503,0,223,429,3462,49,0
0.114504,14.149000,115.000,44.118000,1.890000,125.956979,4351,503,0,223,429,3462,49,0
0.116267,1.763000,112.000,37.871000,2.078000,125.959199,4351,503,0,223,429,3462,49,0
0.131204,14.937000,112.000,37.871000,2.078000,125.961392,4354,503,0,223,429,3462,49,0
0.133086,1.882000,112.000,37.871000,2.078000,125.961827,4354,503,0,223,429,3462,49,0
0.147852,14.766000,112.000,37.871000,2.078000,125.965661,4360,503,0,223,429,3462,49,0
0.149635,1.783000,112.000,37.871000,2.078000,125.964456,4357,503,0,223,429,3462,49,0
0.164581,14.946000,112.000,37.871000,2.078000,125.966626,4360,503,0,223,429,3462,49,0
0.166637,2.056000,112.000,37.871000,2.078000,125.966458,4354,503,0,223,429,3462,49,0
0.181106,14.469000,112.000,37.871000,2.078000,125.966969,4354,503,0,223,429,3462,49,0
0.183151,2.045000,112.000,37.871000,2.078000,125.962941,4352,503,0,223,429,3462,49,0
0.198552,15.401000,112.000,37.871000,2.078000,126.086385,4432,535,0,203,409,3422,49,0
0.201259,2.707000,112.000,37.871000,2.078000,126.092633,4432,535,0,212,425,3454,49,0
0.214115,12.856000,112.000,37.871000,2.078000,126.016713,4395,515,0,212,425,3454,49,0
0.216602,2.487000,112.000,37.871000,2.078000,125.958249,4295,515,0,212,425,3454,49,0
0.231615,15.013000,112.000,37.871000,2.078000,125.958661,4295,515,0,212,425,3454,49,0
0.234780,3.165000,112.000,37.871000,2.078000,125.959203,4295,515,0,213,425,3454,49,0
0.248080,13.300000,112.000,37.871000,2.078000,125.963685,4295,515,0,213,425,3454,49,0
0.249813,1.733000,112.000,37.871000,2.078000,125.964086,4295,515,0,211,425,3454,49,0
0.264903,15.090000,112.000,37.871000,2.078000,125.970746,4305,515,0,211,425,3454,49,0
0.267047,2.144000,112.000,37.871000,2.078000,125.971181,4305,515,0,211,425,3454,49,0
0.281358,14.311000,112.000,37.871000,2.078000,125.971532,4305,515,0,211,425,3454,49,0
0.283373,2.015000,112.000,37.871000,2.078000,125.971967,4305,515,0,211,425,3454,49,0
0.297970,14.597000,112.000,37.871000,2.078000,125.972482,4305,515,0,211,425,3454,49,0
0.299920,1.950000,112.000,37.871000,2.078000,125.972882,4305,515,0,210,425,3454,49,0
0.314471,14.551000,112.000,37.871000,2.078000,125.974965,4308,515,0,210,425,3454,49,0
0.351930,37.459000,112.000,37.871000,2.078000,126.477223,4747,571,0,270,487,3578,49,0
0.364514,12.584000,112.000,37.871000,2.078000,126.479310,4750,571,0,269,487,3578,49,0
0.369276,4.762000,112.000,37.871000,2.078000,126.208932,4619,557,0,243,457,3518,49,0
0.379622,10.346000,112.000,37.871000,2.078000,126.172761,4557,557,0,243,457,3518,49,0
0.382916,3.294000,112.000,37.871000,2.078000,126.171716,4554,557,0,243,457,3518,49,0
0.397546,14.630000,112.000,37.871000,2.078000,126.178399,4554,557,0,243,457,3518,49,0
0.400215,2.669000,112.000,37.871000,2.078000,126.178834,4554,557,0,243,457,3518,49,0
0.413791,13.576000,112.000,37.871000,2.078000,126.179177,4554,557,0,243,457,3518,49,0
0.416699,2.908000,112.000,37.871000,2.078000,126.179612,4554,557,0,244,457,3518,49,0
0.430673,13.974000,112.000,37.871000,2.078000,126.180047,4554,557,0,244,457,3518,49,0
0.433477,2.804000,112.000,37.871000,2.078000,126.178842,4551,557,0,244,457,3518,49,0
0.447645,14.168000,112.000,37.871000,2.078000,126.180104,4553,557,0,244,457,3518,49,0
0.450240,2.595000,112.000,37.871000,2.078000,126.180539,4553,557,0,208,421,3446,49,0
0.464467,14.227000,112.000,37.871000,2.078000,126.180917,4553,557,0,208,421,3446,49,0
