elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.004254,4.254000,117.000,15.882000,0.890000,125.671868,3745,207,0,121,233,2054,9,0
0.016774,12.520000,117.000,15.882000,0.890000,125.675988,3746,207,0,121,233,2054,9,0
0.019765,2.991000,117.000,15.882000,0.890000,125.674790,3743,207,0,121,233,2054,9,0
0.033367,13.602000,117.000,15.882000,0.890000,125.675538,3743,207,0,121,233,2054,9,0
0.036319,2.952000,117.000,15.882000,0.890000,125.665788,3737,204,0,118,230,2048,9,0
0.050017,13.698000,117.000,15.882000,0.890000,125.659051,3725,204,0,115,227,2042,9,0
0.054072,4.055000,117.000,15.882000,0.890000,125.655969,3723,204,0,115,227,2042,9,0
0.066672,12.600000,117.000,15.882000,0.890000,125.656404,3723,204,0,115,227,2042,9,0
0.071366,4.694000,117.000,15.882000,0.890000,125.646115,3720,201,0,115,227,2042,9,0
0.083288,11.922000,117.000,15.882000,0.890000,125.623734,3703,200,0,113,225,2038,9,0
0.086291,3.003000,117.000,15.882000,0.890000,125.622697,3699,200,0,113,225,2038,9,1
0.099952,13.661000,117.000,15.882000,0.890000,125.623132,3699,200,0,113,225,2038,9,1
0.102997,3.045000,117.000,15.882000,0.890000,125.623273,3705,199,0,113,225,2038,9,0
0.117062,14.065000,117.000,15.882000,0.890000,125.622235,3700,199,0,113,225,2038,9,0
0.120638,3.576000,117.000,15.882000,0.890000,125.628675,3710,199,0,113,225,2038,9,0
0.133522,12.884000,117.000,15.882000,0.890000,125.629109,3710,199,0,113,225,2038,9,0
0.137967,4.445000,117.000,15.882000,0.890000,125.629544,3710,199,0,113,225,2038,9,0
0.150094,12.127000,117.000,15.882000,0.890000,125.629979,3710,199,0,113,225,2038,9,0
0.153100,3.006000,117.000,15.882000,0.890000,125.630467,3710,199,0,113,225,2038,9,0
0.166310,13.210000,117.000,15.882000,0.890000,125.633523,3710,199,0,113,225,2038,9,0
0.169635,3.325000,117.000,15.882000,0.890000,125.819394,3833,247,0,113,225,2038,9,0
0.186410,16.775000,117.000,15.882000,0.890000,126.488336,4262,313,0,206,335,2258,9,0
0.200029,13.619000,117.000,15.882000,0.890000,126.487096,4259,313,0,206,335,2258,9,0
