elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.002631,2.631000,116.000,42.086000,3.735000,122.621681,3759,540,0,191,396,3396,49,0
0.016506,13.875000,116.000,42.086000,3.735000,122.627342,3763,540,0,189,394,3392,49,0
0.018814,2.308000,116.000,42.086000,3.735000,122.627785,3763,540,0,188,393,3390,49,0
0.032893,14.079000,116.000,42.086000,3.735000,122.618050,3759,536,0,188,393,3390,49,0
0.035128,2.235000,116.000,42.086000,3.735000,122.614731,3752,536,0,188,393,3390,49,0
0.049597,14.469000,116.000,42.086000,3.735000,122.615265,3752,536,0,186,391,3386,49,0
0.051889,2.292000,116.000,42.086000,3.735000,122.616508,3752,536,0,185,390,3384,49,0
0.066126,14.237000,116.000,42.086000,3.735000,122.601273,3743,531,0,184,389,3382,49,0
0.068372,2.246000,116.000,42.086000,3.735000,122.595421,3733,531,0,184,389,3382,49,0
0.082751,14.379000,116.000,42.086000,3.735000,122.598663,3736,531,0,184,389,3382,49,0
0.087032,4.281000,116.000,42.086000,3.735000,122.649734,3738,531,0,221,446,3496,49,0
0.099134,12.102000,116.000,42.086000,3.735000,122.650211,3738,531,0,221,446,3496,49,0
0.101433,2.299000,116.000,42.086000,3.735000,122.636101,3738,531,0,191,416,3436,49,0
0.115895,14.462000,116.000,42.086000,3.735000,122.638378,3738,531,0,191,416,3436,49,0
0.118217,2.322000,116.000,42.086000,3.735000,122.638813,3738,531,0,191,416,3436,49,0
0.132535,14.318000,116.000,42.086000,3.735000,122.635902,3732,531,0,191,416,3436,49,0
0.134866,2.331000,116.000,42.086000,3.735000,122.636337,3732,531,0,191,416,3436,49,0
0.149119,14.253000,116.000,42.086000,3.735000,122.638447,3735,531,0,191,416,3436,49,0
0.151399,2.280000,116.000,42.086000,3.735000,122.638950,3735,531,0,191,416,3436,49,0
0.165819,14.420000,116.000,42.086000,3.735000,122.642094,3735,531,0,191,416,3436,49,0
0.168084,2.265000,116.000,42.086000,3.735000,122.642529,3735,531,0,191,416,3436,49,0
0.185197,17.113000,116.000,42.086000,3.735000,122.767452,3818,563,0,191,416,3436,49,0
0.188448,3.251000,116.000,42.086000,3.735000,122.773701,3818,563,0,200,432,3468,49,0
0.193586,5.138000,116.000,42.086000,3.735000,122.775791,3821,563,0,200,432,3468,49,0
0.206691,13.105000,116.000,42.086000,3.735000,122.776226,3821,563,0,200,432,3468,49,0
0.211416,4.725000,116.000,42.086000,3.735000,122.776646,3821,563,0,200,432,3468,49,0
0.223309,11.893000,116.000,42.086000,3.735000,122.777081,3821,563,0,200,432,3468,49,0
0.232748,9.439000,116.000,42.086000,3.735000,122.775928,3818,563,0,199,411,3426,49,0
0.234572,1.824000,116.000,42.086000,3.735000,122.776119,3816,563,0,199,411,3426,49,0
0.250753,16.181000,116.000,42.086000,3.735000,122.776546,3816,563,0,199,411,3426,49,0
0.253525,2.772000,116.000,42.086000,3.735000,122.748188,3816,563,0,199,411,3426,49,0
