elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.003192,3.192000,120.000,14.024000,1.048000,122.659790,3468,252,0,120,234,2056,9,0
0.016612,13.420000,120.000,14.024000,1.048000,122.663803,3469,252,0,118,230,2048,9,0
0.019617,3.005000,120.000,14.024000,1.048000,122.661507,3470,252,0,118,230,2048,9,0
0.033227,13.610000,120.000,14.024000,1.048000,122.662254,3470,252,0,118,230,2048,9,0
0.036634,3.407000,120.000,14.024000,1.048000,122.657719,3470,252,0,117,227,2042,9,0
0.049990,13.356000,120.000,14.024000,1.048000,122.651562,3467,249,0,117,227,2042,9,0
0.053122,3.132000,120.000,14.024000,1.048000,122.645714,3455,249,0,117,227,2042,9,0
0.066584,13.462000,120.000,14.024000,1.048000,122.646149,3455,249,0,117,227,2042,9,0
0.069423,2.839000,120.000,14.024000,1.048000,122.646614,3455,249,0,117,227,2042,9,0
0.083192,13.769000,120.000,14.024000,1.048000,122.648239,3455,249,0,117,227,2042,9,0
0.086758,3.566000,120.000,14.024000,1.048000,122.649590,3455,249,0,117,227,2042,9,1
0.100000,13.242000,120.000,14.024000,1.048000,122.656029,3465,249,0,117,227,2042,9,1
0.103137,3.137000,120.000,14.024000,1.048000,122.657337,3474,248,0,117,227,2042,9,0
0.116582,13.445000,120.000,14.024000,1.048000,122.656300,3469,248,0,117,227,2042,9,0
0.119662,3.080000,120.000,14.024000,1.048000,122.655075,3466,248,0,117,227,2042,9,0
0.133311,13.649000,120.000,14.024000,1.048000,122.655510,3466,248,0,117,227,2042,9,0
0.136199,2.888000,120.000,14.024000,1.048000,122.657604,3469,248,0,117,227,2042,9,0
0.149975,13.776000,120.000,14.024000,1.048000,122.658039,3469,248,0,117,227,2042,9,0
0.158952,8.977000,120.000,14.024000,1.048000,122.739765,3516,257,0,159,290,2168,9,0
0.161207,2.255000,120.000,14.024000,1.048000,122.742878,3516,257,0,159,290,2168,9,0
0.175521,14.314000,120.000,14.024000,1.048000,122.909615,3636,305,0,123,246,2080,9,0
0.183203,7.682000,120.000,14.024000,1.048000,122.918793,3636,305,0,136,270,2128,9,0
0.186359,3.156000,120.000,14.024000,1.048000,122.925701,3636,305,0,146,282,2152,9,0
0.199993,13.634000,120.000,14.024000,1.048000,122.915089,3616,305,0,146,282,2152,9,0
0.203101,3.108000,120.000,14.024000,1.048000,122.913292,3619,305,0,138,274,2136,9,0
0.216602,13.501000,120.000,14.024000,1.048000,122.913727,3619,305,0,138,274,2136,9,0
0.219725,3.123000,120.000,14.024000,1.048000,122.914143,3619,305,0,138,274,2136,9,0
