elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.002772,2.772000,120.000,15.092000,0.026000,113.380213,2243,43,0,23,88,176,0,0
0.016506,13.734000,120.000,15.092000,0.026000,113.384279,2244,43,0,23,88,176,0,0
0.019356,2.850000,120.000,15.092000,0.026000,113.384722,2244,43,0,23,88,176,0,0
0.032855,13.499000,120.000,15.092000,0.026000,113.385469,2244,43,0,23,88,176,0,0
0.035322,2.467000,120.000,15.092000,0.026000,113.386499,2244,43,0,23,88,176,0,0
0.049814,14.492000,120.000,15.092000,0.026000,113.386957,2244,43,0,23,88,176,0,0
0.052601,2.787000,120.000,15.092000,0.026000,113.388285,2244,43,0,23,88,176,0,0
0.066430,13.829000,120.000,15.092000,0.026000,113.388720,2244,43,0,23,88,176,0,0
0.069061,2.631000,120.000,15.092000,0.026000,113.389151,2244,43,0,23,88,176,0,0
0.083200,14.139000,120.000,15.092000,0.026000,113.390776,2244,43,0,23,88,176,0,0
0.086372,3.172000,120.000,15.092000,0.026000,113.391176,2244,43,0,23,88,176,0,0
0.099996,13.624000,120.000,15.092000,0.026000,113.391611,2244,43,0,23,88,176,0,0
0.103096,3.100000,120.000,15.092000,0.026000,113.392092,2244,43,0,23,88,176,0,0
0.116394,13.298000,120.000,15.092000,0.026000,113.394312,2244,43,0,23,88,176,0,0
0.119170,2.776000,120.000,15.092000,0.026000,113.394747,2244,43,0,23,88,176,0,0
0.133459,14.289000,120.000,15.092000,0.026000,113.395124,2244,43,0,23,88,176,0,0
0.136554,3.095000,120.000,15.092000,0.026000,113.395559,2244,43,0,23,88,176,0,0
0.150084,13.530000,120.000,15.092000,0.026000,113.395994,2244,43,0,23,88,176,0,0
0.152683,2.599000,120.000,15.092000,0.026000,113.396498,2244,43,0,23,88,176,0,0
0.166388,13.705000,120.000,15.092000,0.026000,113.399611,2244,43,0,23,88,176,0,0
0.169003,2.615000,120.000,15.092000,0.026000,113.400045,2244,43,0,23,88,176,0,0
0.183381,14.378000,120.000,15.092000,0.026000,113.400480,2244,43,0,23,88,176,0,0
0.186577,3.196000,120.000,15.092000,0.026000,113.400915,2244,43,0,23,88,176,0,0
0.200018,13.441000,120.000,15.092000,0.026000,113.401350,2244,43,0,23,88,176,0,0
0.202955,2.937000,120.000,15.092000,0.026000,113.401785,2244,43,0,23,88,176,0,0
0.216421,13.466000,120.000,15.092000,0.026000,113.402220,2244,43,0,23,88,176,0,0
0.218804,2.383000,120.000,15.092000,0.026000,113.402655,2244,43,0,23,88,176,0,0
0.233314,14.510000,120.000,15.092000,0.026000,113.403196,2244,43,0,23,88,176,0,0
0.236476,3.162000,120.000,15.092000,0.026000,113.407797,2244,43,0,23,88,176,0,0
0.249836,13.360000,120.000,15.092000,0.026000,113.408232,2244,43,0,23,88,176,0,0
0.252451,2.615000,120.000,15.092000,0.026000,113.408667,2244,43,0,23,88,176,0,0
0.266377,13.926000,120.000,15.092000,0.026000,113.409101,2244,43,0,23,88,176,0,0
0.269062,2.685000,120.000,15.092000,0.026000,113.409536,2244,43,0,23,88,176,0,0
0.283147,14.085000,120.000,15.092000,0.026000,113.409971,2244,43,0,23,88,176,0,0
0.285982,2.835000,120.000,15.092000,0.026000,113.410406,2244,43,0,23,88,176,0,0
0.299890,13.908000,120.000,15.092000,0.026000,113.410841,2244,43,0,23,88,176,0,0
0.303773,3.883000,120.000,15.092000,0.026000,113.411242,2244,43,0,23,88,176,0,0
0.316344,12.571000,120.000,15.092000,0.026000,113.411676,2244,43,0,23,88,176,0,0
0.319548,3.204000,120.000,15.092000,0.026000,113.412111,2244,43,0,23,88,176,0,0
0.333335,13.787000,120.000,15.092000,0.026000,113.412546,2244,43,0,23,88,176,0,0
0.336528,3.193000,120.000,15.092000,0.026000,113.412981,2244,43,0,23,88,176,0,0
0.349921,13.393000,120.000,15.092000,0.026000,113.413576,2244,43,0,23,88,176,0,0
0.353606,3.685000,120.000,15.092000,0.026000,113.420259,2244,43,0,23,88,176,0,0
0.366380,12.774000,120.000,15.092000,0.026000,113.420694,2244,43,0,23,88,176,0,0
0.369038,2.658000,120.000,15.092000,0.026000,113.421095,2244,43,0,23,88,176,0,0
0.383179,14.141000,120.000,15.092000,0.026000,113.421530,2244,43,0,23,88,176,0,0
0.386384,3.205000,120.000,15.092000,0.026000,113.421965,2244,43,0,23,88,176,0,0
0.399946,13.562000,120.000,15.092000,0.026000,113.422400,2244,43,0,23,88,176,0,0
0.402843,2.897000,120.000,15.092000,0.026000,113.422834,2244,43,0,23,88,176,0,0
0.416362,13.519000,120.000,15.092000,0.026000,113.423269,2244,43,0,23,88,176,0,0
0.419336,2.974000,120.000,15.092000,0.026000,113.423704,2244,43,0,23,88,176,0,0
0.433453,14.117000,120.000,15.092000,0.026000,113.424139,2244,43,0,23,88,176,0,0
0.436720,3.267000,120.000,15.092000,0.026000,113.424574,2244,43,0,23,88,176,0,0
0.449943,13.223000,120.000,15.092000,0.026000,113.424952,2244,43,0,23,88,176,0,0
0.453363,3.420000,120.000,15.092000,0.026000,113.425386,2244,43,0,23,88,176,0,0
0.466512,13.149000,120.000,15.092000,0.026000,113.425821,2244,43,0,23,88,176,0,0
0.469487,2.975000,120.000,15.092000,0.026000,113.426256,2244,43,0,23,88,176,0,0
0.482765,13.278000,120.000,15.092000,0.026000,113.426691,2244,43,0,23,88,176,0,0
0.486318,3.553000,120.000,15.092000,0.026000,113.427126,2244,43,0,23,88,176,0,0
0.499828,13.510000,120.000,15.092000,0.026000,113.427561,2244,43,0,23,88,176,0,0
0.503061,3.233000,120.000,15.092000,0.026000,113.427996,2244,43,0,23,88,176,0,0
0.516391,13.330000,120.000,15.092000,0.026000,113.428431,2244,43,0,23,88,176,0,0
0.519257,2.866000,120.000,15.092000,0.026000,113.429102,2244,43,0,23,88,176,0,0
0.533355,14.098000,120.000,15.092000,0.026000,113.438761,2244,43,0,23,88,176,0,0
0.536502,3.147000,120.000,15.092000,0.026000,113.439196,2244,43,0,23,88,176,0,0
0.549874,13.372000,120.000,15.092000,0.026000,113.439631,2244,43,0,23,88,176,0,0
0.553150,3.276000,120.000,15.092000,0.026000,113.440065,2244,43,0,23,88,176,0,0
0.566312,13.162000,120.000,15.092000,0.026000,113.440443,2244,43,0,23,88,176,0,0
0.569144,2.832000,120.000,15.092000,0.026000,113.440878,2244,43,0,23,88,176,0,0
0.583361,14.217000,120.000,15.092000,0.026000,113.441313,2244,43,0,23,88,176,0,0
0.586514,3.153000,120.000,15.092000,0.026000,113.441748,2244,43,0,23,88,176,0,0
0.599902,13.388000,120.000,15.092000,0.026000,113.442183,2244,43,0,23,88,176,0,0
0.602963,3.061000,120.000,15.092000,0.026000,113.442617,2244,43,0,23,88,176,0,0
0.616437,13.474000,120.000,15.092000,0.026000,113.443052,2244,43,0,23,88,176,0,0
0.618834,2.397000,120.000,15.092000,0.026000,113.443487,2244,43,0,23,88,176,0,0
0.633217,14.383000,120.000,15.092000,0.026000,113.443922,2244,43,0,23,88,176,0,0
0.636604,3.387000,120.000,15.092000,0.026000,113.444357,2244,43,0,23,88,176,0,0
0.649981,13.377000,120.000,15.092000,0.026000,113.444792,2244,43,0,23,88,176,0,0
0.652826,2.845000,120.000,15.092000,0.026000,113.445227,2244,43,0,23,88,176,0,0
0.666344,13.518000,120.000,15.092000,0.026000,113.445662,2244,43,0,23,88,176,0,0
0.669134,2.790000,120.000,15.092000,0.026000,113.446096,2244,43,0,23,88,176,0,0
0.683365,14.231000,120.000,15.092000,0.026000,113.446531,2244,43,0,23,88,176,0,0
0.686399,3.034000,120.000,15.092000,0.026000,113.446966,2244,43,0,23,88,176,0,0
0.699965,13.566000,120.000,15.092000,0.026000,113.447401,2244,43,0,23,88,176,0,0
0.703180,3.215000,120.000,15.092000,0.026000,113.447836,2244,43,0,23,88,176,0,0
0.716347,13.167000,120.000,15.092000,0.026000,113.448214,2244,43,0,23,88,176,0,0
0.719149,2.802000,120.000,15.092000,0.026000,113.448648,2244,43,0,23,88,176,0,0
0.733274,14.125000,120.000,15.092000,0.026000,113.449083,2244,43,0,23,88,176,0,0
0.736601,3.327000,120.000,15.092000,0.026000,113.449518,2244,43,0,23,88,176,0,0
0.749839,13.238000,120.000,15.092000,0.026000,113.449953,2244,43,0,23,88,176,0,0
0.752454,2.615000,120.000,15.092000,0.026000,113.450388,2244,43,0,23,88,176,0,0
0.766414,13.960000,120.000,15.092000,0.026000,113.450823,2244,43,0,23,88,176,0,0
0.769383,2.969000,120.000,15.092000,0.026000,113.451258,2244,43,0,23,88,176,0,0
0.783186,13.803000,120.000,15.092000,0.026000,113.452051,2244,43,0,23,88,176,0,0
0.785884,2.698000,120.000,15.092000,0.026000,113.466471,2244,43,0,23,88,176,0,0
0.800429,14.545000,120.000,15.092000,0.026000,113.466906,2244,43,0,23,88,176,0,0
0.803403,2.974000,120.000,15.092000,0.026000,113.467340,2244,43,0,23,88,176,0,0
0.816357,12.954000,120.000,15.092000,0.026000,113.467775,2244,43,0,23,88,176,0,0
0.819256,2.899000,120.000,15.092000,0.026000,113.468210,2244,43,0,23,88,176,0,0
0.833345,14.089000,120.000,15.092000,0.026000,113.468645,2244,43,0,23,88,176,0,0
0.836689,3.344000,120.000,15.092000,0.026000,113.469080,2244,43,0,23,88,176,0,0
0.849853,13.164000,120.000,15.092000,0.026000,113.469515,2244,43,0,23,88,176,0,0
0.853197,3.344000,120.000,15.092000,0.026000,113.469950,2244,43,0,23,88,176,0,0
0.866344,13.147000,120.000,15.092000,0.026000,113.470385,2244,43,0,23,88,176,0,0
0.869428,3.084000,120.000,15.092000,0.026000,113.470819,2244,43,0,23,88,176,0,0
0.883208,13.780000,120.000,15.092000,0.026000,113.471254,2244,43,0,23,88,176,0,0
0.886472,3.264000,120.000,15.092000,0.026000,113.471689,2244,43,0,23,88,176,0,0
0.899984,13.512000,120.000,15.092000,0.026000,113.472124,2244,43,0,23,88,176,0,0
0.903452,3.468000,120.000,15.092000,0.026000,113.472559,2244,43,0,23,88,176,0,0
0.916336,12.884000,120.000,15.092000,0.026000,113.472994,2244,43,0,23,88,176,0,0
0.918804,2.468000,120.000,15.092000,0.026000,113.473429,2244,43,0,23,88,176,0,0
0.933309,14.505000,120.000,15.092000,0.026000,113.473864,2244,43,0,23,88,176,0,0
0.936895,3.586000,120.000,15.092000,0.026000,113.474298,2244,43,0,23,88,176,0,0
0.950041,13.146000,120.000,15.092000,0.026000,113.474733,2244,43,0,23,88,176,0,0
0.952833,2.792000,120.000,14.502000,0.030000,113.475168,2244,43,0,23,88,176,0,0
0.966423,13.590000,120.000,14.502000,0.030000,113.475603,2244,43,0,23,88,176,0,0
0.969237,2.814000,120.000,14.502000,0.030000,113.476038,2244,43,0,23,88,176,0,0
0.982801,13.564000,120.000,14.502000,0.030000,113.476473,2244,43,0,23,88,176,0,0
0.986649,3.848000,120.000,14.502000,0.030000,113.476908,2244,43,0,23,88,176,0,0
1.000111,13.462000,120.000,14.502000,0.030000,113.477343,2244,43,0,23,88,176,0,0
1.003122,3.011000,120.000,14.502000,0.030000,113.478052,2244,43,0,23,88,176,0,0
1.016731,13.609000,120.000,14.502000,0.030000,113.478487,2244,43,0,23,88,176,0,0
1.021406,4.675000,120.000,14.502000,0.030000,113.478922,2244,43,0,23,88,176,0,0
1.033449,12.043000,120.000,14.502000,0.030000,113.479357,2244,43,0,23,88,176,0,0
1.036330,2.881000,120.000,14.502000,0.030000,113.479792,2244,43,0,23,88,176,0,0
1.050411,14.081000,120.000,14.502000,0.030000,113.480169,2244,43,0,23,88,176,0,0
1.053330,2.919000,120.000,14.502000,0.030000,113.480604,2244,43,0,23,88,176,0,0
1.066766,13.436000,120.000,14.502000,0.030000,113.480982,2244,43,0,23,88,176,0,0
1.069616,2.850000,120.000,14.502000,0.030000,113.481417,2244,43,0,23,88,176,0,0
1.083752,14.136000,120.000,14.502000,0.030000,113.481852,2244,43,0,23,88,176,0,0
1.086809,3.057000,120.000,14.502000,0.030000,113.482286,2244,43,0,23,88,176,0,0
1.100384,13.575000,120.000,14.502000,0.030000,113.482721,2244,43,0,23,88,176,0,0
1.103847,3.463000,120.000,14.502000,0.030000,113.483156,2244,43,0,23,88,176,0,0
1.119133,15.286000,120.000,14.502000,0.030000,113.483591,2244,43,0,23,88,176,0,0
1.121472,2.339000,120.000,14.502000,0.030000,113.484026,2244,43,0,23,88,176,0,0
1.133371,11.899000,120.000,14.502000,0.030000,113.484461,2244,43,0,23,88,176,0,0
1.136520,3.149000,120.000,14.502000,0.030000,113.484896,2244,43,0,23,88,176,0,0
