elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.002854,2.854000,120.000,14.591000,0.560000,122.299850,3252,250,0,123,239,2066,9,0
0.016630,13.776000,120.000,14.155000,0.807000,122.303917,3253,250,0,123,239,2066,9,0
0.019750,3.120000,120.000,14.155000,0.807000,122.305977,3256,250,0,123,239,2066,9,0
0.033216,13.466000,120.000,14.155000,0.807000,122.306667,3256,250,0,123,239,2066,9,0
0.036362,3.146000,120.000,14.155000,0.807000,122.307625,3256,250,0,122,236,2060,9,0
0.049971,13.609000,120.000,14.155000,0.807000,122.303673,3254,250,0,122,236,2060,9,0
0.053131,3.160000,120.000,14.155000,0.807000,122.304028,3254,250,0,119,231,2050,9,0
0.066621,13.490000,120.000,14.155000,0.807000,122.293682,3251,247,0,119,231,2050,9,0
0.069749,3.128000,120.000,14.155000,0.807000,122.287041,3239,247,0,119,231,2050,9,0
0.083237,13.488000,120.000,14.155000,0.807000,122.288666,3239,247,0,118,231,2050,9,0
0.086332,3.095000,120.000,14.155000,0.807000,122.289146,3239,247,0,118,231,2050,9,0
0.099986,13.654000,120.000,14.155000,0.807000,122.289581,3239,247,0,119,231,2050,9,0
0.103537,3.551000,120.000,14.155000,0.807000,122.292606,3242,247,0,119,231,2050,9,1
0.116848,13.311000,120.000,14.155000,0.807000,122.294827,3242,247,0,119,231,2050,9,1
0.119484,2.636000,120.000,14.155000,0.807000,122.300480,3258,246,0,119,231,2050,9,0
0.133278,13.794000,120.000,14.155000,0.807000,122.297657,3253,246,0,119,231,2050,9,0
0.137083,3.805000,120.000,14.155000,0.807000,122.298126,3253,246,0,119,231,2050,9,0
0.149971,12.888000,120.000,14.155000,0.807000,122.298561,3253,246,0,118,231,2050,9,0
0.152978,3.007000,120.000,14.155000,0.807000,122.299065,3253,246,0,118,231,2050,9,0
0.166613,13.635000,120.000,14.155000,0.807000,122.302177,3253,246,0,118,231,2050,9,0
0.169617,3.004000,120.000,14.155000,0.807000,122.302612,3253,246,0,118,231,2050,9,0
0.179004,9.387000,120.000,14.155000,0.807000,122.405830,3307,256,0,157,298,2184,9,0
0.192172,13.168000,120.000,14.155000,0.807000,122.590031,3427,304,0,157,298,2184,9,0
0.199943,7.771000,120.000,14.155000,0.807000,122.579754,3427,304,0,130,272,2132,9,0
0.202963,3.020000,120.000,14.155000,0.807000,122.580185,3427,304,0,130,272,2132,9,0
0.216607,13.644000,120.000,14.155000,0.807000,122.596214,3430,307,0,140,284,2156,9,0
0.220109,3.502000,120.000,14.155000,0.807000,122.587215,3413,307,0,140,284,2156,9,0
0.233217,13.108000,120.000,14.155000,0.807000,122.583866,3413,307,0,132,276,2140,9,0
0.236530,3.313000,120.000,14.155000,0.807000,122.586807,3410,307,0,132,276,2140,9,0
0.250005,13.475000,120.000,14.155000,0.807000,122.587185,3410,307,0,132,276,2140,9,0
0.253151,3.146000,120.000,14.155000,0.807000,122.585979,3407,307,0,132,276,2140,9,0
