elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.012769,12.769000,117.000,16.424000,3.009000,122.396481,3399,230,0,81,187,1962,9,0
0.017022,4.253000,117.000,16.424000,3.009000,122.402206,3403,230,0,81,187,1962,9,0
0.029377,12.355000,117.000,16.424000,3.009000,122.402596,3403,230,0,80,186,1960,9,0
0.033716,4.339000,117.000,16.424000,3.009000,122.398914,3401,230,0,80,186,1960,9,0
0.046453,12.737000,117.000,16.424000,3.009000,122.399944,3401,230,0,78,186,1960,9,0
0.050290,3.837000,117.000,16.424000,3.009000,122.392368,3398,227,0,77,183,1954,9,0
0.065366,15.076000,117.000,16.424000,3.009000,122.386497,3386,227,0,77,183,1954,9,0
0.080521,15.155000,117.000,16.424000,3.009000,122.386932,3386,227,0,77,183,1954,9,0
0.084497,3.976000,117.000,16.424000,3.009000,122.389057,3389,227,0,77,183,1954,9,0
0.099158,14.661000,117.000,16.424000,3.009000,122.390682,3389,227,0,77,183,1954,9,0
0.113927,14.769000,117.000,16.424000,3.009000,122.392014,3389,227,0,77,183,1954,9,1
0.117270,3.343000,117.000,16.424000,3.009000,122.398453,3399,227,0,77,183,1954,9,1
0.130617,13.347000,117.000,16.424000,3.009000,122.399738,3408,226,0,77,183,1954,9,0
0.133939,3.322000,117.000,16.424000,3.009000,122.398701,3403,226,0,77,183,1954,9,0
0.146596,12.657000,117.000,16.424000,3.009000,122.399128,3403,226,0,77,183,1954,9,0
0.149254,2.658000,117.000,16.424000,3.009000,122.399563,3403,226,0,77,183,1954,9,0
0.163648,14.394000,117.000,16.424000,3.009000,122.399998,3403,226,0,77,183,1954,9,0
0.194508,30.860000,117.000,16.424000,3.009000,122.952595,3628,316,0,158,306,2200,9,0
0.197905,3.397000,117.000,16.424000,3.009000,122.957951,3628,316,0,162,320,2228,9,0
0.213923,16.018000,117.000,16.424000,3.009000,122.966854,3632,317,0,165,323,2234,9,0
0.217872,3.949000,117.000,16.424000,3.009000,122.962582,3627,317,0,161,319,2226,9,0
0.230383,12.511000,117.000,16.424000,3.009000,122.963017,3627,317,0,161,319,2226,9,0
0.234691,4.308000,117.000,16.424000,3.009000,122.963451,3627,317,0,161,319,2226,9,0
0.240171,5.480000,117.000,16.424000,3.009000,122.962299,3624,317,0,161,319,2226,9,0
0.254311,14.140000,117.000,16.424000,3.009000,122.962734,3624,317,0,161,319,2226,9,0
0.260140,5.829000,117.000,16.424000,3.009000,122.963169,3624,317,0,161,319,2226,9,0
0.265120,4.980000,117.000,16.424000,3.009000,122.963547,3624,317,0,161,319,2226,9,0
0.280248,15.128000,117.000,16.424000,3.009000,122.965702,3627,317,0,160,318,2224,9,0
0.284349,4.101000,117.000,16.424000,3.009000,122.970303,3627,317,0,161,318,2224,9,0
0.296897,12.548000,117.000,16.424000,3.009000,122.968288,3623,317,0,161,318,2224,9,0
0.300714,3.817000,117.000,16.424000,3.009000,122.967083,3620,317,0,159,283,2154,9,0
0.313875,13.161000,117.000,16.424000,3.009000,122.967518,3620,317,0,159,283,2154,9,0
0.317930,4.055000,117.000,16.424000,3.009000,122.939377,3620,317,0,159,283,2154,9,0
