elapsed_s,frame_ms,engine_fps,process_ms,physics_ms,memory_mib,objects,nodes,orphans,draw_calls,render_objects,primitives,physics_objects,collision_pairs
0.003065,3.065000,354.000,3.203000,0.021000,113.573077,2245,43,0,23,88,176,0,0
0.006268,3.203000,354.000,3.203000,0.021000,113.577144,2246,43,0,23,88,176,0,0
0.009143,2.875000,354.000,3.203000,0.021000,113.577586,2246,43,0,23,88,176,0,0
0.012044,2.901000,354.000,3.203000,0.021000,113.578334,2246,43,0,23,88,176,0,0
0.014942,2.898000,354.000,3.203000,0.021000,113.579364,2246,43,0,23,88,176,0,0
0.017823,2.881000,354.000,3.203000,0.021000,113.579822,2246,43,0,23,88,176,0,0
0.021219,3.396000,354.000,3.203000,0.021000,113.581149,2246,43,0,23,88,176,0,0
0.024027,2.808000,354.000,3.203000,0.021000,113.581584,2246,43,0,23,88,176,0,0
0.026889,2.862000,354.000,3.203000,0.021000,113.582049,2246,43,0,23,88,176,0,0
0.029694,2.805000,354.000,3.203000,0.021000,113.583674,2246,43,0,23,88,176,0,0
0.032469,2.775000,354.000,3.203000,0.021000,113.584109,2246,43,0,23,88,176,0,0
0.035219,2.750000,354.000,3.203000,0.021000,113.584544,2246,43,0,23,88,176,0,0
0.038056,2.837000,354.000,3.203000,0.021000,113.585025,2246,43,0,23,88,176,0,0
0.040874,2.818000,354.000,3.203000,0.021000,113.587245,2246,43,0,23,88,176,0,0
0.043682,2.808000,354.000,3.203000,0.021000,113.587680,2246,43,0,23,88,176,0,0
0.046484,2.802000,354.000,3.203000,0.021000,113.588115,2246,43,0,23,88,176,0,0
0.049285,2.801000,354.000,3.203000,0.021000,113.588550,2246,43,0,23,88,176,0,0
0.052106,2.821000,354.000,3.203000,0.021000,113.588984,2246,43,0,23,88,176,0,0
0.054913,2.807000,354.000,3.203000,0.021000,113.589488,2246,43,0,23,88,176,0,0
0.057740,2.827000,354.000,3.203000,0.021000,113.592601,2246,43,0,23,88,176,0,0
0.060880,3.140000,354.000,3.203000,0.021000,113.592978,2246,43,0,23,88,176,0,0
0.063733,2.853000,354.000,3.203000,0.021000,113.593356,2246,43,0,23,88,176,0,0
0.066586,2.853000,354.000,3.203000,0.021000,113.593791,2246,43,0,23,88,176,0,0
0.069458,2.872000,354.000,3.203000,0.021000,113.594226,2246,43,0,23,88,176,0,0
0.072291,2.833000,354.000,3.203000,0.021000,113.594661,2246,43,0,23,88,176,0,0
0.075157,2.866000,354.000,3.203000,0.021000,113.595096,2246,43,0,23,88,176,0,0
0.077990,2.833000,354.000,3.203000,0.021000,113.595531,2246,43,0,23,88,176,0,0
0.080814,2.824000,354.000,3.203000,0.021000,113.596015,2246,43,0,23,88,176,0,0
0.083786,2.972000,354.000,3.203000,0.021000,113.600616,2246,43,0,23,88,176,0,0
